region,province,city,position,rank,candidate_name,party,votes,percentage
REGION II,CAGAYAN,SANTO NIÑO (FAIRE),SENATOR PHILIPPINES,1,"MARCOS, IMEE",NP,7325,7.95 %
REGION II,CAGAYAN,SANTO NIÑO (FAIRE),SENATOR PHILIPPINES,2,"VILLAR, CYNTHIA",NP,7088,7.70 %
REGION II,CAGAYAN,SANTO NIÑO (FAIRE),SENATOR PHILIPPINES,3,"BINAY, NANCY",UNA,5896,6.40 %
REGION II,CAGAYAN,SANTO NIÑO (FAIRE),SENATOR PHILIPPINES,4,"POE, GRACE",IND,5721,6.21 %
REGION II,CAGAYAN,SANTO NIÑO (FAIRE),SENATOR PHILIPPINES,5,"BONG REVILLA, RAMON JR",LAKAS,4880,5.30 %
REGION II,CAGAYAN,SANTO NIÑO (FAIRE),SENATOR PHILIPPINES,6,"LAPID, LITO",NPC,4465,4.85 %
REGION II,CAGAYAN,SANTO NIÑO (FAIRE),SENATOR PHILIPPINES,7,"ANGARA, EDGARDO SONNY",LDP,4412,4.79 %
REGION II,CAGAYAN,SANTO NIÑO (FAIRE),SENATOR PHILIPPINES,8,"CAYETANO, PIA",NP,4409,4.79 %
REGION II,CAGAYAN,SANTO NIÑO (FAIRE),SENATOR PHILIPPINES,9,"GO, BONG GO",PDPLBN,4408,4.79 %
REGION II,CAGAYAN,SANTO NIÑO (FAIRE),SENATOR PHILIPPINES,10,"ENRILE, JUAN PONCE",PMP,3815,4.14 %
REGION II,CAGAYAN,SANTO NIÑO (FAIRE),SENATOR PHILIPPINES,11,"DELA ROSA, BATO",PDPLBN,3700,4.02 %
REGION II,CAGAYAN,SANTO NIÑO (FAIRE),SENATOR PHILIPPINES,12,"ESTRADA, JINGGOY",PMP,3450,3.75 %
REGION II,CAGAYAN,SANTO NIÑO (FAIRE),SENATOR PHILIPPINES,13,"EJERCITO, ESTRADA JV",NPC,3402,3.69 %
REGION II,CAGAYAN,SANTO NIÑO (FAIRE),SENATOR PHILIPPINES,14,"PIMENTEL, KOKO",PDPLBN,3178,3.45 %
REGION II,CAGAYAN,SANTO NIÑO (FAIRE),SENATOR PHILIPPINES,15,"AQUINO, BENIGNO BAM",LP,3001,3.26 %
REGION II,CAGAYAN,SANTO NIÑO (FAIRE),SENATOR PHILIPPINES,16,"TOLENTINO, FRANCIS",PDPLBN,2999,3.26 %
REGION II,CAGAYAN,SANTO NIÑO (FAIRE),SENATOR PHILIPPINES,17,"ROXAS, MAR",LP,2905,3.15 %
REGION II,CAGAYAN,SANTO NIÑO (FAIRE),SENATOR PHILIPPINES,18,"OSMEÑA, SERGE",IND,1963,2.13 %
REGION II,CAGAYAN,SANTO NIÑO (FAIRE),SENATOR PHILIPPINES,19,"HILBAY, PILO",AKSYON,1629,1.77 %
REGION II,CAGAYAN,SANTO NIÑO (FAIRE),SENATOR PHILIPPINES,20,"COLMENARES, NERI",MKBYN,1257,1.37 %
REGION II,CAGAYAN,SANTO NIÑO (FAIRE),SENATOR PHILIPPINES,21,"MANGUDADATU, DONG",PDPLBN,1093,1.19 %
REGION II,CAGAYAN,SANTO NIÑO (FAIRE),SENATOR PHILIPPINES,22,"AGUILAR, FREDDIE",IND,1037,1.13 %
REGION II,CAGAYAN,SANTO NIÑO (FAIRE),SENATOR PHILIPPINES,23,"ONG, DOC WILLIE",LAKAS,967,1.05 %
