region,province,city,position,rank,candidate_name,party,votes,percentage
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,1,"VILLAR, CYNTHIA",NP,2189,8.13 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,2,"ANGARA, EDGARDO SONNY",LDP,1858,6.90 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,3,"POE, GRACE",IND,1797,6.67 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,4,"MARCOS, IMEE",NP,1508,5.60 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,5,"LAPID, LITO",NPC,1501,5.57 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,6,"CAYETANO, PIA",NP,1453,5.39 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,7,"BONG REVILLA, RAMON JR",LAKAS,1355,5.03 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,8,"BINAY, NANCY",UNA,1323,4.91 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,9,"GO, BONG GO",PDPLBN,1310,4.86 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,10,"DELA ROSA, BATO",PDPLBN,1110,4.12 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,11,"EJERCITO, ESTRADA JV",NPC,1082,4.02 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,12,"ESTRADA, JINGGOY",PMP,1032,3.83 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,13,"AQUINO, BENIGNO BAM",LP,913,3.39 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,14,"PIMENTEL, KOKO",PDPLBN,823,3.06 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,15,"TOLENTINO, FRANCIS",PDPLBN,800,2.97 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,16,"ROXAS, MAR",LP,612,2.27 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,17,"ENRILE, JUAN PONCE",PMP,611,2.27 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,18,"OSMEÑA, SERGE",IND,555,2.06 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,19,"ONG, DOC WILLIE",LAKAS,509,1.89 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,20,"MANGUDADATU, DONG",PDPLBN,462,1.72 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,21,"MANICAD, JIGGY",IND,325,1.21 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,22,"AGUILAR, FREDDIE",IND,323,1.20 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,23,"DIOKNO, CHEL",LP,320,1.19 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,24,"COLMENARES, NERI",MKBYN,285,1.06 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,25,"GADON, LARRY",KBL,226,0.84 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,26,"ALEJANO, GARY",LP,206,0.76 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,27,"MACALINTAL, MACAROMY",IND,196,0.73 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,28,"GUTOC, SAMIRA",LP,176,0.65 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,29,"MANGONDATO, FAISAL",IND,171,0.63 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,30,"TAÑADA,LORENZO ERIN TAPAT",LP,160,0.59 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,31,"CHONG, GLENN",KDP,159,0.59 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,32,"PADILLA, DADO",PFP,158,0.59 %
REGION II,NUEVA VIZCAYA,ALFONSO CASTANEDA,SENATOR PHILIPPINES,33,"HILBAY, PILO",AKSYON,124,0.46 %
