region,province,city,position,rank,candidate_name,party,votes,percentage
REGION III,AURORA,BALER,SENATOR PHILIPPINES,1,"ANGARA, EDGARDO SONNY",LDP,17356,11.25 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,2,"POE, GRACE",IND,11190,7.25 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,3,"VILLAR, CYNTHIA",NP,10501,6.81 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,4,"CAYETANO, PIA",NP,7836,5.08 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,5,"LAPID, LITO",NPC,7538,4.88 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,6,"BINAY, NANCY",UNA,7358,4.77 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,7,"EJERCITO, ESTRADA JV",NPC,6728,4.36 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,8,"BONG REVILLA, RAMON JR",LAKAS,6695,4.34 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,9,"MARCOS, IMEE",NP,6467,4.19 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,10,"DELA ROSA, BATO",PDPLBN,6442,4.17 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,11,"ESTRADA, JINGGOY",PMP,5905,3.83 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,12,"AQUINO, BENIGNO BAM",LP,5775,3.74 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,13,"GO, BONG GO",PDPLBN,5664,3.67 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,14,"PIMENTEL, KOKO",PDPLBN,5419,3.51 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,15,"TOLENTINO, FRANCIS",PDPLBN,4704,3.05 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,16,"ROXAS, MAR",LP,4331,2.81 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,17,"OSMEÑA, SERGE",IND,3429,2.22 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,18,"ONG, DOC WILLIE",LAKAS,3326,2.16 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,19,"DIOKNO, CHEL",LP,3179,2.06 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,20,"MANICAD, JIGGY",IND,3075,1.99 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,21,"ENRILE, JUAN PONCE",PMP,2358,1.53 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,22,"COLMENARES, NERI",MKBYN,2149,1.39 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,23,"ALEJANO, GARY",LP,1757,1.14 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,24,"GUTOC, SAMIRA",LP,1751,1.13 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,25,"MACALINTAL, MACAROMY",IND,1657,1.07 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,26,"TAÑADA,LORENZO ERIN TAPAT",LP,1512,0.98 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,27,"MANGUDADATU, DONG",PDPLBN,1413,0.92 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,28,"HILBAY, PILO",AKSYON,1278,0.83 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,29,"GADON, LARRY",KBL,1231,0.80 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,30,"PADILLA, DADO",PFP,875,0.57 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,31,"CHONG, GLENN",KDP,670,0.43 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,32,"ALUNAN, RAFFY",BGMBYN,477,0.31 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,33,"AGUILAR, FREDDIE",IND,457,0.30 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,34,"ESCUDERO, AGNES",IND,447,0.29 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,35,"MANGONDATO, FAISAL",IND,437,0.28 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,36,"DE GUZMAN, KA LEODY",PLM,281,0.18 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,37,"ARELLANO, ERNESTO",IND,209,0.14 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,38,"CHAVEZ, MELCHOR",WPP,199,0.13 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,39,"JANGAO, BFG ABRAHAM",IND,158,0.10 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,40,"MONTAÑO, ALLAN",IND,153,0.10 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,41,"CASIÑO, TOTI",KDP,136,0.09 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,42,"VALDES, BUTCH",KDP,127,0.08 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,43,"AFUANG, ABNER",WPP,119,0.08 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,44,"ABEJO, VANGIE",IND,109,0.07 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,44,"ALBANI, SHARIFF",WPP,109,0.07 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,46,"FRANCISCO, ELMER",PFP,107,0.07 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,47,"MATULA, JOSE SONNY",WPP,106,0.07 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,48,"NALLIW, JOAN SHEELAH",IND,97,0.06 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,48,"ARIAS, MARCELINO",WPP,97,0.06 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,50,"SAHIDULLA, LADY ANN",KDP,90,0.06 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,51,"ROLEDA, DAN KAIBIGAN",UNA,88,0.06 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,52,"BALDEVARONA, BALDE",FFP,86,0.06 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,53,"AUSTRIA, BERNARD",PDSP,83,0.05 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,54,"GENEROSO,GEN PEDERALISMO",IND,81,0.05 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,55,"MALLILLIN, EMILY",IND,74,0.05 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,56,"ALFAJORA, RICHARD",IND,72,0.05 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,57,"GADDI, CHARLIE",IND,71,0.05 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,58,"JAVELLANA, RJ",KDP,66,0.04 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,58,"ARCEGA, GERALD",WPP,66,0.04 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,60,"CACERES, JESUS",IND,63,0.04 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,61,"GUIGAYUMA, JUNBERT",WPP,45,0.03 %
REGION III,AURORA,BALER,SENATOR PHILIPPINES,62,"MENIANO, LUTHER",WPP,34,0.02 %
REGION III,AURORA,BALER,PROVINCIAL GOVERNOR AURORA,1,"NOVERAS, GERARDO",NPC,9644,50.41 %
REGION III,AURORA,BALER,PROVINCIAL GOVERNOR AURORA,2,"BITONG, ARIEL",LDP,9489,49.59 %
REGION III,AURORA,BALER,PARTY LIST PHILIPPINES,1,101 ACT-CIS,101 ACT-CIS,1560,11.79 %
REGION III,AURORA,BALER,PARTY LIST PHILIPPINES,2,172 PHILRECA,172 PHILRECA,1502,11.36 %
