region,province,city,position,rank,candidate_name,party,votes,percentage
REGION III,TARLAC,RAMOS,SENATOR PHILIPPINES,1,"POE, GRACE",IND,6841,7.26 %
REGION III,TARLAC,RAMOS,SENATOR PHILIPPINES,2,"LAPID, LITO",NPC,6421,6.81 %
REGION III,TARLAC,RAMOS,SENATOR PHILIPPINES,3,"VILLAR, CYNTHIA",NP,6277,6.66 %
REGION III,TARLAC,RAMOS,SENATOR PHILIPPINES,4,"AQUINO, BENIGNO BAM",LP,5806,6.16 %
REGION III,TARLAC,RAMOS,SENATOR PHILIPPINES,5,"CAYETANO, PIA",NP,5281,5.60 %
REGION III,TARLAC,RAMOS,SENATOR PHILIPPINES,6,"MARCOS, IMEE",NP,4702,4.99 %
REGION III,TARLAC,RAMOS,SENATOR PHILIPPINES,7,"ANGARA, EDGARDO SONNY",LDP,4489,4.76 %
REGION III,TARLAC,RAMOS,SENATOR PHILIPPINES,8,"BINAY, NANCY",UNA,4347,4.61 %
REGION III,TARLAC,RAMOS,SENATOR PHILIPPINES,9,"GO, BONG GO",PDPLBN,4292,4.55 %
REGION III,TARLAC,RAMOS,SENATOR PHILIPPINES,10,"BONG REVILLA, RAMON JR",LAKAS,4279,4.54 %
REGION III,TARLAC,RAMOS,SENATOR PHILIPPINES,11,"EJERCITO, ESTRADA JV",NPC,3502,3.72 %
REGION III,TARLAC,RAMOS,SENATOR PHILIPPINES,12,"DELA ROSA, BATO",PDPLBN,3494,3.71 %
REGION III,TARLAC,RAMOS,SENATOR PHILIPPINES,13,"ESTRADA, JINGGOY",PMP,3470,3.68 %
REGION III,TARLAC,RAMOS,SENATOR PHILIPPINES,14,"TOLENTINO, FRANCIS",PDPLBN,3267,3.47 %
REGION III,TARLAC,RAMOS,SENATOR PHILIPPINES,15,"ROXAS, MAR",LP,3130,3.32 %
REGION III,TARLAC,RAMOS,SENATOR PHILIPPINES,16,"PIMENTEL, KOKO",PDPLBN,2758,2.93 %
REGION III,TARLAC,RAMOS,SENATOR PHILIPPINES,17,"OSMEÑA, SERGE",IND,2436,2.58 %
