region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,1,96 ALONA,96 ALONA,16495,54.24 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,2,101 ACT-CIS,101 ACT-CIS,1551,5.10 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,3,1 BAYAN MUNA,1 BAYAN MUNA,1148,3.78 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,4,109 KALINGA,109 KALINGA,633,2.08 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,5,67 SBP,67 SBP,623,2.05 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,6,54 ANG PROBINSYANO,54 ANG PROBINSYANO,603,1.98 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,7,92 AKO BISAYA,92 AKO BISAYA,500,1.64 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,8,33 CIBAC,33 CIBAC,498,1.64 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,9,91 PROBINSYANO AKO,91 PROBINSYANO AKO,466,1.53 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,10,37 GABRIELA,37 GABRIELA,457,1.50 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,11,3 MAGSASAKA,3 MAGSASAKA,412,1.35 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,12,83 ACT TEACHERS,83 ACT TEACHERS,361,1.19 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,13,130 SENIOR CITIZENS,130 SENIOR CITIZENS,325,1.07 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,14,132 GP,132 GP,322,1.06 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,15,141 AKO BICOL,141 AKO BICOL,303,1.00 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,16,115 AGAP,115 AGAP,301,0.99 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,17,140 1-CARE,140 1-CARE,273,0.90 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,18,122 1PACMAN,122 1PACMAN,262,0.86 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,19,48 TGP,48 TGP,252,0.83 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,20,87 BUHAY,87 BUHAY,225,0.74 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,21,131 A TEACHER,131 A TEACHER,207,0.68 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,22,157 DUTERTE YOUTH,157 DUTERTE YOUTH,168,0.55 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,23,2 KABAYAN,2 KABAYAN,164,0.54 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,24,80 MARINO,80 MARINO,158,0.52 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,25,42 KABATAAN,42 KABATAAN,155,0.51 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,26,138 MAGDALO,138 MAGDALO,151,0.50 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,27,14 ANAKPAWIS,14 ANAKPAWIS,140,0.46 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,28,171 DIWA,171 DIWA,139,0.46 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,29,53 BH,53 BH BAGONG HENERASYON,129,0.42 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,30,78 AKO,78 AKO,120,0.39 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,31,88 AKBAYAN,88 AKBAYAN,118,0.39 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,32,103 APPEND,103 APPEND,116,0.38 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,33,69 INANG MAHAL,69 INANG MAHAL,114,0.37 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,34,7 OFW FAMILY,7 OFW FAMILY,101,0.33 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,35,12 ANG NARS,12 ANG NARS,95,0.31 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,36,114 AGRI,114 AGRI,94,0.31 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,37,84 PEOPLE'S CHAMP,84 PEOPLE'S CHAMP,83,0.27 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,37,47 ANAKALUSUGAN,47 ANAKALUSUGAN,83,0.27 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,39,38 AKO AN BISAYA,38 AKO AN BISAYA,78,0.26 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,40,4 PEACE,4 PEACE,77,0.25 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,40,35 MURANG KURYENTE,35 MURANG KURYENTE,77,0.25 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,42,116 ACTS-OFW,116 ACTS-OFW,75,0.25 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,43,150 BHW,150 BHW,73,0.24 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,44,71 1-ANG EDUKASYON,71 1-ANG EDUKASYON,66,0.22 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,45,16 CWS,16 CWS,63,0.21 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,46,100 MANILA TEACHERS',100 MANILA TEACHERS',62,0.20 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,47,21 LUNTIAN,21 LUNTIAN,61,0.20 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,48,95 AASENSO,95 AASENSO,60,0.20 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,49,181 AA-KASOSYO PARTY,181 AA-KASOSYO PARTY,51,0.17 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,50,104 CONSLA,104 CONSLA,50,0.16 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,51,39 1-LAMBAT,39 1-LAMBAT,49,0.16 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,52,30 PRAI,30 PRAI,44,0.14 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,53,36 ANGKLA,36 ANGKLA,42,0.14 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,54,97 TRICAP,97 TRICAP,40,0.13 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,54,180 GRECON,180 GRECON,40,0.13 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,54,29 BAHAY,29 BAHAY,40,0.13 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,57,155 ITO ANG TAMA,155 ITO ANG TAMA,39,0.13 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,58,23 ASEAN,23 ASEAN,37,0.12 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,58,6 KONTRA BROWNOUT PARTYLIST,6 KONTRA BROWNOUT PARTYLIST,37,0.12 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,60,169 WOW PILIPINAS,169 WOW PILIPINAS,35,0.12 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,61,134 1-AHAPO,134 1-AHAPO,34,0.11 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,62,27 AMEPA OFW,27 AMEPA OFW,32,0.11 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,63,26 PBA,26 PBA,30,0.10 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,64,59 SINAG,59 SINAG,29,0.10 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,65,31 JUAN MOVEMENT,31 JUAN MOVEMENT,27,0.09 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,66,89 PARTIDO SANDUGO,89 PARTIDO SANDUGO,26,0.09 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,67,170 SAGIP,170 SAGIP,25,0.08 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,67,60 PATROL,60 PATROL,25,0.08 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,67,148 AANGAT TAYO,148 AANGAT TAYO,25,0.08 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,70,24 APEC,24 APEC,24,0.08 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,70,149 KABALIKAT,149 KABALIKAT,24,0.08 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,72,8 1-UTAK,8 1-UTAK,22,0.07 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,73,139 ANUPA,139 ANUPA,20,0.07 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,74,108 ABAKADA,108 ABAKADA,18,0.06 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,74,176 LAANG KAWAL,176 LAANG KAWAL,18,0.06 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,74,144 ATING KOOP,144 ATING KOOP,18,0.06 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,77,99 TINGOG SINIRANGAN,99 TINGOG SINIRANGAN,17,0.06 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,77,10 GLOBAL,10 GLOBAL,17,0.06 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,77,136 ANG KABUHAYAN,136 ANG KABUHAYAN,17,0.06 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,77,156 1 UTAP BICOL,156 1 UTAP BICOL,17,0.06 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,81,110 MARVELOUS TAYO,110 MARVELOUS TAYO,15,0.05 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,81,82 TAO MUNA,82 TAO MUNA,15,0.05 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,81,65 UNIDO,65 UNIDO,15,0.05 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,81,63 KOOP-KAMPI,63 KOOP-KAMPI,15,0.05 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,81,58 ANAC-IP,58 ANAC-IP,15,0.05 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,86,163 ABANG LINGKOD,163 ABANG LINGKOD,14,0.05 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,87,166 TUCP,166 TUCP,13,0.04 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,87,46 ALL-FISH,46 ALL-FISH,13,0.04 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,87,98 BANAT,98 BANAT,13,0.04 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,87,17 PTA,17 PTA,13,0.04 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,87,86 ALAY BUHAY,86 ALAY BUHAY,13,0.04 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,87,158 BUTIL,158 BUTIL,13,0.04 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,87,18 RAM,18 RAM,13,0.04 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,94,94 METRO,94 METRO,12,0.04 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,95,43 AN WARAY,43 AN WARAY,11,0.04 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,95,55 PM,55 PM,11,0.04 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,97,32 BUKLOD FILIPINO,32 BUKLOD FILIPINO,10,0.03 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,98,105 KMM,105 KMM,9,0.03 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,98,52 ABS,52 ABS,9,0.03 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,98,137 YACAP,137 YACAP,9,0.03 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,98,127 AWAKE,127 AWAKE,9,0.03 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,98,126 PLM,126 PLM,9,0.03 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,103,143 MAYPAGASA,143 MAYPAGASA,8,0.03 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,103,22 AKO BISDAK,22 AKO BISDAK,8,0.03 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,103,68 PPP,68 PPP,8,0.03 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,103,79 ABANTE PILIPINAS,79 ABANTE PILIPINAS,8,0.03 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,103,76 ABONO,76 ABONO,8,0.03 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,108,44 SULONG DIGNIDAD,44 SULONG DIGNIDAD,7,0.02 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,108,20 DUMPER PTDA,20 DUMPER PTDA,7,0.02 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,108,75 LPGMA,75 LPGMA,7,0.02 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,111,113 TINDERONG PINOY,113 TINDERONG PINOY,6,0.02 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,111,73 ALIF,73 ALIF,6,0.02 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,111,153 AMIN,153 AMIN,6,0.02 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,111,142 COOP-NATCCO,142 COOP-NATCCO,6,0.02 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,115,117 FICTAP,117 FICTAP,5,0.02 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,115,152 AKO PADAYON,152 AKO PADAYON,5,0.02 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,115,112 AAMBIS-OWA,112 AAMBIS-OWA,5,0.02 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,118,72 KAMAIS,72 KAMAIS,4,0.01 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,118,124 ABAMIN,124 ABAMIN,4,0.01 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,118,49 ABEKA,49 ABEKA,4,0.01 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,121,74 MATA,74 MATA,3,0.01 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,121,9 KUSUG TAUSUG,9 KUSUG TAUSUG,3,0.01 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,121,172 PHILRECA,172 PHILRECA,3,0.01 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,121,164 AGBIAG!,164 AGBIAG!,3,0.01 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,125,177 1AAAP,177 1AAAP,2,0.01 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,125,93 AVE,93 AVE,2,0.01 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,125,168 FFP,168 FFP,2,0.01 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,128,133 1-APTO,133 1-APTO,1,0.00 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,128,175 PBB,175 PBB,1,0.00 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,128,173 1P,173 1P,1,0.00 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,128,151 RECOBODA,151 RECOBODA,1,0.00 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,128,147 ALENG ENTREP,147 ALENG ENTREP,1,0.00 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,133,121 SAMAKO,121 SAMAKO,0,0.00 %
REGION IV-A,QUEZON,TIAONG,PARTY LIST PHILIPPINES,133,51 AKMA-PTM,51 AKMA-PTM,0,0.00 %
REGION IV-A,QUEZON,TIAONG,VICE-MAYOR QUEZON - TIAONG,1,"RAZON, WILLIAM",NP,25670,58.11 %
REGION IV-A,QUEZON,TIAONG,VICE-MAYOR QUEZON - TIAONG,2,"UMALI, DICK",PFP,18508,41.89 %
REGION IV-A,QUEZON,TIAONG,PROVINCIAL GOVERNOR QUEZON,1,"SUAREZ, DANNY",LAKAS,27032,64.04 %
REGION IV-A,QUEZON,TIAONG,PROVINCIAL GOVERNOR QUEZON,2,"ALCALA, KULIT",IND,14596,34.58 %
REGION IV-A,QUEZON,TIAONG,PROVINCIAL GOVERNOR QUEZON,3,"VILLENA, DING",PDPLBN,172,0.41 %
REGION IV-A,QUEZON,TIAONG,PROVINCIAL GOVERNOR QUEZON,4,"DATOR, SERAFIN",IND,151,0.36 %
REGION IV-A,QUEZON,TIAONG,PROVINCIAL GOVERNOR QUEZON,5,"ABUY, BENILDA FATIMA",PFP,143,0.34 %
REGION IV-A,QUEZON,TIAONG,PROVINCIAL GOVERNOR QUEZON,6,"PULGAR, SONNY",IND,116,0.27 %
REGION IV-A,QUEZON,TIAONG,SENATOR PHILIPPINES,1,"POE, GRACE",IND,26600,7.15 %
REGION IV-A,QUEZON,TIAONG,SENATOR PHILIPPINES,2,"VILLAR, CYNTHIA",NP,26468,7.12 %
REGION IV-A,QUEZON,TIAONG,SENATOR PHILIPPINES,3,"LAPID, LITO",NPC,22289,5.99 %
REGION IV-A,QUEZON,TIAONG,SENATOR PHILIPPINES,4,"CAYETANO, PIA",NP,20269,5.45 %
REGION IV-A,QUEZON,TIAONG,SENATOR PHILIPPINES,5,"ANGARA, EDGARDO SONNY",LDP,19987,5.37 %
REGION IV-A,QUEZON,TIAONG,SENATOR PHILIPPINES,6,"AQUINO, BENIGNO BAM",LP,18802,5.05 %
REGION IV-A,QUEZON,TIAONG,SENATOR PHILIPPINES,7,"EJERCITO, ESTRADA JV",NPC,16726,4.50 %
REGION IV-A,QUEZON,TIAONG,SENATOR PHILIPPINES,8,"BINAY, NANCY",UNA,16677,4.48 %
REGION IV-A,QUEZON,TIAONG,SENATOR PHILIPPINES,9,"BONG REVILLA, RAMON JR",LAKAS,15733,4.23 %
REGION IV-A,QUEZON,TIAONG,SENATOR PHILIPPINES,10,"GO, BONG GO",PDPLBN,14551,3.91 %
REGION IV-A,QUEZON,TIAONG,SENATOR PHILIPPINES,11,"ROXAS, MAR",LP,13104,3.52 %
REGION IV-A,QUEZON,TIAONG,SENATOR PHILIPPINES,12,"ESTRADA, JINGGOY",PMP,12949,3.48 %
REGION IV-A,QUEZON,TIAONG,SENATOR PHILIPPINES,13,"PIMENTEL, KOKO",PDPLBN,12367,3.32 %
REGION IV-A,QUEZON,TIAONG,SENATOR PHILIPPINES,14,"TOLENTINO, FRANCIS",PDPLBN,11489,3.09 %
REGION IV-A,QUEZON,TIAONG,SENATOR PHILIPPINES,15,"OSMEÑA, SERGE",IND,11436,3.07 %
REGION IV-A,QUEZON,TIAONG,SENATOR PHILIPPINES,16,"DELA ROSA, BATO",PDPLBN,11213,3.01 %
REGION IV-A,QUEZON,TIAONG,SENATOR PHILIPPINES,17,"MANICAD, JIGGY",IND,10373,2.79 %
REGION IV-A,QUEZON,TIAONG,SENATOR PHILIPPINES,18,"MARCOS, IMEE",NP,9491,2.55 %
REGION IV-A,QUEZON,TIAONG,SENATOR PHILIPPINES,19,"DIOKNO, CHEL",LP,8698,2.34 %
