region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-B,MARINDUQUE,GASAN,PROVINCIAL GOVERNOR MARINDUQUE,1,"VELASCO, JUSTICE",PDPLBN,11076,71.22 %
REGION IV-B,MARINDUQUE,GASAN,PROVINCIAL GOVERNOR MARINDUQUE,2,"SALVACION, KUYA REY",IND,3673,23.62 %
REGION IV-B,MARINDUQUE,GASAN,PROVINCIAL GOVERNOR MARINDUQUE,3,"REYES, DOK VI",UNA,803,5.16 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,1,"POE, GRACE",IND,9154,7.50 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,2,"VILLAR, CYNTHIA",NP,8859,7.26 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,3,"CAYETANO, PIA",NP,7012,5.75 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,4,"LAPID, LITO",NPC,6638,5.44 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,5,"BONG REVILLA, RAMON JR",LAKAS,6450,5.29 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,6,"ANGARA, EDGARDO SONNY",LDP,6388,5.24 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,7,"EJERCITO, ESTRADA JV",NPC,5953,4.88 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,8,"GO, BONG GO",PDPLBN,5871,4.81 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,9,"BINAY, NANCY",UNA,5751,4.71 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,10,"ESTRADA, JINGGOY",PMP,5507,4.51 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,11,"AQUINO, BENIGNO BAM",LP,5311,4.35 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,12,"DELA ROSA, BATO",PDPLBN,5032,4.12 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,13,"TOLENTINO, FRANCIS",PDPLBN,4730,3.88 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,14,"PIMENTEL, KOKO",PDPLBN,4173,3.42 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,15,"MARCOS, IMEE",NP,4045,3.32 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,16,"ROXAS, MAR",LP,3936,3.23 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,17,"OSMEÑA, SERGE",IND,3032,2.48 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,18,"MANGUDADATU, DONG",PDPLBN,2054,1.68 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,19,"ENRILE, JUAN PONCE",PMP,1904,1.56 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,20,"ONG, DOC WILLIE",LAKAS,1876,1.54 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,21,"DIOKNO, CHEL",LP,1794,1.47 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,22,"MANICAD, JIGGY",IND,1748,1.43 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,23,"ALEJANO, GARY",LP,1446,1.19 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,24,"MACALINTAL, MACAROMY",IND,1294,1.06 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,25,"TAÑADA,LORENZO ERIN TAPAT",LP,1190,0.98 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,26,"COLMENARES, NERI",MKBYN,1135,0.93 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,27,"GUTOC, SAMIRA",LP,1079,0.88 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,28,"AGUILAR, FREDDIE",IND,837,0.69 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,29,"HILBAY, PILO",AKSYON,709,0.58 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,30,"GADON, LARRY",KBL,693,0.57 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,31,"ESCUDERO, AGNES",IND,665,0.54 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,32,"MANGONDATO, FAISAL",IND,650,0.53 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,33,"MONTAÑO, ALLAN",IND,424,0.35 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,34,"CHONG, GLENN",KDP,382,0.31 %
REGION IV-B,MARINDUQUE,GASAN,SENATOR PHILIPPINES,35,"PADILLA, DADO",PFP,368,0.30 %
