region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-B,ORIENTAL MINDORO,MANSALAY,PROVINCIAL VICE-GOVERNOR ORIENTAL MINDORO,1,"PEREZ, CA JOJO",PDPLBN,9374,53.38 %
REGION IV-B,ORIENTAL MINDORO,MANSALAY,PROVINCIAL VICE-GOVERNOR ORIENTAL MINDORO,2,"PANALIGAN, ATTY. BEL",PFP,8188,46.62 %
REGION IV-B,ORIENTAL MINDORO,MANSALAY,PARTY LIST PHILIPPINES,1,71 1-ANG EDUKASYON,71 1-ANG EDUKASYON,1618,17.74 %
REGION IV-B,ORIENTAL MINDORO,MANSALAY,PARTY LIST PHILIPPINES,2,101 ACT-CIS,101 ACT-CIS,601,6.59 %
REGION IV-B,ORIENTAL MINDORO,MANSALAY,PARTY LIST PHILIPPINES,3,131 A TEACHER,131 A TEACHER,528,5.79 %
REGION IV-B,ORIENTAL MINDORO,MANSALAY,PARTY LIST PHILIPPINES,4,3 MAGSASAKA,3 MAGSASAKA,466,5.11 %
REGION IV-B,ORIENTAL MINDORO,MANSALAY,PARTY LIST PHILIPPINES,5,170 SAGIP,170 SAGIP,432,4.74 %
REGION IV-B,ORIENTAL MINDORO,MANSALAY,PARTY LIST PHILIPPINES,6,89 PARTIDO SANDUGO,89 PARTIDO SANDUGO,419,4.59 %
REGION IV-B,ORIENTAL MINDORO,MANSALAY,PARTY LIST PHILIPPINES,7,31 JUAN MOVEMENT,31 JUAN MOVEMENT,371,4.07 %
REGION IV-B,ORIENTAL MINDORO,MANSALAY,PARTY LIST PHILIPPINES,8,122 1PACMAN,122 1PACMAN,370,4.06 %
REGION IV-B,ORIENTAL MINDORO,MANSALAY,PARTY LIST PHILIPPINES,9,1 BAYAN MUNA,1 BAYAN MUNA,350,3.84 %
REGION IV-B,ORIENTAL MINDORO,MANSALAY,PARTY LIST PHILIPPINES,10,33 CIBAC,33 CIBAC,256,2.81 %
REGION IV-B,ORIENTAL MINDORO,MANSALAY,PARTY LIST PHILIPPINES,11,130 SENIOR CITIZENS,130 SENIOR CITIZENS,240,2.63 %
REGION IV-B,ORIENTAL MINDORO,MANSALAY,PARTY LIST PHILIPPINES,12,83 ACT TEACHERS,83 ACT TEACHERS,211,2.31 %
REGION IV-B,ORIENTAL MINDORO,MANSALAY,PARTY LIST PHILIPPINES,13,91 PROBINSYANO AKO,91 PROBINSYANO AKO,197,2.16 %
REGION IV-B,ORIENTAL MINDORO,MANSALAY,PARTY LIST PHILIPPINES,14,54 ANG PROBINSYANO,54 ANG PROBINSYANO,196,2.15 %
