region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IX,ZAMBOANGA DEL NORTE,PRES. MANUEL A. ROXAS,VICE-MAYOR ZAMBOANGA DEL NORTE - PRES. MANUEL A. ROXAS,1,"RENGQUIJO, JUNIOR",PDPLBN,9769,58.68 %
REGION IX,ZAMBOANGA DEL NORTE,PRES. MANUEL A. ROXAS,VICE-MAYOR ZAMBOANGA DEL NORTE - PRES. MANUEL A. ROXAS,2,"LEGARA, RUMAR",APP,6653,39.96 %
REGION IX,ZAMBOANGA DEL NORTE,PRES. MANUEL A. ROXAS,VICE-MAYOR ZAMBOANGA DEL NORTE - PRES. MANUEL A. ROXAS,3,"MORO, ANDOY",IND,227,1.36 %
REGION IX,ZAMBOANGA DEL NORTE,PRES. MANUEL A. ROXAS,SENATOR PHILIPPINES,1,"GO, BONG GO",PDPLBN,10074,9.02 %
REGION IX,ZAMBOANGA DEL NORTE,PRES. MANUEL A. ROXAS,SENATOR PHILIPPINES,2,"VILLAR, CYNTHIA",NP,8262,7.40 %
REGION IX,ZAMBOANGA DEL NORTE,PRES. MANUEL A. ROXAS,SENATOR PHILIPPINES,3,"DELA ROSA, BATO",PDPLBN,7983,7.15 %
REGION IX,ZAMBOANGA DEL NORTE,PRES. MANUEL A. ROXAS,SENATOR PHILIPPINES,4,"PIMENTEL, KOKO",PDPLBN,6885,6.17 %
REGION IX,ZAMBOANGA DEL NORTE,PRES. MANUEL A. ROXAS,SENATOR PHILIPPINES,5,"TOLENTINO, FRANCIS",PDPLBN,6740,6.04 %
REGION IX,ZAMBOANGA DEL NORTE,PRES. MANUEL A. ROXAS,SENATOR PHILIPPINES,6,"MANGUDADATU, DONG",PDPLBN,6317,5.66 %
REGION IX,ZAMBOANGA DEL NORTE,PRES. MANUEL A. ROXAS,SENATOR PHILIPPINES,7,"BONG REVILLA, RAMON JR",LAKAS,6306,5.65 %
REGION IX,ZAMBOANGA DEL NORTE,PRES. MANUEL A. ROXAS,SENATOR PHILIPPINES,8,"CAYETANO, PIA",NP,5858,5.25 %
REGION IX,ZAMBOANGA DEL NORTE,PRES. MANUEL A. ROXAS,SENATOR PHILIPPINES,9,"BINAY, NANCY",UNA,4897,4.39 %
REGION IX,ZAMBOANGA DEL NORTE,PRES. MANUEL A. ROXAS,SENATOR PHILIPPINES,10,"ESTRADA, JINGGOY",PMP,4404,3.94 %
REGION IX,ZAMBOANGA DEL NORTE,PRES. MANUEL A. ROXAS,SENATOR PHILIPPINES,11,"POE, GRACE",IND,4315,3.86 %
REGION IX,ZAMBOANGA DEL NORTE,PRES. MANUEL A. ROXAS,SENATOR PHILIPPINES,12,"MARCOS, IMEE",NP,4185,3.75 %
REGION IX,ZAMBOANGA DEL NORTE,PRES. MANUEL A. ROXAS,SENATOR PHILIPPINES,13,"ANGARA, EDGARDO SONNY",LDP,3565,3.19 %
REGION IX,ZAMBOANGA DEL NORTE,PRES. MANUEL A. ROXAS,SENATOR PHILIPPINES,14,"LAPID, LITO",NPC,3446,3.09 %
REGION IX,ZAMBOANGA DEL NORTE,PRES. MANUEL A. ROXAS,SENATOR PHILIPPINES,15,"AQUINO, BENIGNO BAM",LP,3311,2.97 %
REGION IX,ZAMBOANGA DEL NORTE,PRES. MANUEL A. ROXAS,SENATOR PHILIPPINES,16,"EJERCITO, ESTRADA JV",NPC,3188,2.85 %
REGION IX,ZAMBOANGA DEL NORTE,PRES. MANUEL A. ROXAS,SENATOR PHILIPPINES,17,"ROXAS, MAR",LP,2618,2.34 %
REGION IX,ZAMBOANGA DEL NORTE,PRES. MANUEL A. ROXAS,SENATOR PHILIPPINES,18,"COLMENARES, NERI",MKBYN,1872,1.68 %
REGION IX,ZAMBOANGA DEL NORTE,PRES. MANUEL A. ROXAS,SENATOR PHILIPPINES,19,"OSMEÑA, SERGE",IND,1866,1.67 %
REGION IX,ZAMBOANGA DEL NORTE,PRES. MANUEL A. ROXAS,SENATOR PHILIPPINES,20,"CHONG, GLENN",KDP,1827,1.64 %
REGION IX,ZAMBOANGA DEL NORTE,PRES. MANUEL A. ROXAS,SENATOR PHILIPPINES,21,"ENRILE, JUAN PONCE",PMP,1080,0.97 %
REGION IX,ZAMBOANGA DEL NORTE,PRES. MANUEL A. ROXAS,SENATOR PHILIPPINES,22,"ALEJANO, GARY",LP,1060,0.95 %
REGION IX,ZAMBOANGA DEL NORTE,PRES. MANUEL A. ROXAS,SENATOR PHILIPPINES,23,"MANICAD, JIGGY",IND,957,0.86 %
REGION IX,ZAMBOANGA DEL NORTE,PRES. MANUEL A. ROXAS,SENATOR PHILIPPINES,24,"DIOKNO, CHEL",LP,871,0.78 %
