region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,1,80 MARINO,80 MARINO,2698,36.04 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,2,142 COOP-NATCCO,142 COOP-NATCCO,737,9.85 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,2,152 AKO PADAYON,152 AKO PADAYON,737,9.85 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,4,101 ACT-CIS,101 ACT-CIS,442,5.90 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,5,169 WOW PILIPINAS,169 WOW PILIPINAS,382,5.10 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,6,54 ANG PROBINSYANO,54 ANG PROBINSYANO,290,3.87 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,7,122 1PACMAN,122 1PACMAN,268,3.58 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,8,143 MAYPAGASA,143 MAYPAGASA,185,2.47 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,9,176 LAANG KAWAL,176 LAANG KAWAL,119,1.59 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,10,91 PROBINSYANO AKO,91 PROBINSYANO AKO,90,1.20 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,11,131 A TEACHER,131 A TEACHER,89,1.19 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,12,130 SENIOR CITIZENS,130 SENIOR CITIZENS,85,1.14 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,13,1 BAYAN MUNA,1 BAYAN MUNA,79,1.06 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,14,33 CIBAC,33 CIBAC,72,0.96 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,15,157 DUTERTE YOUTH,157 DUTERTE YOUTH,67,0.90 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,16,112 AAMBIS-OWA,112 AAMBIS-OWA,64,0.85 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,17,92 AKO BISAYA,92 AKO BISAYA,62,0.83 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,17,83 ACT TEACHERS,83 ACT TEACHERS,62,0.83 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,19,3 MAGSASAKA,3 MAGSASAKA,56,0.75 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,20,18 RAM,18 RAM,49,0.65 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,21,69 INANG MAHAL,69 INANG MAHAL,46,0.61 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,22,170 SAGIP,170 SAGIP,33,0.44 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,23,138 MAGDALO,138 MAGDALO,30,0.40 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,24,6 KONTRA BROWNOUT PARTYLIST,6 KONTRA BROWNOUT PARTYLIST,29,0.39 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,25,150 BHW,150 BHW,28,0.37 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,26,141 AKO BICOL,141 AKO BICOL,27,0.36 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,27,88 AKBAYAN,88 AKBAYAN,25,0.33 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,28,2 KABAYAN,2 KABAYAN,24,0.32 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,29,7 OFW FAMILY,7 OFW FAMILY,23,0.31 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,30,79 ABANTE PILIPINAS,79 ABANTE PILIPINAS,22,0.29 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,31,71 1-ANG EDUKASYON,71 1-ANG EDUKASYON,21,0.28 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,32,30 PRAI,30 PRAI,19,0.25 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,32,35 MURANG KURYENTE,35 MURANG KURYENTE,19,0.25 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,34,75 LPGMA,75 LPGMA,17,0.23 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,34,4 PEACE,4 PEACE,17,0.23 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,36,9 KUSUG TAUSUG,9 KUSUG TAUSUG,16,0.21 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,36,63 KOOP-KAMPI,63 KOOP-KAMPI,16,0.21 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,38,78 AKO,78 AKO,15,0.20 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,39,144 ATING KOOP,144 ATING KOOP,14,0.19 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,40,173 1P,173 1P,13,0.17 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,40,148 AANGAT TAYO,148 AANGAT TAYO,13,0.17 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,40,136 ANG KABUHAYAN,136 ANG KABUHAYAN,13,0.17 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,40,109 KALINGA,109 KALINGA,13,0.17 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,44,42 KABATAAN,42 KABATAAN,12,0.16 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,44,48 TGP,48 TGP,12,0.16 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,44,116 ACTS-OFW,116 ACTS-OFW,12,0.16 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,47,153 AMIN,153 AMIN,11,0.15 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,47,87 BUHAY,87 BUHAY,11,0.15 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,49,38 AKO AN BISAYA,38 AKO AN BISAYA,10,0.13 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,50,46 ALL-FISH,46 ALL-FISH,9,0.12 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,50,151 RECOBODA,151 RECOBODA,9,0.12 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,50,53 BH,53 BH BAGONG HENERASYON,9,0.12 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,50,14 ANAKPAWIS,14 ANAKPAWIS,9,0.12 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,50,12 ANG NARS,12 ANG NARS,9,0.12 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,50,181 AA-KASOSYO PARTY,181 AA-KASOSYO PARTY,9,0.12 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,50,103 APPEND,103 APPEND,9,0.12 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,57,60 PATROL,60 PATROL,8,0.11 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,57,113 TINDERONG PINOY,113 TINDERONG PINOY,8,0.11 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,59,82 TAO MUNA,82 TAO MUNA,7,0.09 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,59,108 ABAKADA,108 ABAKADA,7,0.09 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,59,124 ABAMIN,124 ABAMIN,7,0.09 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,59,140 1-CARE,140 1-CARE,7,0.09 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,63,99 TINGOG SINIRANGAN,99 TINGOG SINIRANGAN,6,0.08 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,63,22 AKO BISDAK,22 AKO BISDAK,6,0.08 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,63,24 APEC,24 APEC,6,0.08 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,63,110 MARVELOUS TAYO,110 MARVELOUS TAYO,6,0.08 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,63,115 AGAP,115 AGAP,6,0.08 %
REGION IX,ZAMBOANGA DEL NORTE,SIAYAN,PARTY LIST PHILIPPINES,63,16 CWS,16 CWS,6,0.08 %
