region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,1,"GO, BONG GO",PDPLBN,57133,7.89 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,2,"VILLAR, CYNTHIA",NP,55464,7.66 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,3,"DELA ROSA, BATO",PDPLBN,52497,7.25 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,4,"CAYETANO, PIA",NP,47741,6.59 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,5,"TOLENTINO, FRANCIS",PDPLBN,46223,6.38 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,6,"PIMENTEL, KOKO",PDPLBN,41778,5.77 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,7,"BONG REVILLA, RAMON JR",LAKAS,39473,5.45 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,8,"MARCOS, IMEE",NP,39108,5.40 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,9,"EJERCITO, ESTRADA JV",NPC,34828,4.81 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,10,"BINAY, NANCY",UNA,30949,4.27 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,11,"ANGARA, EDGARDO SONNY",LDP,30534,4.22 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,12,"MANGUDADATU, DONG",PDPLBN,30282,4.18 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,13,"POE, GRACE",IND,28426,3.93 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,14,"OSMEÑA, SERGE",IND,27018,3.73 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,15,"LAPID, LITO",NPC,24020,3.32 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,16,"ESTRADA, JINGGOY",PMP,21243,2.93 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,17,"AQUINO, BENIGNO BAM",LP,13196,1.82 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,18,"MANICAD, JIGGY",IND,9447,1.30 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,19,"ROXAS, MAR",LP,8176,1.13 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,20,"ONG, DOC WILLIE",LAKAS,7959,1.10 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,21,"ENRILE, JUAN PONCE",PMP,7702,1.06 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,22,"GADON, LARRY",KBL,5218,0.72 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,23,"MANGONDATO, FAISAL",IND,5214,0.72 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,24,"AGUILAR, FREDDIE",IND,4952,0.68 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,25,"DIOKNO, CHEL",LP,4653,0.64 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,26,"CHONG, GLENN",KDP,4609,0.64 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,27,"ALEJANO, GARY",LP,4396,0.61 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,28,"ALUNAN, RAFFY",BGMBYN,3530,0.49 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,29,"COLMENARES, NERI",MKBYN,3316,0.46 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,30,"GUTOC, SAMIRA",LP,3290,0.45 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,31,"MACALINTAL, MACAROMY",IND,2608,0.36 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,32,"TAÑADA,LORENZO ERIN TAPAT",LP,2519,0.35 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,33,"ESCUDERO, AGNES",IND,2236,0.31 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,34,"PADILLA, DADO",PFP,2139,0.30 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,35,"ARELLANO, ERNESTO",IND,1609,0.22 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,36,"CHAVEZ, MELCHOR",WPP,1564,0.22 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,37,"HILBAY, PILO",AKSYON,1489,0.21 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,38,"MONTAÑO, ALLAN",IND,1450,0.20 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,39,"ROLEDA, DAN KAIBIGAN",UNA,1105,0.15 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,40,"ABEJO, VANGIE",IND,944,0.13 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,41,"ARIAS, MARCELINO",WPP,933,0.13 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,42,"DE GUZMAN, KA LEODY",PLM,879,0.12 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,43,"CACERES, JESUS",IND,832,0.11 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,44,"CASIÑO, TOTI",KDP,831,0.11 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,45,"ALBANI, SHARIFF",WPP,812,0.11 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,46,"JANGAO, BFG ABRAHAM",IND,743,0.10 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,46,"AFUANG, ABNER",WPP,743,0.10 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,48,"GENEROSO,GEN PEDERALISMO",IND,732,0.10 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,49,"FRANCISCO, ELMER",PFP,725,0.10 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,50,"ALFAJORA, RICHARD",IND,700,0.10 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,51,"AUSTRIA, BERNARD",PDSP,670,0.09 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,52,"BALDEVARONA, BALDE",FFP,663,0.09 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,53,"VALDES, BUTCH",KDP,633,0.09 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,54,"SAHIDULLA, LADY ANN",KDP,620,0.09 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,55,"ARCEGA, GERALD",WPP,617,0.09 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,56,"MATULA, JOSE SONNY",WPP,531,0.07 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,57,"GADDI, CHARLIE",IND,508,0.07 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,58,"MALLILLIN, EMILY",IND,439,0.06 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,59,"JAVELLANA, RJ",KDP,415,0.06 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,60,"GUIGAYUMA, JUNBERT",WPP,383,0.05 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,61,"MENIANO, LUTHER",WPP,333,0.05 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,SENATOR PHILIPPINES,62,"NALLIW, JOAN SHEELAH",IND,322,0.04 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,1,152 AKO PADAYON,152 AKO PADAYON,3956,9.29 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,2,101 ACT-CIS,101 ACT-CIS,3490,8.19 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,3,175 PBB,175 PBB,3079,7.23 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,4,136 ANG KABUHAYAN,136 ANG KABUHAYAN,2982,7.00 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,5,142 COOP-NATCCO,142 COOP-NATCCO,1828,4.29 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,6,74 MATA,74 MATA,1612,3.78 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,7,131 A TEACHER,131 A TEACHER,1520,3.57 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,8,122 1PACMAN,122 1PACMAN,1317,3.09 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,9,1 BAYAN MUNA,1 BAYAN MUNA,1175,2.76 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,10,170 SAGIP,170 SAGIP,1133,2.66 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,11,143 MAYPAGASA,143 MAYPAGASA,1091,2.56 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,12,130 SENIOR CITIZENS,130 SENIOR CITIZENS,1075,2.52 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,13,92 AKO BISAYA,92 AKO BISAYA,962,2.26 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,14,157 DUTERTE YOUTH,157 DUTERTE YOUTH,923,2.17 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,15,100 MANILA TEACHERS',100 MANILA TEACHERS',888,2.08 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,16,83 ACT TEACHERS,83 ACT TEACHERS,743,1.74 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,17,153 AMIN,153 AMIN,713,1.67 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,18,91 PROBINSYANO AKO,91 PROBINSYANO AKO,693,1.63 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,19,54 ANG PROBINSYANO,54 ANG PROBINSYANO,666,1.56 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,20,33 CIBAC,33 CIBAC,622,1.46 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,21,80 MARINO,80 MARINO,605,1.42 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,22,3 MAGSASAKA,3 MAGSASAKA,508,1.19 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,23,12 ANG NARS,12 ANG NARS,490,1.15 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,24,144 ATING KOOP,144 ATING KOOP,485,1.14 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,25,48 TGP,48 TGP,442,1.04 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,26,169 WOW PILIPINAS,169 WOW PILIPINAS,430,1.01 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,27,109 KALINGA,109 KALINGA,360,0.85 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,28,10 GLOBAL,10 GLOBAL,349,0.82 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,29,148 AANGAT TAYO,148 AANGAT TAYO,333,0.78 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,30,4 PEACE,4 PEACE,328,0.77 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,31,2 KABAYAN,2 KABAYAN,314,0.74 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,32,37 GABRIELA,37 GABRIELA,303,0.71 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,33,6 KONTRA BROWNOUT PARTYLIST,6 KONTRA BROWNOUT PARTYLIST,250,0.59 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,34,103 APPEND,103 APPEND,249,0.58 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,35,7 OFW FAMILY,7 OFW FAMILY,248,0.58 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,36,30 PRAI,30 PRAI,232,0.54 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,36,9 KUSUG TAUSUG,9 KUSUG TAUSUG,232,0.54 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,38,38 AKO AN BISAYA,38 AKO AN BISAYA,228,0.54 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,39,46 ALL-FISH,46 ALL-FISH,220,0.52 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,40,176 LAANG KAWAL,176 LAANG KAWAL,206,0.48 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,41,138 MAGDALO,138 MAGDALO,205,0.48 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,42,116 ACTS-OFW,116 ACTS-OFW,194,0.46 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,43,42 KABATAAN,42 KABATAAN,191,0.45 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,44,35 MURANG KURYENTE,35 MURANG KURYENTE,189,0.44 %
REGION IX,ZAMBOANGA DEL SUR,PAGADIAN CITY,PARTY LIST PHILIPPINES,45,71 1-ANG EDUKASYON,71 1-ANG EDUKASYON,168,0.39 %
