region,province,city,position,rank,candidate_name,party,votes,percentage
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,1,"AQUINO, BENIGNO BAM",LP,16911,7.82 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,2,"POE, GRACE",IND,14762,6.82 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,3,"ROXAS, MAR",LP,13563,6.27 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,4,"VILLAR, CYNTHIA",NP,11983,5.54 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,5,"LAPID, LITO",NPC,10538,4.87 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,6,"MACALINTAL, MACAROMY",IND,10326,4.77 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,7,"ALEJANO, GARY",LP,9941,4.59 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,8,"DIOKNO, CHEL",LP,9794,4.53 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,9,"GUTOC, SAMIRA",LP,9423,4.35 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,10,"TAÑADA,LORENZO ERIN TAPAT",LP,8835,4.08 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,11,"CAYETANO, PIA",NP,8400,3.88 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,12,"ANGARA, EDGARDO SONNY",LDP,8264,3.82 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,13,"BINAY, NANCY",UNA,7812,3.61 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,14,"HILBAY, PILO",AKSYON,7775,3.59 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,15,"BONG REVILLA, RAMON JR",LAKAS,7021,3.24 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,16,"PIMENTEL, KOKO",PDPLBN,5390,2.49 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,17,"EJERCITO, ESTRADA JV",NPC,5369,2.48 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,18,"COLMENARES, NERI",MKBYN,5253,2.43 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,19,"ESTRADA, JINGGOY",PMP,4932,2.28 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,20,"GO, BONG GO",PDPLBN,4827,2.23 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,21,"TOLENTINO, FRANCIS",PDPLBN,4655,2.15 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,22,"OSMEÑA, SERGE",IND,4142,1.91 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,23,"DELA ROSA, BATO",PDPLBN,3793,1.75 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,24,"MARCOS, IMEE",NP,3368,1.56 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,25,"ENRILE, JUAN PONCE",PMP,3090,1.43 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,26,"ONG, DOC WILLIE",LAKAS,2488,1.15 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,27,"MANICAD, JIGGY",IND,2137,0.99 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,28,"AGUILAR, FREDDIE",IND,857,0.40 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,29,"ESCUDERO, AGNES",IND,770,0.36 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,30,"GADON, LARRY",KBL,696,0.32 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,31,"MANGUDADATU, DONG",PDPLBN,687,0.32 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,32,"ARELLANO, ERNESTO",IND,662,0.31 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,33,"CHAVEZ, MELCHOR",WPP,491,0.23 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,34,"CHONG, GLENN",KDP,476,0.22 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,35,"ABEJO, VANGIE",IND,470,0.22 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,36,"DE GUZMAN, KA LEODY",PLM,447,0.21 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,37,"ALUNAN, RAFFY",BGMBYN,420,0.19 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,38,"PADILLA, DADO",PFP,403,0.19 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,39,"MANGONDATO, FAISAL",IND,397,0.18 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,40,"MONTAÑO, ALLAN",IND,379,0.18 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,41,"ALBANI, SHARIFF",WPP,377,0.17 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,42,"AFUANG, ABNER",WPP,357,0.16 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,43,"ALFAJORA, RICHARD",IND,303,0.14 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,44,"CASIÑO, TOTI",KDP,289,0.13 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,45,"MATULA, JOSE SONNY",WPP,243,0.11 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,46,"ARIAS, MARCELINO",WPP,235,0.11 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,47,"ARCEGA, GERALD",WPP,212,0.10 %
REGION V,CAMARINES SUR,GOA,SENATOR PHILIPPINES,48,"CACERES, JESUS",IND,209,0.10 %
