region,province,city,position,rank,candidate_name,party,votes,percentage
REGION V,CAMARINES SUR,LAGONOY,PARTY LIST PHILIPPINES,1,141 AKO BICOL,141 AKO BICOL,6557,44.05 %
REGION V,CAMARINES SUR,LAGONOY,PARTY LIST PHILIPPINES,2,172 PHILRECA,172 PHILRECA,2025,13.60 %
REGION V,CAMARINES SUR,LAGONOY,PARTY LIST PHILIPPINES,3,71 1-ANG EDUKASYON,71 1-ANG EDUKASYON,850,5.71 %
REGION V,CAMARINES SUR,LAGONOY,PARTY LIST PHILIPPINES,4,101 ACT-CIS,101 ACT-CIS,550,3.69 %
REGION V,CAMARINES SUR,LAGONOY,PARTY LIST PHILIPPINES,5,83 ACT TEACHERS,83 ACT TEACHERS,327,2.20 %
REGION V,CAMARINES SUR,LAGONOY,PARTY LIST PHILIPPINES,6,1 BAYAN MUNA,1 BAYAN MUNA,308,2.07 %
REGION V,CAMARINES SUR,LAGONOY,PARTY LIST PHILIPPINES,7,54 ANG PROBINSYANO,54 ANG PROBINSYANO,262,1.76 %
REGION V,CAMARINES SUR,LAGONOY,PARTY LIST PHILIPPINES,8,158 BUTIL,158 BUTIL,235,1.58 %
REGION V,CAMARINES SUR,LAGONOY,PARTY LIST PHILIPPINES,9,91 PROBINSYANO AKO,91 PROBINSYANO AKO,227,1.52 %
REGION V,CAMARINES SUR,LAGONOY,PARTY LIST PHILIPPINES,10,150 BHW,150 BHW,211,1.42 %
REGION V,CAMARINES SUR,LAGONOY,PARTY LIST PHILIPPINES,11,37 GABRIELA,37 GABRIELA,164,1.10 %
REGION V,CAMARINES SUR,LAGONOY,PARTY LIST PHILIPPINES,12,138 MAGDALO,138 MAGDALO,153,1.03 %
REGION V,CAMARINES SUR,LAGONOY,PARTY LIST PHILIPPINES,13,16 CWS,16 CWS,151,1.01 %
REGION V,CAMARINES SUR,LAGONOY,PARTY LIST PHILIPPINES,14,47 ANAKALUSUGAN,47 ANAKALUSUGAN,139,0.93 %
REGION V,CAMARINES SUR,LAGONOY,PARTY LIST PHILIPPINES,14,53 BH,53 BH BAGONG HENERASYON,139,0.93 %
REGION V,CAMARINES SUR,LAGONOY,PARTY LIST PHILIPPINES,16,148 AANGAT TAYO,148 AANGAT TAYO,121,0.81 %
REGION V,CAMARINES SUR,LAGONOY,PARTY LIST PHILIPPINES,16,140 1-CARE,140 1-CARE,121,0.81 %
