region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VI,ILOILO,ILOILO CITY,PARTY LIST PHILIPPINES,1,101 ACT-CIS,101 ACT-CIS,11004,8.77 %
REGION VI,ILOILO,ILOILO CITY,PARTY LIST PHILIPPINES,2,1 BAYAN MUNA,1 BAYAN MUNA,10742,8.56 %
REGION VI,ILOILO,ILOILO CITY,PARTY LIST PHILIPPINES,3,163 ABANG LINGKOD,163 ABANG LINGKOD,10477,8.35 %
REGION VI,ILOILO,ILOILO CITY,PARTY LIST PHILIPPINES,4,36 ANGKLA,36 ANGKLA,8447,6.73 %
REGION VI,ILOILO,ILOILO CITY,PARTY LIST PHILIPPINES,5,37 GABRIELA,37 GABRIELA,4992,3.98 %
REGION VI,ILOILO,ILOILO CITY,PARTY LIST PHILIPPINES,6,112 AAMBIS-OWA,112 AAMBIS-OWA,4344,3.46 %
REGION VI,ILOILO,ILOILO CITY,PARTY LIST PHILIPPINES,7,130 SENIOR CITIZENS,130 SENIOR CITIZENS,3489,2.78 %
REGION VI,ILOILO,ILOILO CITY,PARTY LIST PHILIPPINES,8,138 MAGDALO,138 MAGDALO,3412,2.72 %
REGION VI,ILOILO,ILOILO CITY,PARTY LIST PHILIPPINES,9,33 CIBAC,33 CIBAC,3230,2.58 %
REGION VI,ILOILO,ILOILO CITY,PARTY LIST PHILIPPINES,10,103 APPEND,103 APPEND,3209,2.56 %
REGION VI,ILOILO,ILOILO CITY,PARTY LIST PHILIPPINES,11,54 ANG PROBINSYANO,54 ANG PROBINSYANO,3057,2.44 %
REGION VI,ILOILO,ILOILO CITY,PARTY LIST PHILIPPINES,12,122 1PACMAN,122 1PACMAN,3053,2.43 %
REGION VI,ILOILO,ILOILO CITY,PARTY LIST PHILIPPINES,13,91 PROBINSYANO AKO,91 PROBINSYANO AKO,2766,2.21 %
REGION VI,ILOILO,ILOILO CITY,PARTY LIST PHILIPPINES,14,18 RAM,18 RAM,2765,2.20 %
REGION VI,ILOILO,ILOILO CITY,PARTY LIST PHILIPPINES,15,80 MARINO,80 MARINO,2609,2.08 %
REGION VI,ILOILO,ILOILO CITY,PARTY LIST PHILIPPINES,16,83 ACT TEACHERS,83 ACT TEACHERS,2553,2.04 %
REGION VI,ILOILO,ILOILO CITY,PARTY LIST PHILIPPINES,17,100 MANILA TEACHERS',100 MANILA TEACHERS',2516,2.01 %
REGION VI,ILOILO,ILOILO CITY,PARTY LIST PHILIPPINES,18,131 A TEACHER,131 A TEACHER,2314,1.84 %
REGION VI,ILOILO,ILOILO CITY,PARTY LIST PHILIPPINES,19,142 COOP-NATCCO,142 COOP-NATCCO,1942,1.55 %
REGION VI,ILOILO,ILOILO CITY,PARTY LIST PHILIPPINES,20,3 MAGSASAKA,3 MAGSASAKA,1778,1.42 %
REGION VI,ILOILO,ILOILO CITY,PARTY LIST PHILIPPINES,21,157 DUTERTE YOUTH,157 DUTERTE YOUTH,1601,1.28 %
REGION VI,ILOILO,ILOILO CITY,PARTY LIST PHILIPPINES,22,88 AKBAYAN,88 AKBAYAN,1505,1.20 %
REGION VI,ILOILO,ILOILO CITY,PARTY LIST PHILIPPINES,23,42 KABATAAN,42 KABATAAN,1494,1.19 %
REGION VI,ILOILO,ILOILO CITY,PARTY LIST PHILIPPINES,24,92 AKO BISAYA,92 AKO BISAYA,1481,1.18 %
REGION VI,ILOILO,ILOILO CITY,PARTY LIST PHILIPPINES,25,98 BANAT,98 BANAT,1469,1.17 %
REGION VI,ILOILO,ILOILO CITY,PARTY LIST PHILIPPINES,26,109 KALINGA,109 KALINGA,1449,1.16 %
REGION VI,ILOILO,ILOILO CITY,PARTY LIST PHILIPPINES,27,12 ANG NARS,12 ANG NARS,1319,1.05 %
REGION VI,ILOILO,ILOILO CITY,PARTY LIST PHILIPPINES,28,7 OFW FAMILY,7 OFW FAMILY,1264,1.01 %
