region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,1,112 AAMBIS-OWA,112 AAMBIS-OWA,12267,72.84 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,2,101 ACT-CIS,101 ACT-CIS,349,2.07 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,3,3 MAGSASAKA,3 MAGSASAKA,333,1.98 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,4,1 BAYAN MUNA,1 BAYAN MUNA,275,1.63 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,5,83 ACT TEACHERS,83 ACT TEACHERS,241,1.43 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,6,130 SENIOR CITIZENS,130 SENIOR CITIZENS,210,1.25 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,7,80 MARINO,80 MARINO,167,0.99 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,8,33 CIBAC,33 CIBAC,151,0.90 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,8,138 MAGDALO,138 MAGDALO,151,0.90 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,10,14 ANAKPAWIS,14 ANAKPAWIS,131,0.78 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,11,103 APPEND,103 APPEND,125,0.74 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,12,54 ANG PROBINSYANO,54 ANG PROBINSYANO,124,0.74 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,13,36 ANGKLA,36 ANGKLA,120,0.71 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,14,53 BH,53 BH BAGONG HENERASYON,114,0.68 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,15,37 GABRIELA,37 GABRIELA,111,0.66 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,15,98 BANAT,98 BANAT,111,0.66 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,17,91 PROBINSYANO AKO,91 PROBINSYANO AKO,110,0.65 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,18,131 A TEACHER,131 A TEACHER,105,0.62 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,19,46 ALL-FISH,46 ALL-FISH,102,0.61 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,20,18 RAM,18 RAM,84,0.50 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,21,92 AKO BISAYA,92 AKO BISAYA,74,0.44 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,22,122 1PACMAN,122 1PACMAN,73,0.43 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,22,7 OFW FAMILY,7 OFW FAMILY,73,0.43 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,24,24 APEC,24 APEC,60,0.36 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,25,136 ANG KABUHAYAN,136 ANG KABUHAYAN,55,0.33 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,26,42 KABATAAN,42 KABATAAN,54,0.32 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,27,71 1-ANG EDUKASYON,71 1-ANG EDUKASYON,52,0.31 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,28,12 ANG NARS,12 ANG NARS,50,0.30 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,29,87 BUHAY,87 BUHAY,45,0.27 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,30,2 KABAYAN,2 KABAYAN,44,0.26 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,31,100 MANILA TEACHERS',100 MANILA TEACHERS',39,0.23 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,32,150 BHW,150 BHW,38,0.23 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,33,142 COOP-NATCCO,142 COOP-NATCCO,37,0.22 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,34,110 MARVELOUS TAYO,110 MARVELOUS TAYO,34,0.20 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,34,6 KONTRA BROWNOUT PARTYLIST,6 KONTRA BROWNOUT PARTYLIST,34,0.20 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,36,109 KALINGA,109 KALINGA,33,0.20 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,36,157 DUTERTE YOUTH,157 DUTERTE YOUTH,33,0.20 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,38,30 PRAI,30 PRAI,30,0.18 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,39,116 ACTS-OFW,116 ACTS-OFW,29,0.17 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,40,181 AA-KASOSYO PARTY,181 AA-KASOSYO PARTY,24,0.14 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,41,4 PEACE,4 PEACE,23,0.14 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,41,113 TINDERONG PINOY,113 TINDERONG PINOY,23,0.14 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,43,52 ABS,52 ABS,21,0.12 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,43,48 TGP,48 TGP,21,0.12 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,45,16 CWS,16 CWS,19,0.11 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,46,141 AKO BICOL,141 AKO BICOL,18,0.11 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,47,35 MURANG KURYENTE,35 MURANG KURYENTE,17,0.10 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,47,88 AKBAYAN,88 AKBAYAN,17,0.10 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,47,176 LAANG KAWAL,176 LAANG KAWAL,17,0.10 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,50,27 AMEPA OFW,27 AMEPA OFW,16,0.10 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,51,38 AKO AN BISAYA,38 AKO AN BISAYA,15,0.09 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,51,169 WOW PILIPINAS,169 WOW PILIPINAS,15,0.09 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,53,17 PTA,17 PTA,14,0.08 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,54,143 MAYPAGASA,143 MAYPAGASA,13,0.08 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,55,148 AANGAT TAYO,148 AANGAT TAYO,12,0.07 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,55,29 BAHAY,29 BAHAY,12,0.07 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,55,163 ABANG LINGKOD,163 ABANG LINGKOD,12,0.07 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,58,8 1-UTAK,8 1-UTAK,11,0.07 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,58,22 AKO BISDAK,22 AKO BISDAK,11,0.07 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,60,21 LUNTIAN,21 LUNTIAN,10,0.06 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,60,47 ANAKALUSUGAN,47 ANAKALUSUGAN,10,0.06 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,60,171 DIWA,171 DIWA,10,0.06 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,63,26 PBA,26 PBA,9,0.05 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,63,108 ABAKADA,108 ABAKADA,9,0.05 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,63,79 ABANTE PILIPINAS,79 ABANTE PILIPINAS,9,0.05 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,66,84 PEOPLE'S CHAMP,84 PEOPLE'S CHAMP,8,0.05 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,67,134 1-AHAPO,134 1-AHAPO,7,0.04 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,67,144 ATING KOOP,144 ATING KOOP,7,0.04 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,67,10 GLOBAL,10 GLOBAL,7,0.04 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,70,180 GRECON,180 GRECON,6,0.04 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,70,59 SINAG,59 SINAG,6,0.04 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,70,23 ASEAN,23 ASEAN,6,0.04 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,70,115 AGAP,115 AGAP,6,0.04 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,70,114 AGRI,114 AGRI,6,0.04 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,70,32 BUKLOD FILIPINO,32 BUKLOD FILIPINO,6,0.04 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,76,9 KUSUG TAUSUG,9 KUSUG TAUSUG,5,0.03 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,76,121 SAMAKO,121 SAMAKO,5,0.03 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,76,95 AASENSO,95 AASENSO,5,0.03 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,76,99 TINGOG SINIRANGAN,99 TINGOG SINIRANGAN,5,0.03 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,80,94 METRO,94 METRO,4,0.02 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,80,63 KOOP-KAMPI,63 KOOP-KAMPI,4,0.02 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,80,43 AN WARAY,43 AN WARAY,4,0.02 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,80,82 TAO MUNA,82 TAO MUNA,4,0.02 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,80,72 KAMAIS,72 KAMAIS,4,0.02 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,80,76 ABONO,76 ABONO,4,0.02 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,80,31 JUAN MOVEMENT,31 JUAN MOVEMENT,4,0.02 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,87,104 CONSLA,104 CONSLA,3,0.02 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,87,175 PBB,175 PBB,3,0.02 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,87,55 PM,55 PM,3,0.02 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,87,58 ANAC-IP,58 ANAC-IP,3,0.02 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,87,60 PATROL,60 PATROL,3,0.02 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,87,65 UNIDO,65 UNIDO,3,0.02 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,87,69 INANG MAHAL,69 INANG MAHAL,3,0.02 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,87,156 1 UTAP BICOL,156 1 UTAP BICOL,3,0.02 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,87,140 1-CARE,140 1-CARE,3,0.02 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,96,44 SULONG DIGNIDAD,44 SULONG DIGNIDAD,2,0.01 %
REGION VI,ILOILO,SAN JOAQUIN,PARTY LIST PHILIPPINES,96,96 ALONA,96 ALONA,2,0.01 %
