region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VII,BOHOL,TALIBON,SENATOR PHILIPPINES,1,"VILLAR, CYNTHIA",NP,16783,7.42 %
REGION VII,BOHOL,TALIBON,SENATOR PHILIPPINES,2,"CAYETANO, PIA",NP,15508,6.86 %
REGION VII,BOHOL,TALIBON,SENATOR PHILIPPINES,3,"DELA ROSA, BATO",PDPLBN,14230,6.29 %
REGION VII,BOHOL,TALIBON,SENATOR PHILIPPINES,4,"GO, BONG GO",PDPLBN,13989,6.19 %
REGION VII,BOHOL,TALIBON,SENATOR PHILIPPINES,5,"ANGARA, EDGARDO SONNY",LDP,12750,5.64 %
REGION VII,BOHOL,TALIBON,SENATOR PHILIPPINES,6,"POE, GRACE",IND,12501,5.53 %
REGION VII,BOHOL,TALIBON,SENATOR PHILIPPINES,7,"TOLENTINO, FRANCIS",PDPLBN,11305,5.00 %
REGION VII,BOHOL,TALIBON,SENATOR PHILIPPINES,8,"LAPID, LITO",NPC,10809,4.78 %
REGION VII,BOHOL,TALIBON,SENATOR PHILIPPINES,9,"BINAY, NANCY",UNA,10697,4.73 %
REGION VII,BOHOL,TALIBON,SENATOR PHILIPPINES,10,"PIMENTEL, KOKO",PDPLBN,10134,4.48 %
REGION VII,BOHOL,TALIBON,SENATOR PHILIPPINES,11,"AQUINO, BENIGNO BAM",LP,8286,3.67 %
REGION VII,BOHOL,TALIBON,SENATOR PHILIPPINES,12,"BONG REVILLA, RAMON JR",LAKAS,8005,3.54 %
REGION VII,BOHOL,TALIBON,SENATOR PHILIPPINES,13,"EJERCITO, ESTRADA JV",NPC,7901,3.49 %
REGION VII,BOHOL,TALIBON,SENATOR PHILIPPINES,14,"MARCOS, IMEE",NP,7346,3.25 %
REGION VII,BOHOL,TALIBON,SENATOR PHILIPPINES,15,"OSMEÑA, SERGE",IND,7256,3.21 %
REGION VII,BOHOL,TALIBON,SENATOR PHILIPPINES,16,"ESTRADA, JINGGOY",PMP,6601,2.92 %
REGION VII,BOHOL,TALIBON,SENATOR PHILIPPINES,17,"ROXAS, MAR",LP,5213,2.31 %
REGION VII,BOHOL,TALIBON,SENATOR PHILIPPINES,18,"MANGUDADATU, DONG",PDPLBN,5032,2.23 %
REGION VII,BOHOL,TALIBON,SENATOR PHILIPPINES,19,"ENRILE, JUAN PONCE",PMP,3450,1.53 %
REGION VII,BOHOL,TALIBON,SENATOR PHILIPPINES,20,"MANICAD, JIGGY",IND,2850,1.26 %
REGION VII,BOHOL,TALIBON,SENATOR PHILIPPINES,21,"DIOKNO, CHEL",LP,2539,1.12 %
REGION VII,BOHOL,TALIBON,SENATOR PHILIPPINES,22,"AGUILAR, FREDDIE",IND,2321,1.03 %
REGION VII,BOHOL,TALIBON,SENATOR PHILIPPINES,23,"ONG, DOC WILLIE",LAKAS,2096,0.93 %
REGION VII,BOHOL,TALIBON,SENATOR PHILIPPINES,24,"COLMENARES, NERI",MKBYN,1969,0.87 %
REGION VII,BOHOL,TALIBON,SENATOR PHILIPPINES,25,"ALEJANO, GARY",LP,1949,0.86 %
REGION VII,BOHOL,TALIBON,SENATOR PHILIPPINES,26,"MANGONDATO, FAISAL",IND,1744,0.77 %
REGION VII,BOHOL,TALIBON,SENATOR PHILIPPINES,27,"TAÑADA,LORENZO ERIN TAPAT",LP,1319,0.58 %
REGION VII,BOHOL,TALIBON,SENATOR PHILIPPINES,28,"GADON, LARRY",KBL,1258,0.56 %
REGION VII,BOHOL,TALIBON,SENATOR PHILIPPINES,29,"CHONG, GLENN",KDP,1233,0.55 %
