region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,1,"VILLAR, CYNTHIA",NP,17735,7.13 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,2,"GO, BONG GO",PDPLBN,17052,6.86 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,3,"CAYETANO, PIA",NP,15878,6.38 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,4,"DELA ROSA, BATO",PDPLBN,14623,5.88 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,5,"POE, GRACE",IND,13177,5.30 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,6,"LAPID, LITO",NPC,12447,5.01 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,7,"ANGARA, EDGARDO SONNY",LDP,12087,4.86 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,8,"PIMENTEL, KOKO",PDPLBN,11877,4.78 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,9,"TOLENTINO, FRANCIS",PDPLBN,11288,4.54 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,10,"BONG REVILLA, RAMON JR",LAKAS,10680,4.29 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,11,"OSMEÑA, SERGE",IND,10508,4.23 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,12,"MARCOS, IMEE",NP,8938,3.59 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,13,"BINAY, NANCY",UNA,8751,3.52 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,14,"AQUINO, BENIGNO BAM",LP,8227,3.31 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,15,"EJERCITO, ESTRADA JV",NPC,7460,3.00 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,16,"MANGUDADATU, DONG",PDPLBN,6818,2.74 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,17,"ESTRADA, JINGGOY",PMP,6503,2.61 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,18,"ROXAS, MAR",LP,5804,2.33 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,19,"ONG, DOC WILLIE",LAKAS,4269,1.72 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,20,"MANICAD, JIGGY",IND,3785,1.52 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,21,"ENRILE, JUAN PONCE",PMP,3634,1.46 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,22,"DIOKNO, CHEL",LP,3148,1.27 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,23,"AGUILAR, FREDDIE",IND,2933,1.18 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,24,"CHONG, GLENN",KDP,2902,1.17 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,25,"COLMENARES, NERI",MKBYN,2388,0.96 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,26,"GADON, LARRY",KBL,2264,0.91 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,27,"ALEJANO, GARY",LP,2026,0.81 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,28,"MANGONDATO, FAISAL",IND,1855,0.75 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,29,"TAÑADA,LORENZO ERIN TAPAT",LP,1630,0.66 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,30,"GUTOC, SAMIRA",LP,1486,0.60 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,31,"MACALINTAL, MACAROMY",IND,1314,0.53 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,32,"ESCUDERO, AGNES",IND,1249,0.50 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,33,"ALUNAN, RAFFY",BGMBYN,1198,0.48 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,34,"HILBAY, PILO",AKSYON,990,0.40 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,35,"MONTAÑO, ALLAN",IND,989,0.40 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,36,"GENEROSO,GEN PEDERALISMO",IND,900,0.36 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,37,"ARELLANO, ERNESTO",IND,874,0.35 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,38,"PADILLA, DADO",PFP,786,0.32 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,39,"CHAVEZ, MELCHOR",WPP,664,0.27 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,40,"ABEJO, VANGIE",IND,608,0.24 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,41,"DE GUZMAN, KA LEODY",PLM,493,0.20 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,42,"CASIÑO, TOTI",KDP,450,0.18 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,43,"JANGAO, BFG ABRAHAM",IND,420,0.17 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,44,"ALBANI, SHARIFF",WPP,382,0.15 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,45,"FRANCISCO, ELMER",PFP,370,0.15 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,46,"ARIAS, MARCELINO",WPP,362,0.15 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,47,"MATULA, JOSE SONNY",WPP,360,0.14 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,48,"ALFAJORA, RICHARD",IND,337,0.14 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,48,"AFUANG, ABNER",WPP,337,0.14 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,50,"CACERES, JESUS",IND,329,0.13 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,51,"ROLEDA, DAN KAIBIGAN",UNA,321,0.13 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,52,"BALDEVARONA, BALDE",FFP,309,0.12 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,53,"ARCEGA, GERALD",WPP,285,0.11 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,54,"AUSTRIA, BERNARD",PDSP,283,0.11 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,55,"GUIGAYUMA, JUNBERT",WPP,267,0.11 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,56,"VALDES, BUTCH",KDP,266,0.11 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,57,"GADDI, CHARLIE",IND,259,0.10 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,58,"MALLILLIN, EMILY",IND,258,0.10 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,59,"SAHIDULLA, LADY ANN",KDP,244,0.10 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,60,"JAVELLANA, RJ",KDP,236,0.09 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,61,"MENIANO, LUTHER",WPP,187,0.08 %
REGION VII,CEBU,CORDOBA,SENATOR PHILIPPINES,61,"NALLIW, JOAN SHEELAH",IND,187,0.08 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,1,142 COOP-NATCCO,142 COOP-NATCCO,2837,16.61 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,2,122 1PACMAN,122 1PACMAN,1723,10.09 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,3,163 ABANG LINGKOD,163 ABANG LINGKOD,1366,8.00 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,4,101 ACT-CIS,101 ACT-CIS,1165,6.82 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,5,92 AKO BISAYA,92 AKO BISAYA,995,5.82 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,6,1 BAYAN MUNA,1 BAYAN MUNA,877,5.13 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,7,91 PROBINSYANO AKO,91 PROBINSYANO AKO,425,2.49 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,8,157 DUTERTE YOUTH,157 DUTERTE YOUTH,402,2.35 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,9,54 ANG PROBINSYANO,54 ANG PROBINSYANO,395,2.31 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,10,170 SAGIP,170 SAGIP,369,2.16 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,11,83 ACT TEACHERS,83 ACT TEACHERS,336,1.97 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,12,33 CIBAC,33 CIBAC,333,1.95 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,13,37 GABRIELA,37 GABRIELA,293,1.72 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,14,130 SENIOR CITIZENS,130 SENIOR CITIZENS,258,1.51 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,15,99 TINGOG SINIRANGAN,99 TINGOG SINIRANGAN,257,1.50 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,16,80 MARINO,80 MARINO,243,1.42 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,17,131 A TEACHER,131 A TEACHER,212,1.24 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,17,26 PBA,26 PBA,212,1.24 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,19,166 TUCP,166 TUCP,211,1.24 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,20,14 ANAKPAWIS,14 ANAKPAWIS,206,1.21 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,21,53 BH,53 BH BAGONG HENERASYON,197,1.15 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,22,3 MAGSASAKA,3 MAGSASAKA,194,1.14 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,23,22 AKO BISDAK,22 AKO BISDAK,163,0.95 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,24,109 KALINGA,109 KALINGA,160,0.94 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,25,2 KABAYAN,2 KABAYAN,141,0.83 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,26,38 AKO AN BISAYA,38 AKO AN BISAYA,138,0.81 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,27,4 PEACE,4 PEACE,126,0.74 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,28,71 1-ANG EDUKASYON,71 1-ANG EDUKASYON,125,0.73 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,29,42 KABATAAN,42 KABATAAN,120,0.70 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,30,36 ANGKLA,36 ANGKLA,104,0.61 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,31,181 AA-KASOSYO PARTY,181 AA-KASOSYO PARTY,96,0.56 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,32,7 OFW FAMILY,7 OFW FAMILY,94,0.55 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,32,46 ALL-FISH,46 ALL-FISH,94,0.55 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,32,88 AKBAYAN,88 AKBAYAN,94,0.55 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,35,138 MAGDALO,138 MAGDALO,86,0.50 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,35,150 BHW,150 BHW,86,0.50 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,37,169 WOW PILIPINAS,169 WOW PILIPINAS,83,0.49 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,38,21 LUNTIAN,21 LUNTIAN,72,0.42 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,39,48 TGP,48 TGP,70,0.41 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,40,47 ANAKALUSUGAN,47 ANAKALUSUGAN,66,0.39 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,40,35 MURANG KURYENTE,35 MURANG KURYENTE,66,0.39 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,42,39 1-LAMBAT,39 1-LAMBAT,64,0.37 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,42,103 APPEND,103 APPEND,64,0.37 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,44,116 ACTS-OFW,116 ACTS-OFW,63,0.37 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,44,144 ATING KOOP,144 ATING KOOP,63,0.37 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,46,12 ANG NARS,12 ANG NARS,61,0.36 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,47,136 ANG KABUHAYAN,136 ANG KABUHAYAN,58,0.34 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,48,143 MAYPAGASA,143 MAYPAGASA,52,0.30 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,49,177 1AAAP,177 1AAAP,50,0.29 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,50,63 KOOP-KAMPI,63 KOOP-KAMPI,49,0.29 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,51,87 BUHAY,87 BUHAY,48,0.28 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,51,141 AKO BICOL,141 AKO BICOL,48,0.28 %
REGION VII,CEBU,CORDOBA,PARTY LIST PHILIPPINES,53,175 PBB,175 PBB,47,0.28 %
