region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VII,CEBU,TUDELA,SENATOR PHILIPPINES,1,"VILLAR, CYNTHIA",NP,3527,8.38 %
REGION VII,CEBU,TUDELA,SENATOR PHILIPPINES,2,"DELA ROSA, BATO",PDPLBN,3232,7.68 %
REGION VII,CEBU,TUDELA,SENATOR PHILIPPINES,3,"GO, BONG GO",PDPLBN,3094,7.35 %
REGION VII,CEBU,TUDELA,SENATOR PHILIPPINES,4,"CAYETANO, PIA",NP,2867,6.81 %
REGION VII,CEBU,TUDELA,SENATOR PHILIPPINES,5,"POE, GRACE",IND,2459,5.84 %
REGION VII,CEBU,TUDELA,SENATOR PHILIPPINES,6,"PIMENTEL, KOKO",PDPLBN,2173,5.16 %
REGION VII,CEBU,TUDELA,SENATOR PHILIPPINES,7,"ANGARA, EDGARDO SONNY",LDP,2085,4.95 %
REGION VII,CEBU,TUDELA,SENATOR PHILIPPINES,8,"LAPID, LITO",NPC,2001,4.75 %
REGION VII,CEBU,TUDELA,SENATOR PHILIPPINES,9,"MARCOS, IMEE",NP,1866,4.43 %
REGION VII,CEBU,TUDELA,SENATOR PHILIPPINES,10,"TOLENTINO, FRANCIS",PDPLBN,1822,4.33 %
REGION VII,CEBU,TUDELA,SENATOR PHILIPPINES,11,"OSMEÑA, SERGE",IND,1756,4.17 %
REGION VII,CEBU,TUDELA,SENATOR PHILIPPINES,12,"EJERCITO, ESTRADA JV",NPC,1730,4.11 %
REGION VII,CEBU,TUDELA,SENATOR PHILIPPINES,13,"AQUINO, BENIGNO BAM",LP,1598,3.80 %
REGION VII,CEBU,TUDELA,SENATOR PHILIPPINES,14,"BINAY, NANCY",UNA,1496,3.55 %
REGION VII,CEBU,TUDELA,SENATOR PHILIPPINES,15,"BONG REVILLA, RAMON JR",LAKAS,1390,3.30 %
REGION VII,CEBU,TUDELA,SENATOR PHILIPPINES,16,"ROXAS, MAR",LP,1350,3.21 %
REGION VII,CEBU,TUDELA,SENATOR PHILIPPINES,17,"MANGUDADATU, DONG",PDPLBN,1217,2.89 %
REGION VII,CEBU,TUDELA,SENATOR PHILIPPINES,18,"ESTRADA, JINGGOY",PMP,913,2.17 %
REGION VII,CEBU,TUDELA,SENATOR PHILIPPINES,19,"ONG, DOC WILLIE",LAKAS,485,1.15 %
REGION VII,CEBU,TUDELA,SENATOR PHILIPPINES,20,"MANICAD, JIGGY",IND,483,1.15 %
REGION VII,CEBU,TUDELA,SENATOR PHILIPPINES,21,"ENRILE, JUAN PONCE",PMP,475,1.13 %
REGION VII,CEBU,TUDELA,SENATOR PHILIPPINES,22,"GADON, LARRY",KBL,346,0.82 %
REGION VII,CEBU,TUDELA,SENATOR PHILIPPINES,23,"CHONG, GLENN",KDP,338,0.80 %
REGION VII,CEBU,TUDELA,SENATOR PHILIPPINES,23,"DIOKNO, CHEL",LP,338,0.80 %
REGION VII,CEBU,TUDELA,SENATOR PHILIPPINES,25,"AGUILAR, FREDDIE",IND,324,0.77 %
REGION VII,CEBU,TUDELA,SENATOR PHILIPPINES,26,"MANGONDATO, FAISAL",IND,262,0.62 %
REGION VII,CEBU,TUDELA,SENATOR PHILIPPINES,27,"ALEJANO, GARY",LP,244,0.58 %
