region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,1,"AQUINO, BENIGNO BAM",LP,2419,5.94 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,2,"VILLAR, CYNTHIA",NP,2343,5.75 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,3,"POE, GRACE",IND,2273,5.58 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,4,"GO, BONG GO",PDPLBN,2091,5.13 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,5,"ROXAS, MAR",LP,1975,4.85 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,6,"ANGARA, EDGARDO SONNY",LDP,1935,4.75 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,7,"EJERCITO, ESTRADA JV",NPC,1874,4.60 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,8,"DELA ROSA, BATO",PDPLBN,1831,4.50 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,9,"PIMENTEL, KOKO",PDPLBN,1777,4.36 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,10,"BONG REVILLA, RAMON JR",LAKAS,1659,4.07 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,11,"LAPID, LITO",NPC,1657,4.07 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,12,"TOLENTINO, FRANCIS",PDPLBN,1600,3.93 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,13,"CAYETANO, PIA",NP,1595,3.92 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,14,"DIOKNO, CHEL",LP,1363,3.35 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,15,"BINAY, NANCY",UNA,1289,3.17 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,16,"ESTRADA, JINGGOY",PMP,1160,2.85 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,17,"MANICAD, JIGGY",IND,1146,2.81 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,18,"GUTOC, SAMIRA",LP,1130,2.77 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,19,"MARCOS, IMEE",NP,1035,2.54 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,20,"MANGUDADATU, DONG",PDPLBN,964,2.37 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,21,"HILBAY, PILO",AKSYON,802,1.97 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,22,"ALEJANO, GARY",LP,758,1.86 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,23,"OSMEÑA, SERGE",IND,706,1.73 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,24,"ONG, DOC WILLIE",LAKAS,550,1.35 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,25,"TAÑADA,LORENZO ERIN TAPAT",LP,485,1.19 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,26,"MACALINTAL, MACAROMY",IND,482,1.18 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,27,"ENRILE, JUAN PONCE",PMP,421,1.03 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,28,"COLMENARES, NERI",MKBYN,353,0.87 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,29,"AGUILAR, FREDDIE",IND,318,0.78 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,30,"GADON, LARRY",KBL,232,0.57 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,31,"MANGONDATO, FAISAL",IND,230,0.56 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,32,"CHONG, GLENN",KDP,229,0.56 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,33,"ARELLANO, ERNESTO",IND,184,0.45 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,34,"ESCUDERO, AGNES",IND,180,0.44 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,35,"ALUNAN, RAFFY",BGMBYN,135,0.33 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,36,"CHAVEZ, MELCHOR",WPP,102,0.25 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,36,"ARIAS, MARCELINO",WPP,102,0.25 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,38,"ROLEDA, DAN KAIBIGAN",UNA,100,0.25 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,38,"PADILLA, DADO",PFP,100,0.25 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,40,"MONTAÑO, ALLAN",IND,92,0.23 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,41,"ABEJO, VANGIE",IND,89,0.22 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,42,"DE GUZMAN, KA LEODY",PLM,84,0.21 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,43,"ARCEGA, GERALD",WPP,78,0.19 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,44,"ALBANI, SHARIFF",WPP,72,0.18 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,45,"AFUANG, ABNER",WPP,60,0.15 %
REGION VIII,EASTERN SAMAR,BALANGKAYAN,SENATOR PHILIPPINES,46,"AUSTRIA, BERNARD",PDSP,58,0.14 %
