region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VIII,LEYTE,MERIDA,PROVINCIAL GOVERNOR LEYTE,1,"PETILLA, MIC",PDPLBN,11717,94.01 %
REGION VIII,LEYTE,MERIDA,PROVINCIAL GOVERNOR LEYTE,2,"PLASQUITA, PRI",IND,747,5.99 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,1,"VILLAR, CYNTHIA",NP,6547,8.17 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,2,"GO, BONG GO",PDPLBN,5589,6.97 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,3,"DELA ROSA, BATO",PDPLBN,5116,6.38 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,4,"POE, GRACE",IND,4638,5.79 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,5,"TOLENTINO, FRANCIS",PDPLBN,4341,5.42 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,6,"MARCOS, IMEE",NP,4277,5.34 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,7,"CAYETANO, PIA",NP,4198,5.24 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,8,"PIMENTEL, KOKO",PDPLBN,4129,5.15 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,9,"ANGARA, EDGARDO SONNY",LDP,3989,4.98 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,10,"BONG REVILLA, RAMON JR",LAKAS,3176,3.96 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,11,"AQUINO, BENIGNO BAM",LP,2846,3.55 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,12,"MANGUDADATU, DONG",PDPLBN,2813,3.51 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,13,"LAPID, LITO",NPC,2704,3.37 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,14,"EJERCITO, ESTRADA JV",NPC,2534,3.16 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,15,"BINAY, NANCY",UNA,2300,2.87 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,16,"ESTRADA, JINGGOY",PMP,2224,2.78 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,17,"CHONG, GLENN",KDP,2127,2.65 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,18,"OSMEÑA, SERGE",IND,1768,2.21 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,19,"ROXAS, MAR",LP,1677,2.09 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,20,"ONG, DOC WILLIE",LAKAS,1413,1.76 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,21,"DIOKNO, CHEL",LP,1319,1.65 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,22,"MANICAD, JIGGY",IND,1317,1.64 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,23,"AGUILAR, FREDDIE",IND,855,1.07 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,24,"ENRILE, JUAN PONCE",PMP,849,1.06 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,25,"MANGONDATO, FAISAL",IND,608,0.76 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,26,"GADON, LARRY",KBL,605,0.75 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,27,"ALEJANO, GARY",LP,582,0.73 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,28,"COLMENARES, NERI",MKBYN,452,0.56 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,29,"ALUNAN, RAFFY",BGMBYN,416,0.52 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,30,"MACALINTAL, MACAROMY",IND,414,0.52 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,31,"TAÑADA,LORENZO ERIN TAPAT",LP,359,0.45 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,32,"GUTOC, SAMIRA",LP,357,0.45 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,33,"JANGAO, BFG ABRAHAM",IND,259,0.32 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,34,"ARELLANO, ERNESTO",IND,247,0.31 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,35,"ESCUDERO, AGNES",IND,244,0.30 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,36,"HILBAY, PILO",AKSYON,243,0.30 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,37,"PADILLA, DADO",PFP,225,0.28 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,38,"ABEJO, VANGIE",IND,194,0.24 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,39,"DE GUZMAN, KA LEODY",PLM,169,0.21 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,40,"CHAVEZ, MELCHOR",WPP,164,0.20 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,41,"MONTAÑO, ALLAN",IND,158,0.20 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,42,"CASIÑO, TOTI",KDP,153,0.19 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,43,"AFUANG, ABNER",WPP,133,0.17 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,44,"ROLEDA, DAN KAIBIGAN",UNA,117,0.15 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,45,"ARIAS, MARCELINO",WPP,103,0.13 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,46,"ALFAJORA, RICHARD",IND,102,0.13 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,47,"ALBANI, SHARIFF",WPP,99,0.12 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,48,"GENEROSO,GEN PEDERALISMO",IND,95,0.12 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,49,"FRANCISCO, ELMER",PFP,90,0.11 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,50,"AUSTRIA, BERNARD",PDSP,83,0.10 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,51,"ARCEGA, GERALD",WPP,75,0.09 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,52,"VALDES, BUTCH",KDP,74,0.09 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,53,"BALDEVARONA, BALDE",FFP,72,0.09 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,54,"MATULA, JOSE SONNY",WPP,71,0.09 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,55,"GADDI, CHARLIE",IND,68,0.08 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,56,"CACERES, JESUS",IND,64,0.08 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,57,"MALLILLIN, EMILY",IND,59,0.07 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,58,"JAVELLANA, RJ",KDP,58,0.07 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,59,"SAHIDULLA, LADY ANN",KDP,49,0.06 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,60,"GUIGAYUMA, JUNBERT",WPP,47,0.06 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,61,"MENIANO, LUTHER",WPP,45,0.06 %
REGION VIII,LEYTE,MERIDA,SENATOR PHILIPPINES,62,"NALLIW, JOAN SHEELAH",IND,37,0.05 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,1,132 GP,132 GP,1507,19.99 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,2,18 RAM,18 RAM,1409,18.69 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,3,24 APEC,24 APEC,1305,17.31 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,4,99 TINGOG SINIRANGAN,99 TINGOG SINIRANGAN,876,11.62 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,5,43 AN WARAY,43 AN WARAY,838,11.11 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,6,142 COOP-NATCCO,142 COOP-NATCCO,328,4.35 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,7,101 ACT-CIS,101 ACT-CIS,144,1.91 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,8,48 TGP,48 TGP,118,1.56 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,9,83 ACT TEACHERS,83 ACT TEACHERS,68,0.90 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,10,33 CIBAC,33 CIBAC,54,0.72 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,11,1 BAYAN MUNA,1 BAYAN MUNA,52,0.69 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,12,122 1PACMAN,122 1PACMAN,49,0.65 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,13,131 A TEACHER,131 A TEACHER,41,0.54 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,14,148 AANGAT TAYO,148 AANGAT TAYO,37,0.49 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,15,80 MARINO,80 MARINO,36,0.48 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,16,54 ANG PROBINSYANO,54 ANG PROBINSYANO,31,0.41 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,17,157 DUTERTE YOUTH,157 DUTERTE YOUTH,30,0.40 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,17,3 MAGSASAKA,3 MAGSASAKA,30,0.40 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,19,92 AKO BISAYA,92 AKO BISAYA,29,0.38 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,20,130 SENIOR CITIZENS,130 SENIOR CITIZENS,27,0.36 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,21,91 PROBINSYANO AKO,91 PROBINSYANO AKO,26,0.34 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,22,112 AAMBIS-OWA,112 AAMBIS-OWA,25,0.33 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,23,53 BH,53 BH BAGONG HENERASYON,23,0.31 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,24,100 MANILA TEACHERS',100 MANILA TEACHERS',20,0.27 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,24,16 CWS,16 CWS,20,0.27 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,26,12 ANG NARS,12 ANG NARS,19,0.25 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,27,26 PBA,26 PBA,18,0.24 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,28,7 OFW FAMILY,7 OFW FAMILY,17,0.23 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,29,42 KABATAAN,42 KABATAAN,16,0.21 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,29,2 KABAYAN,2 KABAYAN,16,0.21 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,31,181 AA-KASOSYO PARTY,181 AA-KASOSYO PARTY,14,0.19 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,32,37 GABRIELA,37 GABRIELA,13,0.17 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,32,150 BHW,150 BHW,13,0.17 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,34,6 KONTRA BROWNOUT PARTYLIST,6 KONTRA BROWNOUT PARTYLIST,12,0.16 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,35,141 AKO BICOL,141 AKO BICOL,11,0.15 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,35,166 TUCP,166 TUCP,11,0.15 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,37,138 MAGDALO,138 MAGDALO,10,0.13 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,38,14 ANAKPAWIS,14 ANAKPAWIS,9,0.12 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,38,10 GLOBAL,10 GLOBAL,9,0.12 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,40,35 MURANG KURYENTE,35 MURANG KURYENTE,8,0.11 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,40,71 1-ANG EDUKASYON,71 1-ANG EDUKASYON,8,0.11 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,42,88 AKBAYAN,88 AKBAYAN,7,0.09 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,42,21 LUNTIAN,21 LUNTIAN,7,0.09 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,42,103 APPEND,103 APPEND,7,0.09 %
REGION VIII,LEYTE,MERIDA,PARTY LIST PHILIPPINES,45,69 INANG MAHAL,69 INANG MAHAL,6,0.08 %
