region,province,city,position,rank,candidate_name,party,votes,percentage
REGION X,BUKIDNON,LANTAPAN,SENATOR PHILIPPINES,1,"VILLAR, CYNTHIA",NP,14047,7.34 %
REGION X,BUKIDNON,LANTAPAN,SENATOR PHILIPPINES,2,"GO, BONG GO",PDPLBN,13030,6.81 %
REGION X,BUKIDNON,LANTAPAN,SENATOR PHILIPPINES,3,"DELA ROSA, BATO",PDPLBN,12819,6.70 %
REGION X,BUKIDNON,LANTAPAN,SENATOR PHILIPPINES,4,"POE, GRACE",IND,11206,5.86 %
REGION X,BUKIDNON,LANTAPAN,SENATOR PHILIPPINES,5,"CAYETANO, PIA",NP,10907,5.70 %
REGION X,BUKIDNON,LANTAPAN,SENATOR PHILIPPINES,6,"ANGARA, EDGARDO SONNY",LDP,10766,5.63 %
REGION X,BUKIDNON,LANTAPAN,SENATOR PHILIPPINES,7,"PIMENTEL, KOKO",PDPLBN,10387,5.43 %
REGION X,BUKIDNON,LANTAPAN,SENATOR PHILIPPINES,8,"LAPID, LITO",NPC,10375,5.42 %
REGION X,BUKIDNON,LANTAPAN,SENATOR PHILIPPINES,9,"BONG REVILLA, RAMON JR",LAKAS,9999,5.23 %
REGION X,BUKIDNON,LANTAPAN,SENATOR PHILIPPINES,10,"TOLENTINO, FRANCIS",PDPLBN,9071,4.74 %
REGION X,BUKIDNON,LANTAPAN,SENATOR PHILIPPINES,11,"BINAY, NANCY",UNA,8309,4.34 %
REGION X,BUKIDNON,LANTAPAN,SENATOR PHILIPPINES,12,"EJERCITO, ESTRADA JV",NPC,7689,4.02 %
REGION X,BUKIDNON,LANTAPAN,SENATOR PHILIPPINES,13,"ESTRADA, JINGGOY",PMP,7346,3.84 %
REGION X,BUKIDNON,LANTAPAN,SENATOR PHILIPPINES,14,"MARCOS, IMEE",NP,6525,3.41 %
REGION X,BUKIDNON,LANTAPAN,SENATOR PHILIPPINES,15,"AQUINO, BENIGNO BAM",LP,6442,3.37 %
REGION X,BUKIDNON,LANTAPAN,SENATOR PHILIPPINES,16,"MANGUDADATU, DONG",PDPLBN,6193,3.24 %
REGION X,BUKIDNON,LANTAPAN,SENATOR PHILIPPINES,17,"ROXAS, MAR",LP,4553,2.38 %
REGION X,BUKIDNON,LANTAPAN,SENATOR PHILIPPINES,18,"OSMEÑA, SERGE",IND,4108,2.15 %
REGION X,BUKIDNON,LANTAPAN,SENATOR PHILIPPINES,19,"ENRILE, JUAN PONCE",PMP,2836,1.48 %
REGION X,BUKIDNON,LANTAPAN,SENATOR PHILIPPINES,20,"MANGONDATO, FAISAL",IND,2142,1.12 %
REGION X,BUKIDNON,LANTAPAN,SENATOR PHILIPPINES,21,"AGUILAR, FREDDIE",IND,1844,0.96 %
REGION X,BUKIDNON,LANTAPAN,SENATOR PHILIPPINES,22,"MANICAD, JIGGY",IND,1205,0.63 %
REGION X,BUKIDNON,LANTAPAN,SENATOR PHILIPPINES,23,"DIOKNO, CHEL",LP,1189,0.62 %
REGION X,BUKIDNON,LANTAPAN,SENATOR PHILIPPINES,24,"ALEJANO, GARY",LP,1015,0.53 %
REGION X,BUKIDNON,LANTAPAN,SENATOR PHILIPPINES,25,"PADILLA, DADO",PFP,984,0.51 %
REGION X,BUKIDNON,LANTAPAN,SENATOR PHILIPPINES,26,"ONG, DOC WILLIE",LAKAS,933,0.49 %
REGION X,BUKIDNON,LANTAPAN,SENATOR PHILIPPINES,27,"COLMENARES, NERI",MKBYN,832,0.44 %
REGION X,BUKIDNON,LANTAPAN,SENATOR PHILIPPINES,28,"GADON, LARRY",KBL,775,0.41 %
