region,province,city,position,rank,candidate_name,party,votes,percentage
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,1,73 ALIF,73 ALIF,887,27.63 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,2,140 1-CARE,140 1-CARE,391,12.18 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,3,16 CWS,16 CWS,329,10.25 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,4,152 AKO PADAYON,152 AKO PADAYON,235,7.32 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,5,26 PBA,26 PBA,231,7.20 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,6,150 BHW,150 BHW,182,5.67 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,7,101 ACT-CIS,101 ACT-CIS,89,2.77 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,8,153 AMIN,153 AMIN,62,1.93 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,9,131 A TEACHER,131 A TEACHER,57,1.78 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,10,1 BAYAN MUNA,1 BAYAN MUNA,52,1.62 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,11,3 MAGSASAKA,3 MAGSASAKA,48,1.50 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,12,54 ANG PROBINSYANO,54 ANG PROBINSYANO,40,1.25 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,13,48 TGP,48 TGP,36,1.12 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,13,31 JUAN MOVEMENT,31 JUAN MOVEMENT,36,1.12 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,13,12 ANG NARS,12 ANG NARS,36,1.12 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,16,91 PROBINSYANO AKO,91 PROBINSYANO AKO,34,1.06 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,17,83 ACT TEACHERS,83 ACT TEACHERS,29,0.90 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,18,29 BAHAY,29 BAHAY,28,0.87 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,19,122 1PACMAN,122 1PACMAN,26,0.81 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,20,176 LAANG KAWAL,176 LAANG KAWAL,18,0.56 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,20,157 DUTERTE YOUTH,157 DUTERTE YOUTH,18,0.56 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,22,130 SENIOR CITIZENS,130 SENIOR CITIZENS,17,0.53 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,23,4 PEACE,4 PEACE,15,0.47 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,24,112 AAMBIS-OWA,112 AAMBIS-OWA,14,0.44 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,24,142 COOP-NATCCO,142 COOP-NATCCO,14,0.44 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,26,2 KABAYAN,2 KABAYAN,13,0.40 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,27,80 MARINO,80 MARINO,12,0.37 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,28,92 AKO BISAYA,92 AKO BISAYA,11,0.34 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,28,141 AKO BICOL,141 AKO BICOL,11,0.34 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,30,30 PRAI,30 PRAI,10,0.31 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,30,46 ALL-FISH,46 ALL-FISH,10,0.31 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,32,151 RECOBODA,151 RECOBODA,9,0.28 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,32,74 MATA,74 MATA,9,0.28 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,32,33 CIBAC,33 CIBAC,9,0.28 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,32,35 MURANG KURYENTE,35 MURANG KURYENTE,9,0.28 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,36,37 GABRIELA,37 GABRIELA,8,0.25 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,36,6 KONTRA BROWNOUT PARTYLIST,6 KONTRA BROWNOUT PARTYLIST,8,0.25 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,38,9 KUSUG TAUSUG,9 KUSUG TAUSUG,7,0.22 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,38,124 ABAMIN,124 ABAMIN,7,0.22 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,38,7 OFW FAMILY,7 OFW FAMILY,7,0.22 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,38,169 WOW PILIPINAS,169 WOW PILIPINAS,7,0.22 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,38,100 MANILA TEACHERS',100 MANILA TEACHERS',7,0.22 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,43,71 1-ANG EDUKASYON,71 1-ANG EDUKASYON,6,0.19 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,44,42 KABATAAN,42 KABATAAN,5,0.16 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,44,181 AA-KASOSYO PARTY,181 AA-KASOSYO PARTY,5,0.16 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,44,103 APPEND,103 APPEND,5,0.16 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,44,168 FFP,168 FFP,5,0.16 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,44,175 PBB,175 PBB,5,0.16 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,49,138 MAGDALO,138 MAGDALO,4,0.12 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,49,78 AKO,78 AKO,4,0.12 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,49,116 ACTS-OFW,116 ACTS-OFW,4,0.12 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,49,114 AGRI,114 AGRI,4,0.12 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,49,113 TINDERONG PINOY,113 TINDERONG PINOY,4,0.12 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,49,96 ALONA,96 ALONA,4,0.12 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,49,10 GLOBAL,10 GLOBAL,4,0.12 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,56,23 ASEAN,23 ASEAN,3,0.09 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,56,22 AKO BISDAK,22 AKO BISDAK,3,0.09 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,56,27 AMEPA OFW,27 AMEPA OFW,3,0.09 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,56,52 ABS,52 ABS,3,0.09 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,56,17 PTA,17 PTA,3,0.09 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,56,166 TUCP,166 TUCP,3,0.09 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,56,143 MAYPAGASA,143 MAYPAGASA,3,0.09 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,56,14 ANAKPAWIS,14 ANAKPAWIS,3,0.09 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,56,137 YACAP,137 YACAP,3,0.09 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,56,87 BUHAY,87 BUHAY,3,0.09 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,66,63 KOOP-KAMPI,63 KOOP-KAMPI,2,0.06 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,66,171 DIWA,171 DIWA,2,0.06 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,66,72 KAMAIS,72 KAMAIS,2,0.06 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,66,47 ANAKALUSUGAN,47 ANAKALUSUGAN,2,0.06 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,66,8 1-UTAK,8 1-UTAK,2,0.06 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,66,95 AASENSO,95 AASENSO,2,0.06 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,66,32 BUKLOD FILIPINO,32 BUKLOD FILIPINO,2,0.06 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,66,109 KALINGA,109 KALINGA,2,0.06 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,66,36 ANGKLA,36 ANGKLA,2,0.06 %
REGION X,LANAO DEL NORTE,MATUNGAO,PARTY LIST PHILIPPINES,66,98 BANAT,98 BANAT,2,0.06 %
