region,province,city,position,rank,candidate_name,party,votes,percentage
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PROVINCIAL GOVERNOR MISAMIS OCCIDENTAL,1,"TAN, PHILIP",NP,7882,68.12 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PROVINCIAL GOVERNOR MISAMIS OCCIDENTAL,2,"OCAMPOS, LORETO LEO",LAKAS,3557,30.74 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PROVINCIAL GOVERNOR MISAMIS OCCIDENTAL,3,"ESTUDILLO, VICTORIO",PDDS,132,1.14 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,1,74 MATA,74 MATA,1063,21.29 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,2,175 PBB,175 PBB,908,18.19 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,3,152 AKO PADAYON,152 AKO PADAYON,407,8.15 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,4,142 COOP-NATCCO,142 COOP-NATCCO,313,6.27 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,5,137 YACAP,137 YACAP,290,5.81 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,6,101 ACT-CIS,101 ACT-CIS,215,4.31 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,7,67 SBP,67 SBP,141,2.82 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,8,80 MARINO,80 MARINO,101,2.02 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,9,33 CIBAC,33 CIBAC,93,1.86 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,10,54 ANG PROBINSYANO,54 ANG PROBINSYANO,80,1.60 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,11,92 AKO BISAYA,92 AKO BISAYA,77,1.54 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,11,150 BHW,150 BHW,77,1.54 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,13,157 DUTERTE YOUTH,157 DUTERTE YOUTH,76,1.52 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,14,1 BAYAN MUNA,1 BAYAN MUNA,71,1.42 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,15,130 SENIOR CITIZENS,130 SENIOR CITIZENS,70,1.40 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,16,83 ACT TEACHERS,83 ACT TEACHERS,55,1.10 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,17,124 ABAMIN,124 ABAMIN,54,1.08 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,18,91 PROBINSYANO AKO,91 PROBINSYANO AKO,52,1.04 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,19,148 AANGAT TAYO,148 AANGAT TAYO,51,1.02 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,20,122 1PACMAN,122 1PACMAN,49,0.98 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,21,171 DIWA,171 DIWA,48,0.96 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,22,112 AAMBIS-OWA,112 AAMBIS-OWA,47,0.94 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,23,131 A TEACHER,131 A TEACHER,44,0.88 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,24,48 TGP,48 TGP,42,0.84 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,24,169 WOW PILIPINAS,169 WOW PILIPINAS,42,0.84 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,26,58 ANAC-IP,58 ANAC-IP,37,0.74 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,27,26 PBA,26 PBA,27,0.54 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,28,176 LAANG KAWAL,176 LAANG KAWAL,24,0.48 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,29,37 GABRIELA,37 GABRIELA,21,0.42 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,29,30 PRAI,30 PRAI,21,0.42 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,31,53 BH,53 BH BAGONG HENERASYON,18,0.36 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,32,12 ANG NARS,12 ANG NARS,17,0.34 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,32,3 MAGSASAKA,3 MAGSASAKA,17,0.34 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,34,116 ACTS-OFW,116 ACTS-OFW,14,0.28 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,35,141 AKO BICOL,141 AKO BICOL,13,0.26 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,35,143 MAYPAGASA,143 MAYPAGASA,13,0.26 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,35,103 APPEND,103 APPEND,13,0.26 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,38,16 CWS,16 CWS,12,0.24 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,38,7 OFW FAMILY,7 OFW FAMILY,12,0.24 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,38,2 KABAYAN,2 KABAYAN,12,0.24 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,41,6 KONTRA BROWNOUT PARTYLIST,6 KONTRA BROWNOUT PARTYLIST,11,0.22 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,42,138 MAGDALO,138 MAGDALO,10,0.20 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,42,42 KABATAAN,42 KABATAAN,10,0.20 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,42,60 PATROL,60 PATROL,10,0.20 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,45,140 1-CARE,140 1-CARE,9,0.18 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,45,46 ALL-FISH,46 ALL-FISH,9,0.18 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,45,87 BUHAY,87 BUHAY,9,0.18 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,45,38 AKO AN BISAYA,38 AKO AN BISAYA,9,0.18 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,45,173 1P,173 1P,9,0.18 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,50,155 ITO ANG TAMA,155 ITO ANG TAMA,8,0.16 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,50,35 MURANG KURYENTE,35 MURANG KURYENTE,8,0.16 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,52,153 AMIN,153 AMIN,7,0.14 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,52,4 PEACE,4 PEACE,7,0.14 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,52,73 ALIF,73 ALIF,7,0.14 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,52,31 JUAN MOVEMENT,31 JUAN MOVEMENT,7,0.14 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,56,14 ANAKPAWIS,14 ANAKPAWIS,6,0.12 %
REGION X,MISAMIS OCCIDENTAL,LOPEZ JAENA,PARTY LIST PHILIPPINES,56,47 ANAKALUSUGAN,47 ANAKALUSUGAN,6,0.12 %
