region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,1,"GO, BONG GO",PDPLBN,39553,9.26 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,2,"DELA ROSA, BATO",PDPLBN,38431,8.99 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,3,"VILLAR, CYNTHIA",NP,30181,7.06 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,4,"CAYETANO, PIA",NP,27894,6.53 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,5,"TOLENTINO, FRANCIS",PDPLBN,24850,5.82 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,6,"ANGARA, EDGARDO SONNY",LDP,22676,5.31 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,7,"BONG REVILLA, RAMON JR",LAKAS,22228,5.20 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,8,"PIMENTEL, KOKO",PDPLBN,22106,5.17 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,9,"MARCOS, IMEE",NP,20717,4.85 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,10,"POE, GRACE",IND,19200,4.49 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,11,"EJERCITO, ESTRADA JV",NPC,18811,4.40 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,12,"LAPID, LITO",NPC,18481,4.33 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,13,"ESTRADA, JINGGOY",PMP,17096,4.00 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,14,"MANGUDADATU, DONG",PDPLBN,16109,3.77 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,15,"BINAY, NANCY",UNA,15300,3.58 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,16,"OSMEÑA, SERGE",IND,7632,1.79 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,17,"AQUINO, BENIGNO BAM",LP,6986,1.63 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,18,"ENRILE, JUAN PONCE",PMP,5525,1.29 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,19,"MANGONDATO, FAISAL",IND,4991,1.17 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,20,"AGUILAR, FREDDIE",IND,4877,1.14 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,21,"MANICAD, JIGGY",IND,4795,1.12 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,22,"ONG, DOC WILLIE",LAKAS,3859,0.90 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,23,"ROXAS, MAR",LP,3293,0.77 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,24,"GADON, LARRY",KBL,3048,0.71 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,25,"COLMENARES, NERI",MKBYN,3024,0.71 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,26,"CHONG, GLENN",KDP,2612,0.61 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,27,"ALUNAN, RAFFY",BGMBYN,2347,0.55 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,28,"DIOKNO, CHEL",LP,1818,0.43 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,29,"ESCUDERO, AGNES",IND,1328,0.31 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,30,"PADILLA, DADO",PFP,1301,0.30 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,31,"ALEJANO, GARY",LP,1241,0.29 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,32,"TAÑADA,LORENZO ERIN TAPAT",LP,894,0.21 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,33,"ARELLANO, ERNESTO",IND,876,0.21 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,34,"MACALINTAL, MACAROMY",IND,868,0.20 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,35,"GUTOC, SAMIRA",LP,800,0.19 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,36,"MONTAÑO, ALLAN",IND,753,0.18 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,37,"CHAVEZ, MELCHOR",WPP,690,0.16 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,38,"HILBAY, PILO",AKSYON,632,0.15 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,39,"DE GUZMAN, KA LEODY",PLM,616,0.14 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,40,"ABEJO, VANGIE",IND,611,0.14 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,41,"GENEROSO,GEN PEDERALISMO",IND,552,0.13 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,42,"ALBANI, SHARIFF",WPP,541,0.13 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,43,"ALFAJORA, RICHARD",IND,497,0.12 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,44,"CASIÑO, TOTI",KDP,489,0.11 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,45,"AFUANG, ABNER",WPP,464,0.11 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,46,"ARCEGA, GERALD",WPP,453,0.11 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,47,"JANGAO, BFG ABRAHAM",IND,449,0.11 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,48,"ROLEDA, DAN KAIBIGAN",UNA,436,0.10 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,49,"ARIAS, MARCELINO",WPP,421,0.10 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,50,"FRANCISCO, ELMER",PFP,419,0.10 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,51,"VALDES, BUTCH",KDP,408,0.10 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,52,"AUSTRIA, BERNARD",PDSP,369,0.09 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,53,"MATULA, JOSE SONNY",WPP,357,0.08 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,54,"SAHIDULLA, LADY ANN",KDP,319,0.07 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,55,"MALLILLIN, EMILY",IND,307,0.07 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,56,"BALDEVARONA, BALDE",FFP,288,0.07 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,57,"CACERES, JESUS",IND,279,0.07 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,58,"JAVELLANA, RJ",KDP,275,0.06 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,59,"GUIGAYUMA, JUNBERT",WPP,271,0.06 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,59,"GADDI, CHARLIE",IND,271,0.06 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,61,"NALLIW, JOAN SHEELAH",IND,217,0.05 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,62,"MENIANO, LUTHER",WPP,147,0.03 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,PROVINCIAL GOVERNOR DAVAO  (DAVAO DEL NORTE),1,"JUBAHIB, KUYA EDWIN",PDPLBN,32414,60.93 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,PROVINCIAL GOVERNOR DAVAO  (DAVAO DEL NORTE),2,"DEL ROSARIO, RODOLFO JR.",HNP,20783,39.07 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,PARTY LIST PHILIPPINES,1,80 MARINO,80 MARINO,4672,16.37 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,PARTY LIST PHILIPPINES,2,26 PBA,26 PBA,3287,11.52 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,PARTY LIST PHILIPPINES,3,101 ACT-CIS,101 ACT-CIS,2710,9.49 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,PARTY LIST PHILIPPINES,4,130 SENIOR CITIZENS,130 SENIOR CITIZENS,1797,6.30 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,PARTY LIST PHILIPPINES,5,18 RAM,18 RAM,1306,4.58 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,PARTY LIST PHILIPPINES,6,142 COOP-NATCCO,142 COOP-NATCCO,971,3.40 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,PARTY LIST PHILIPPINES,7,1 BAYAN MUNA,1 BAYAN MUNA,954,3.34 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,PARTY LIST PHILIPPINES,8,157 DUTERTE YOUTH,157 DUTERTE YOUTH,935,3.28 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,PARTY LIST PHILIPPINES,9,147 ALENG ENTREP,147 ALENG ENTREP,801,2.81 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,PARTY LIST PHILIPPINES,10,131 A TEACHER,131 A TEACHER,645,2.26 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,PARTY LIST PHILIPPINES,11,122 1PACMAN,122 1PACMAN,619,2.17 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,PARTY LIST PHILIPPINES,12,20 DUMPER PTDA,20 DUMPER PTDA,568,1.99 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,PARTY LIST PHILIPPINES,13,152 AKO PADAYON,152 AKO PADAYON,501,1.76 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,PARTY LIST PHILIPPINES,14,54 ANG PROBINSYANO,54 ANG PROBINSYANO,484,1.70 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,PARTY LIST PHILIPPINES,15,150 BHW,150 BHW,447,1.57 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,PARTY LIST PHILIPPINES,16,91 PROBINSYANO AKO,91 PROBINSYANO AKO,441,1.55 %
REGION XI,DAVAO (DAVAO DEL NORTE),ISLAND GARDEN CITY OF SAMAL,PARTY LIST PHILIPPINES,17,83 ACT TEACHERS,83 ACT TEACHERS,418,1.46 %
