region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,1,"DELA ROSA, BATO",PDPLBN,9395,13.34 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,2,"GO, BONG GO",PDPLBN,7424,10.54 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,3,"BONG REVILLA, RAMON JR",LAKAS,5572,7.91 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,4,"VILLAR, CYNTHIA",NP,4205,5.97 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,5,"CAYETANO, PIA",NP,3473,4.93 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,6,"LAPID, LITO",NPC,3356,4.76 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,7,"ESTRADA, JINGGOY",PMP,2960,4.20 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,8,"EJERCITO, ESTRADA JV",NPC,2945,4.18 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,9,"MARCOS, IMEE",NP,2912,4.13 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,10,"PIMENTEL, KOKO",PDPLBN,2862,4.06 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,11,"POE, GRACE",IND,2730,3.88 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,12,"TOLENTINO, FRANCIS",PDPLBN,2683,3.81 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,13,"ANGARA, EDGARDO SONNY",LDP,2486,3.53 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,14,"BINAY, NANCY",UNA,2419,3.43 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,15,"MANGUDADATU, DONG",PDPLBN,2007,2.85 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,16,"AQUINO, BENIGNO BAM",LP,1441,2.05 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,17,"AGUILAR, FREDDIE",IND,1078,1.53 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,18,"OSMEÑA, SERGE",IND,917,1.30 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,19,"ROXAS, MAR",LP,862,1.22 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,20,"ENRILE, JUAN PONCE",PMP,832,1.18 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,21,"MANGONDATO, FAISAL",IND,666,0.95 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,22,"PADILLA, DADO",PFP,435,0.62 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,23,"CHAVEZ, MELCHOR",WPP,399,0.57 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,24,"ALEJANO, GARY",LP,324,0.46 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,25,"MANICAD, JIGGY",IND,316,0.45 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,26,"ABEJO, VANGIE",IND,298,0.42 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,27,"MONTAÑO, ALLAN",IND,292,0.41 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,28,"DIOKNO, CHEL",LP,270,0.38 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,29,"ALUNAN, RAFFY",BGMBYN,262,0.37 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,30,"ONG, DOC WILLIE",LAKAS,257,0.36 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,31,"ALBANI, SHARIFF",WPP,253,0.36 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,32,"ARELLANO, ERNESTO",IND,237,0.34 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,33,"GADON, LARRY",KBL,224,0.32 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,34,"COLMENARES, NERI",MKBYN,222,0.32 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,35,"ESCUDERO, AGNES",IND,215,0.31 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,36,"CHONG, GLENN",KDP,191,0.27 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,37,"TAÑADA,LORENZO ERIN TAPAT",LP,189,0.27 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,38,"MACALINTAL, MACAROMY",IND,187,0.27 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,39,"AFUANG, ABNER",WPP,167,0.24 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,40,"DE GUZMAN, KA LEODY",PLM,165,0.23 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,41,"GENEROSO,GEN PEDERALISMO",IND,158,0.22 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,42,"CASIÑO, TOTI",KDP,153,0.22 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,43,"GUTOC, SAMIRA",LP,148,0.21 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,44,"ALFAJORA, RICHARD",IND,145,0.21 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,45,"JANGAO, BFG ABRAHAM",IND,142,0.20 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,46,"AUSTRIA, BERNARD",PDSP,132,0.19 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,47,"HILBAY, PILO",AKSYON,126,0.18 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,48,"ARIAS, MARCELINO",WPP,125,0.18 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,49,"ROLEDA, DAN KAIBIGAN",UNA,123,0.17 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,50,"FRANCISCO, ELMER",PFP,120,0.17 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,51,"JAVELLANA, RJ",KDP,116,0.16 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,52,"ARCEGA, GERALD",WPP,115,0.16 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,53,"GUIGAYUMA, JUNBERT",WPP,86,0.12 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,54,"CACERES, JESUS",IND,85,0.12 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,55,"SAHIDULLA, LADY ANN",KDP,82,0.12 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,56,"MATULA, JOSE SONNY",WPP,80,0.11 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,57,"MALLILLIN, EMILY",IND,78,0.11 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,58,"NALLIW, JOAN SHEELAH",IND,70,0.10 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,58,"BALDEVARONA, BALDE",FFP,70,0.10 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,60,"GADDI, CHARLIE",IND,59,0.08 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,61,"VALDES, BUTCH",KDP,56,0.08 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,SENATOR PHILIPPINES,62,"MENIANO, LUTHER",WPP,51,0.07 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,1,20 DUMPER PTDA,20 DUMPER PTDA,8050,73.56 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,2,101 ACT-CIS,101 ACT-CIS,325,2.97 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,3,18 RAM,18 RAM,263,2.40 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,4,166 TUCP,166 TUCP,242,2.21 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,5,151 RECOBODA,151 RECOBODA,228,2.08 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,6,150 BHW,150 BHW,181,1.65 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,7,54 ANG PROBINSYANO,54 ANG PROBINSYANO,115,1.05 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,8,122 1PACMAN,122 1PACMAN,108,0.99 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,9,1 BAYAN MUNA,1 BAYAN MUNA,105,0.96 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,10,169 WOW PILIPINAS,169 WOW PILIPINAS,95,0.87 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,10,83 ACT TEACHERS,83 ACT TEACHERS,95,0.87 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,12,26 PBA,26 PBA,88,0.80 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,13,91 PROBINSYANO AKO,91 PROBINSYANO AKO,73,0.67 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,14,3 MAGSASAKA,3 MAGSASAKA,53,0.48 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,15,114 AGRI,114 AGRI,43,0.39 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,15,131 A TEACHER,131 A TEACHER,43,0.39 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,17,157 DUTERTE YOUTH,157 DUTERTE YOUTH,42,0.38 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,18,130 SENIOR CITIZENS,130 SENIOR CITIZENS,38,0.35 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,19,58 ANAC-IP,58 ANAC-IP,32,0.29 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,19,142 COOP-NATCCO,142 COOP-NATCCO,32,0.29 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,21,92 AKO BISAYA,92 AKO BISAYA,31,0.28 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,21,112 AAMBIS-OWA,112 AAMBIS-OWA,31,0.28 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,23,80 MARINO,80 MARINO,29,0.26 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,24,6 KONTRA BROWNOUT PARTYLIST,6 KONTRA BROWNOUT PARTYLIST,26,0.24 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,24,2 KABAYAN,2 KABAYAN,26,0.24 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,26,88 AKBAYAN,88 AKBAYAN,25,0.23 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,26,33 CIBAC,33 CIBAC,25,0.23 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,28,7 OFW FAMILY,7 OFW FAMILY,23,0.21 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,28,103 APPEND,103 APPEND,23,0.21 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,30,24 APEC,24 APEC,21,0.19 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,31,37 GABRIELA,37 GABRIELA,20,0.18 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,32,14 ANAKPAWIS,14 ANAKPAWIS,16,0.15 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,33,141 AKO BICOL,141 AKO BICOL,14,0.13 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,33,35 MURANG KURYENTE,35 MURANG KURYENTE,14,0.13 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,33,171 DIWA,171 DIWA,14,0.13 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,33,4 PEACE,4 PEACE,14,0.13 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,37,100 MANILA TEACHERS',100 MANILA TEACHERS',13,0.12 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,38,21 LUNTIAN,21 LUNTIAN,12,0.11 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,38,53 BH,53 BH BAGONG HENERASYON,12,0.11 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,38,99 TINGOG SINIRANGAN,99 TINGOG SINIRANGAN,12,0.11 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,38,42 KABATAAN,42 KABATAAN,12,0.11 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,42,10 GLOBAL,10 GLOBAL,11,0.10 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,43,71 1-ANG EDUKASYON,71 1-ANG EDUKASYON,10,0.09 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,43,109 KALINGA,109 KALINGA,10,0.09 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,43,17 PTA,17 PTA,10,0.09 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,46,180 GRECON,180 GRECON,9,0.08 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,46,60 PATROL,60 PATROL,9,0.08 %
REGION XI,DAVAO OCCIDENTAL,DON MARCELINO,PARTY LIST PHILIPPINES,46,116 ACTS-OFW,116 ACTS-OFW,9,0.08 %
