region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XI,DAVAO ORIENTAL,SAN ISIDRO,SENATOR PHILIPPINES,1,"GO, BONG GO",PDPLBN,10631,8.87 %
REGION XI,DAVAO ORIENTAL,SAN ISIDRO,SENATOR PHILIPPINES,2,"VILLAR, CYNTHIA",NP,10421,8.70 %
REGION XI,DAVAO ORIENTAL,SAN ISIDRO,SENATOR PHILIPPINES,3,"DELA ROSA, BATO",PDPLBN,10304,8.60 %
REGION XI,DAVAO ORIENTAL,SAN ISIDRO,SENATOR PHILIPPINES,4,"CAYETANO, PIA",NP,7484,6.25 %
REGION XI,DAVAO ORIENTAL,SAN ISIDRO,SENATOR PHILIPPINES,5,"BONG REVILLA, RAMON JR",LAKAS,7301,6.09 %
REGION XI,DAVAO ORIENTAL,SAN ISIDRO,SENATOR PHILIPPINES,6,"ANGARA, EDGARDO SONNY",LDP,6286,5.25 %
REGION XI,DAVAO ORIENTAL,SAN ISIDRO,SENATOR PHILIPPINES,7,"TOLENTINO, FRANCIS",PDPLBN,6123,5.11 %
REGION XI,DAVAO ORIENTAL,SAN ISIDRO,SENATOR PHILIPPINES,8,"PIMENTEL, KOKO",PDPLBN,5819,4.86 %
REGION XI,DAVAO ORIENTAL,SAN ISIDRO,SENATOR PHILIPPINES,9,"EJERCITO, ESTRADA JV",NPC,5542,4.63 %
REGION XI,DAVAO ORIENTAL,SAN ISIDRO,SENATOR PHILIPPINES,10,"ESTRADA, JINGGOY",PMP,5505,4.59 %
REGION XI,DAVAO ORIENTAL,SAN ISIDRO,SENATOR PHILIPPINES,11,"POE, GRACE",IND,5343,4.46 %
REGION XI,DAVAO ORIENTAL,SAN ISIDRO,SENATOR PHILIPPINES,12,"MARCOS, IMEE",NP,5341,4.46 %
REGION XI,DAVAO ORIENTAL,SAN ISIDRO,SENATOR PHILIPPINES,13,"LAPID, LITO",NPC,4877,4.07 %
REGION XI,DAVAO ORIENTAL,SAN ISIDRO,SENATOR PHILIPPINES,14,"MANGUDADATU, DONG",PDPLBN,4688,3.91 %
REGION XI,DAVAO ORIENTAL,SAN ISIDRO,SENATOR PHILIPPINES,15,"BINAY, NANCY",UNA,3922,3.27 %
REGION XI,DAVAO ORIENTAL,SAN ISIDRO,SENATOR PHILIPPINES,16,"AQUINO, BENIGNO BAM",LP,2389,1.99 %
REGION XI,DAVAO ORIENTAL,SAN ISIDRO,SENATOR PHILIPPINES,17,"OSMEÑA, SERGE",IND,2085,1.74 %
REGION XI,DAVAO ORIENTAL,SAN ISIDRO,SENATOR PHILIPPINES,18,"MANGONDATO, FAISAL",IND,1445,1.21 %
REGION XI,DAVAO ORIENTAL,SAN ISIDRO,SENATOR PHILIPPINES,19,"ENRILE, JUAN PONCE",PMP,1439,1.20 %
REGION XI,DAVAO ORIENTAL,SAN ISIDRO,SENATOR PHILIPPINES,20,"ROXAS, MAR",LP,1412,1.18 %
