region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XIII,DINAGAT ISLANDS,SAN JOSE,SENATOR PHILIPPINES,1,"GO, BONG GO",PDPLBN,8352,9.24 %
REGION XIII,DINAGAT ISLANDS,SAN JOSE,SENATOR PHILIPPINES,2,"VILLAR, CYNTHIA",NP,8078,8.93 %
REGION XIII,DINAGAT ISLANDS,SAN JOSE,SENATOR PHILIPPINES,3,"DELA ROSA, BATO",PDPLBN,7642,8.45 %
REGION XIII,DINAGAT ISLANDS,SAN JOSE,SENATOR PHILIPPINES,4,"MARCOS, IMEE",NP,6344,7.02 %
REGION XIII,DINAGAT ISLANDS,SAN JOSE,SENATOR PHILIPPINES,5,"CAYETANO, PIA",NP,5951,6.58 %
REGION XIII,DINAGAT ISLANDS,SAN JOSE,SENATOR PHILIPPINES,6,"PIMENTEL, KOKO",PDPLBN,5422,6.00 %
REGION XIII,DINAGAT ISLANDS,SAN JOSE,SENATOR PHILIPPINES,7,"TOLENTINO, FRANCIS",PDPLBN,5237,5.79 %
REGION XIII,DINAGAT ISLANDS,SAN JOSE,SENATOR PHILIPPINES,8,"BONG REVILLA, RAMON JR",LAKAS,4996,5.52 %
REGION XIII,DINAGAT ISLANDS,SAN JOSE,SENATOR PHILIPPINES,9,"LAPID, LITO",NPC,4637,5.13 %
REGION XIII,DINAGAT ISLANDS,SAN JOSE,SENATOR PHILIPPINES,10,"MANGUDADATU, DONG",PDPLBN,4099,4.53 %
REGION XIII,DINAGAT ISLANDS,SAN JOSE,SENATOR PHILIPPINES,11,"ESTRADA, JINGGOY",PMP,3687,4.08 %
REGION XIII,DINAGAT ISLANDS,SAN JOSE,SENATOR PHILIPPINES,12,"POE, GRACE",IND,3101,3.43 %
REGION XIII,DINAGAT ISLANDS,SAN JOSE,SENATOR PHILIPPINES,13,"ANGARA, EDGARDO SONNY",LDP,2892,3.20 %
REGION XIII,DINAGAT ISLANDS,SAN JOSE,SENATOR PHILIPPINES,14,"EJERCITO, ESTRADA JV",NPC,2724,3.01 %
REGION XIII,DINAGAT ISLANDS,SAN JOSE,SENATOR PHILIPPINES,15,"BINAY, NANCY",UNA,2098,2.32 %
REGION XIII,DINAGAT ISLANDS,SAN JOSE,SENATOR PHILIPPINES,16,"AQUINO, BENIGNO BAM",LP,1544,1.71 %
REGION XIII,DINAGAT ISLANDS,SAN JOSE,SENATOR PHILIPPINES,17,"ALUNAN, RAFFY",BGMBYN,1498,1.66 %
REGION XIII,DINAGAT ISLANDS,SAN JOSE,SENATOR PHILIPPINES,18,"OSMEÑA, SERGE",IND,1075,1.19 %
REGION XIII,DINAGAT ISLANDS,SAN JOSE,SENATOR PHILIPPINES,19,"ONG, DOC WILLIE",LAKAS,1064,1.18 %
REGION XIII,DINAGAT ISLANDS,SAN JOSE,SENATOR PHILIPPINES,20,"ROXAS, MAR",LP,916,1.01 %
REGION XIII,DINAGAT ISLANDS,SAN JOSE,SENATOR PHILIPPINES,21,"MANGONDATO, FAISAL",IND,833,0.92 %
REGION XIII,DINAGAT ISLANDS,SAN JOSE,SENATOR PHILIPPINES,22,"MANICAD, JIGGY",IND,826,0.91 %
REGION XIII,DINAGAT ISLANDS,SAN JOSE,SENATOR PHILIPPINES,23,"ENRILE, JUAN PONCE",PMP,752,0.83 %
REGION XIII,DINAGAT ISLANDS,SAN JOSE,SENATOR PHILIPPINES,24,"AGUILAR, FREDDIE",IND,712,0.79 %
REGION XIII,DINAGAT ISLANDS,SAN JOSE,SENATOR PHILIPPINES,25,"DIOKNO, CHEL",LP,641,0.71 %
