region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,1,"VILLAR, CYNTHIA",NP,9007,7.11 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,2,"GO, BONG GO",PDPLBN,8845,6.99 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,3,"DELA ROSA, BATO",PDPLBN,8510,6.72 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,4,"PIMENTEL, KOKO",PDPLBN,8358,6.60 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,5,"CAYETANO, PIA",NP,7452,5.89 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,6,"POE, GRACE",IND,6967,5.50 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,7,"BONG REVILLA, RAMON JR",LAKAS,6655,5.26 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,8,"LAPID, LITO",NPC,6170,4.87 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,9,"ANGARA, EDGARDO SONNY",LDP,5951,4.70 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,10,"TOLENTINO, FRANCIS",PDPLBN,5777,4.56 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,11,"BINAY, NANCY",UNA,5381,4.25 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,12,"AQUINO, BENIGNO BAM",LP,4738,3.74 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,13,"ESTRADA, JINGGOY",PMP,4709,3.72 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,14,"MARCOS, IMEE",NP,4449,3.51 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,15,"EJERCITO, ESTRADA JV",NPC,4269,3.37 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,16,"MANGUDADATU, DONG",PDPLBN,3029,2.39 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,17,"ROXAS, MAR",LP,3023,2.39 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,18,"OSMEÑA, SERGE",IND,2907,2.30 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,19,"ENRILE, JUAN PONCE",PMP,1759,1.39 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,20,"AGUILAR, FREDDIE",IND,1317,1.04 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,21,"COLMENARES, NERI",MKBYN,1209,0.95 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,22,"MANGONDATO, FAISAL",IND,1051,0.83 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,23,"DIOKNO, CHEL",LP,1032,0.82 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,24,"MANICAD, JIGGY",IND,981,0.77 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,25,"ONG, DOC WILLIE",LAKAS,942,0.74 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,26,"ALEJANO, GARY",LP,890,0.70 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,27,"TAÑADA,LORENZO ERIN TAPAT",LP,696,0.55 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,28,"GADON, LARRY",KBL,679,0.54 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,29,"ESCUDERO, AGNES",IND,669,0.53 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,30,"PADILLA, DADO",PFP,582,0.46 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,31,"GENEROSO,GEN PEDERALISMO",IND,549,0.43 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,32,"CHONG, GLENN",KDP,535,0.42 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,33,"MACALINTAL, MACAROMY",IND,511,0.40 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,34,"ALUNAN, RAFFY",BGMBYN,499,0.39 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,35,"GUTOC, SAMIRA",LP,474,0.37 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,36,"ARELLANO, ERNESTO",IND,418,0.33 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,37,"MONTAÑO, ALLAN",IND,389,0.31 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,38,"HILBAY, PILO",AKSYON,353,0.28 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,39,"CHAVEZ, MELCHOR",WPP,349,0.28 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,40,"MATULA, JOSE SONNY",WPP,348,0.27 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,41,"CASIÑO, TOTI",KDP,300,0.24 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,42,"AFUANG, ABNER",WPP,290,0.23 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,43,"DE GUZMAN, KA LEODY",PLM,279,0.22 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,43,"ABEJO, VANGIE",IND,279,0.22 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,45,"ALBANI, SHARIFF",WPP,240,0.19 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,46,"FRANCISCO, ELMER",PFP,218,0.17 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,46,"AUSTRIA, BERNARD",PDSP,218,0.17 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,48,"ARCEGA, GERALD",WPP,213,0.17 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,49,"ROLEDA, DAN KAIBIGAN",UNA,202,0.16 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,50,"CACERES, JESUS",IND,199,0.16 %
REGION XIII,SURIGAO DEL SUR,TAGBINA,SENATOR PHILIPPINES,51,"ARIAS, MARCELINO",WPP,198,0.16 %
