region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,1,"GO, BONG GO",PDPLBN,10624,8.17 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,2,"DELA ROSA, BATO",PDPLBN,10032,7.71 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,3,"BONG REVILLA, RAMON JR",LAKAS,8448,6.49 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,4,"VILLAR, CYNTHIA",NP,8420,6.47 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,5,"PIMENTEL, KOKO",PDPLBN,7385,5.68 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,6,"CAYETANO, PIA",NP,6970,5.36 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,7,"LAPID, LITO",NPC,6794,5.22 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,8,"POE, GRACE",IND,6275,4.82 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,9,"EJERCITO, ESTRADA JV",NPC,5643,4.34 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,10,"ESTRADA, JINGGOY",PMP,5453,4.19 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,11,"ANGARA, EDGARDO SONNY",LDP,5260,4.04 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,12,"TOLENTINO, FRANCIS",PDPLBN,5193,3.99 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,13,"BINAY, NANCY",UNA,4992,3.84 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,14,"MARCOS, IMEE",NP,4821,3.71 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,15,"AQUINO, BENIGNO BAM",LP,4287,3.29 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,16,"MANGUDADATU, DONG",PDPLBN,2649,2.04 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,17,"MANICAD, JIGGY",IND,2582,1.98 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,18,"ROXAS, MAR",LP,2361,1.81 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,19,"OSMEÑA, SERGE",IND,2310,1.78 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,20,"ENRILE, JUAN PONCE",PMP,1738,1.34 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,21,"COLMENARES, NERI",MKBYN,1588,1.22 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,22,"AGUILAR, FREDDIE",IND,1505,1.16 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,23,"ONG, DOC WILLIE",LAKAS,1178,0.91 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,24,"DIOKNO, CHEL",LP,972,0.75 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,25,"MANGONDATO, FAISAL",IND,929,0.71 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,26,"ALEJANO, GARY",LP,818,0.63 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,27,"GADON, LARRY",KBL,721,0.55 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,28,"TAÑADA,LORENZO ERIN TAPAT",LP,650,0.50 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,29,"PADILLA, DADO",PFP,634,0.49 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,30,"CHONG, GLENN",KDP,632,0.49 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,31,"MACALINTAL, MACAROMY",IND,579,0.44 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,32,"GUTOC, SAMIRA",LP,563,0.43 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,33,"ESCUDERO, AGNES",IND,535,0.41 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,34,"ALUNAN, RAFFY",BGMBYN,523,0.40 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,35,"HILBAY, PILO",AKSYON,415,0.32 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,35,"CHAVEZ, MELCHOR",WPP,415,0.32 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,37,"MONTAÑO, ALLAN",IND,362,0.28 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,38,"ARELLANO, ERNESTO",IND,323,0.25 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,39,"DE GUZMAN, KA LEODY",PLM,306,0.24 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,40,"ABEJO, VANGIE",IND,299,0.23 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,41,"CASIÑO, TOTI",KDP,293,0.23 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,42,"GENEROSO,GEN PEDERALISMO",IND,272,0.21 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,43,"VALDES, BUTCH",KDP,269,0.21 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,44,"ALBANI, SHARIFF",WPP,262,0.20 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,45,"ARCEGA, GERALD",WPP,219,0.17 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,46,"JANGAO, BFG ABRAHAM",IND,213,0.16 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,47,"ALFAJORA, RICHARD",IND,206,0.16 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,48,"ROLEDA, DAN KAIBIGAN",UNA,198,0.15 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,49,"FRANCISCO, ELMER",PFP,194,0.15 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,50,"AFUANG, ABNER",WPP,192,0.15 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,51,"ARIAS, MARCELINO",WPP,180,0.14 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,52,"AUSTRIA, BERNARD",PDSP,178,0.14 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,53,"MATULA, JOSE SONNY",WPP,164,0.13 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,54,"MALLILLIN, EMILY",IND,153,0.12 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,55,"BALDEVARONA, BALDE",FFP,148,0.11 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,56,"GUIGAYUMA, JUNBERT",WPP,141,0.11 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,56,"CACERES, JESUS",IND,141,0.11 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,58,"GADDI, CHARLIE",IND,118,0.09 %
REGION XIII,SURIGAO DEL SUR,TAGO,SENATOR PHILIPPINES,59,"JAVELLANA, RJ",KDP,115,0.09 %
