region,province,city,position,rank,candidate_name,party,votes,percentage
BARMM,BASILAN,AL-BARKA,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,20,0.24 %
BARMM,BASILAN,AL-BARKA,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,5,0.06 %
BARMM,BASILAN,AL-BARKA,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,66,0.81 %
BARMM,BASILAN,AL-BARKA,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,30,0.37 %
BARMM,BASILAN,AL-BARKA,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,10,0.12 %
BARMM,BASILAN,AL-BARKA,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,488,6.04 %
BARMM,BASILAN,AL-BARKA,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,5785,71.71 %
BARMM,BASILAN,AL-BARKA,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,7,0.08 %
BARMM,BASILAN,AL-BARKA,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,3,0.03 %
BARMM,BASILAN,AL-BARKA,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,5,0.06 %
BARMM,BASILAN,AL-BARKA,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,7480,95.79 %
BARMM,BASILAN,AL-BARKA,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,17,0.21 %
BARMM,BASILAN,AL-BARKA,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,13,0.16 %
BARMM,BASILAN,AL-BARKA,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,226,2.89 %
BARMM,BASILAN,AL-BARKA,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,10,0.12 %
BARMM,BASILAN,AL-BARKA,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,47,0.60 %
BARMM,BASILAN,AL-BARKA,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,117,0.47 %
BARMM,BASILAN,AL-BARKA,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,1018,4.12 %
BARMM,BASILAN,AL-BARKA,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,58,0.23 %
BARMM,BASILAN,AL-BARKA,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,126,0.51 %
BARMM,BASILAN,AL-BARKA,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,74,0.30 %
BARMM,BASILAN,AL-BARKA,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,489,1.98 %
BARMM,BASILAN,AL-BARKA,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,87,0.35 %
BARMM,BASILAN,AL-BARKA,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,368,1.49 %
