region,province,city,position,rank,candidate_name,party,votes,percentage
BARMM,BASILAN,TABUAN-LASA,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,10844,77.92 %
BARMM,BASILAN,TABUAN-LASA,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,2970,21.34 %
BARMM,BASILAN,TABUAN-LASA,PRESIDENT PHILIPPINES,3,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,90,0.64 %
BARMM,BASILAN,TABUAN-LASA,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO (PDSP)",PDSP,6,0.04 %
BARMM,BASILAN,TABUAN-LASA,PRESIDENT PHILIPPINES,5,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,3,0.02 %
BARMM,BASILAN,TABUAN-LASA,PRESIDENT PHILIPPINES,6,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,3,0.02 %
BARMM,BASILAN,TABUAN-LASA,PRESIDENT PHILIPPINES,7,"ABELLA, ERNIE (IND)",IND,0,0.00 %
BARMM,BASILAN,TABUAN-LASA,PRESIDENT PHILIPPINES,8,"DE GUZMAN, LEODY (PLM)",PLM,0,0.00 %
BARMM,BASILAN,TABUAN-LASA,PRESIDENT PHILIPPINES,9,"LACSON, PING (PDR)",PDR,0,0.00 %
BARMM,BASILAN,TABUAN-LASA,PRESIDENT PHILIPPINES,10,"MONTEMAYOR, JOSE JR. (DPP)",DPP,0,0.00 %
BARMM,BASILAN,TABUAN-LASA,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,12424,91.48 %
BARMM,BASILAN,TABUAN-LASA,VICE PRESIDENT PHILIPPINES,2,"PANGILINAN, KIKO (LP)",LP,880,6.47 %
BARMM,BASILAN,TABUAN-LASA,VICE PRESIDENT PHILIPPINES,3,"SOTTO, VICENTE TITO (NPC)",NPC,267,1.96 %
BARMM,BASILAN,TABUAN-LASA,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,9,0.06 %
BARMM,BASILAN,TABUAN-LASA,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD (WPP)",WPP,1,0.00 %
BARMM,BASILAN,TABUAN-LASA,VICE PRESIDENT PHILIPPINES,6,"ATIENZA, LITO (PROMDI)",PROMDI,0,0.00 %
BARMM,BASILAN,TABUAN-LASA,VICE PRESIDENT PHILIPPINES,7,"BELLO, WALDEN (PLM)",PLM,0,0.00 %
BARMM,BASILAN,TABUAN-LASA,VICE PRESIDENT PHILIPPINES,8,"DAVID, RIZALITO (DPP)",DPP,0,0.00 %
BARMM,BASILAN,TABUAN-LASA,VICE PRESIDENT PHILIPPINES,9,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,0,0.00 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,1,"PADILLA, ROBIN (PDPLBN)",PDPLBN,11074,22.47 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,2,"ZUBIRI, MIGZ (IND)",IND,5374,10.90 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,3,"TEODORO, GIBO (PRP)",PRP,4270,8.66 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,4,"BINAY, JOJO (UNA)",UNA,4053,8.22 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,5,"LEGARDA, LOREN (NPC)",NPC,2857,5.79 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,6,"VILLAR, MARK (NP)",NP,2648,5.37 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,7,"ROQUE, HARRY SPOX (PRP)",PRP,1822,3.69 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,8,"GATCHALIAN, WIN (NPC)",NPC,1605,3.25 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,9,"TULFO, IDOL RAFFY (IND)",IND,1583,3.21 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,10,"ESCUDERO, CHIZ (NPC)",NPC,1484,3.01 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,11,"CAYETANO, ALAN PETER (IND)",IND,1450,2.94 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,12,"PANELO, SAL PANALO (PDPLBN)",PDPLBN,1104,2.24 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,13,"VILLANUEVA,JOEL TESDAMAN (IND)",IND,1067,2.16 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,14,"GADON, LARRY (KBL)",KBL,811,1.64 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,15,"SAHIDULLA, LADY ANNE (PDDS)",PDDS,787,1.59 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,16,"ESTRADA, JINGGOY (PMP)",PMP,765,1.55 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,17,"GORDON, WOW DICK (BVNP)",BVNP,764,1.55 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,18,"BAUTISTA, HERBERT BISTEK (NPC)",NPC,551,1.11 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,19,"EJERCITO, JV ESTRADA (NPC)",NPC,494,1.00 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,20,"HONTIVEROS, RISA (AKBAYAN)",AKBAYAN,354,0.71 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,21,"DIOKNO, CHEL (KANP)",KANP,327,0.66 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,22,"PADILLA, DRA. MINGUITA (PDR)",PDR,309,0.62 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,23,"ALBANI, IBRAHIM (WPP)",WPP,271,0.55 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,24,"DE LIMA, LEILA (LP)",LP,240,0.48 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,25,"HONASAN, GRINGO (IND)",IND,231,0.46 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,26,"DEL ROSARIO, MONSOUR (PDR)",PDR,229,0.46 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,27,"BALITA, CARL (AKSYON)",AKSYON,189,0.38 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,28,"GUTOC, SAMIRA (AKSYON)",AKSYON,189,0.38 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,29,"PIÑOL, MANNY (NPC)",NPC,182,0.36 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,30,"ZUBIAGA, CARMEN (IND)",IND,160,0.32 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,31,"PIMENTEL, ASTRA (PDPLBN)",PDPLBN,137,0.27 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,32,"KIRAM, NUR-MAHAL (IND)",IND,130,0.26 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,33,"OLARTE, ATTY/DR. LEO (BIGKIS)",BIGKIS,128,0.25 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,34,"MARCOS, FRANCIS LEO (IND)",IND,118,0.23 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,35,"TRILLANES, ANTONIO IV (LP)",LP,118,0.23 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,36,"BELGICA, GRECO (PDDS)",PDDS,113,0.22 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,37,"ELEAZAR, GEN. GUILLERMO (PDR)",PDR,98,0.19 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,38,"ESPIRITU, LUKE (PLM)",PLM,98,0.19 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,39,"AFUANG, ABNER (IND)",IND,87,0.17 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,40,"DIAZ, DING (PPP)",PPP,86,0.17 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,41,"MARCOLETA, RODANTE (PDPLBN)",PDPLBN,77,0.15 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,42,"BARBO, LUTZ (PDPLBN)",PDPLBN,73,0.14 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,43,"LACSON, KUYA ALEX (KP)",KP,70,0.14 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,44,"VALEROS, REY (IND)",IND,70,0.14 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,45,"ARRANZA, MANG JESS (IND)",IND,61,0.12 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,46,"BAGUILAT, TEDDY (LP)",LP,59,0.11 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,47,"BELLO, SILVESTRE JR. (PDPLBN)",PDPLBN,53,0.10 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,48,"RICABLANCA, WILLIE JR. (PM)",PM,45,0.09 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,49,"LANGIT, REY (PDPLBN)",PDPLBN,41,0.08 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,50,"CASTRICIONES, BRO JOHN(PDPLBN)",PDPLBN,37,0.07 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,51,"MINDALANO-ADAM,MARIETA(KTPNAN)",KTPNAN,37,0.07 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,52,"MATULA, SONNY (IND)",IND,35,0.07 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,53,"SISON, JOPET (AKSYON)",AKSYON,28,0.05 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,54,"CHAVEZ, MELCHOR (WPP)",WPP,27,0.05 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,55,"LIM, ARIEL (IND)",IND,27,0.05 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,56,"LABOG, ELMER (MKBYN)",MKBYN,25,0.05 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,57,"COLMENARES, NERI (MKBYN)",MKBYN,23,0.04 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,58,"MALLILLIN, EMILY (PPM)",PPM,21,0.04 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,59,"EREÑO, BRO. ERNIE (PM)",PM,20,0.04 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,60,"FALCONE, BAL FALCON (DPP)",DPP,20,0.04 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,61,"JAVELLANA, RJ (IND)",IND,20,0.04 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,62,"CABONEGRO, ROY (PLM)",PLM,16,0.03 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,63,"BAILEN, AGNES (IND)",IND,14,0.02 %
BARMM,BASILAN,TABUAN-LASA,SENATOR PHILIPPINES,64,"D'ANGELO, DAVID (PLM)",PLM,11,0.02 %
BARMM,BASILAN,TABUAN-LASA,PROVINCIAL GOVERNOR BASILAN,1,"HATAMAN-SALLIMAN, JIM (PDPLBN)",PDPLBN,7133,51.09 %
BARMM,BASILAN,TABUAN-LASA,PROVINCIAL GOVERNOR BASILAN,2,"AKBAR, ALFIYA (LAKAS)",LAKAS,6824,48.88 %
BARMM,BASILAN,TABUAN-LASA,PROVINCIAL GOVERNOR BASILAN,3,"AMIRIL, WALID (PDDS)",PDDS,1,0.00 %
BARMM,BASILAN,TABUAN-LASA,PROVINCIAL GOVERNOR BASILAN,4,"GARINGAN, ISMAEL (IND)",IND,1,0.00 %
BARMM,BASILAN,TABUAN-LASA,PROVINCIAL VICE-GOVERNOR BASILAN,1,"ALANO, YUSOP (PDPLBN)",PDPLBN,8691,64.56 %
BARMM,BASILAN,TABUAN-LASA,PROVINCIAL VICE-GOVERNOR BASILAN,2,"SALI, PAI (UBJP)",UBJP,4758,35.34 %
BARMM,BASILAN,TABUAN-LASA,PROVINCIAL VICE-GOVERNOR BASILAN,3,"ABDIL, MAJID (IND)",IND,7,0.05 %
BARMM,BASILAN,TABUAN-LASA,PROVINCIAL VICE-GOVERNOR BASILAN,4,"JAMIRI, RAHMA (IND)",IND,5,0.03 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG PANLALAWIGAN BASILAN - SECOND PROVDIST",1,"ASARUL, NASSER (PDPLBN)",PDPLBN,8091,17.26 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG PANLALAWIGAN BASILAN - SECOND PROVDIST",2,"HATAMAN, MARWAN (PDPLBN)",PDPLBN,6659,14.20 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG PANLALAWIGAN BASILAN - SECOND PROVDIST",3,"ARAMIL, MONSOY (PDPLBN)",PDPLBN,6575,14.03 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG PANLALAWIGAN BASILAN - SECOND PROVDIST",4,"SALLIMAN, JAY (PDPLBN)",PDPLBN,6538,13.95 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG PANLALAWIGAN BASILAN - SECOND PROVDIST",5,"SALI, YEH (UBJP)",UBJP,6090,12.99 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG PANLALAWIGAN BASILAN - SECOND PROVDIST",6,"IDRIS, HJ. KASIM (UBJP)",UBJP,4642,9.90 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG PANLALAWIGAN BASILAN - SECOND PROVDIST",7,"MAJIRUL, HAMDIE (UBJP)",UBJP,4417,9.42 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG PANLALAWIGAN BASILAN - SECOND PROVDIST",8,"KALLAHAL, DURIE (LP)",LP,2416,5.15 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG PANLALAWIGAN BASILAN - SECOND PROVDIST",9,"ABDULLA, MADZ (IND)",IND,778,1.66 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG PANLALAWIGAN BASILAN - SECOND PROVDIST",10,"AKALUN, IBNOHAIR (IND)",IND,566,1.20 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG PANLALAWIGAN BASILAN - SECOND PROVDIST",11,"JALIL, SHING (IND)",IND,76,0.16 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG PANLALAWIGAN BASILAN - SECOND PROVDIST",12,"REYES, BERT (IND)",IND,14,0.02 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, HOUSE OF REPRESENTATIVES BASILAN - LONE LEGDIST",1,"HATAMAN, MUJIV (BUP)",BUP,7189,50.76 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, HOUSE OF REPRESENTATIVES BASILAN - LONE LEGDIST",2,"JUNAID, YASMEEN (UBJP)",UBJP,6964,49.18 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, HOUSE OF REPRESENTATIVES BASILAN - LONE LEGDIST",3,"SAMIUN, MOHAMMAD ALIH (PDDS)",PDDS,4,0.02 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, HOUSE OF REPRESENTATIVES BASILAN - LONE LEGDIST",4,"JAUJOHN, ABDULHAN (IND)",IND,3,0.02 %
BARMM,BASILAN,TABUAN-LASA,MAYOR BASILAN - TABUAN-LASA,1,"MANISAN, MONER (PDPLBN)",PDPLBN,7045,50.48 %
BARMM,BASILAN,TABUAN-LASA,MAYOR BASILAN - TABUAN-LASA,2,"JUNAID, BRENDA (UBJP)",UBJP,6911,49.51 %
BARMM,BASILAN,TABUAN-LASA,VICE-MAYOR BASILAN - TABUAN-LASA,1,"AHALUL, ISNIRUL (PDPLBN)",PDPLBN,7046,51.31 %
BARMM,BASILAN,TABUAN-LASA,VICE-MAYOR BASILAN - TABUAN-LASA,2,"AHALUL, GREGORY (IND)",IND,6506,47.38 %
BARMM,BASILAN,TABUAN-LASA,VICE-MAYOR BASILAN - TABUAN-LASA,3,"ABDULGANI, GAPOR (PDDS)",PDDS,178,1.29 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG BAYAN BASILAN - TABUAN-LASA - LONE DIST",1,"JUNAID, MUCTAR (LAKAS)",LAKAS,6632,6.76 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG BAYAN BASILAN - TABUAN-LASA - LONE DIST",2,"JUNAID, KAPID (LAKAS)",LAKAS,6530,6.65 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG BAYAN BASILAN - TABUAN-LASA - LONE DIST",3,"HARUN, HAKIM (LAKAS)",LAKAS,6491,6.61 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG BAYAN BASILAN - TABUAN-LASA - LONE DIST",4,"HAJI, HALIL (PDPLBN)",PDPLBN,6404,6.52 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG BAYAN BASILAN - TABUAN-LASA - LONE DIST",5,"ALPAD, FAROUCK (PDPLBN)",PDPLBN,6372,6.49 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG BAYAN BASILAN - TABUAN-LASA - LONE DIST",6,"ABDUSSALAM, MUKTADIR (PDPLBN)",PDPLBN,5995,6.11 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG BAYAN BASILAN - TABUAN-LASA - LONE DIST",7,"ABUBAKAR, AHIYA (PDPLBN)",PDPLBN,5669,5.78 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG BAYAN BASILAN - TABUAN-LASA - LONE DIST",8,"ABDULKARIM, MAHDAR (PDPLBN)",PDPLBN,5463,5.57 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG BAYAN BASILAN - TABUAN-LASA - LONE DIST",9,"ASARUL, UMMISALMA (UBJP)",UBJP,5252,5.35 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG BAYAN BASILAN - TABUAN-LASA - LONE DIST",10,"JANNA, USMAN (PDPLBN)",PDPLBN,5095,5.19 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG BAYAN BASILAN - TABUAN-LASA - LONE DIST",11,"ANGKIBO, OMAR (LAKAS)",LAKAS,4914,5.01 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG BAYAN BASILAN - TABUAN-LASA - LONE DIST",12,"SALI, ABDULJOHN (IND)",IND,4879,4.97 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG BAYAN BASILAN - TABUAN-LASA - LONE DIST",13,"ABDILLA, ALDEN (IND)",IND,4531,4.62 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG BAYAN BASILAN - TABUAN-LASA - LONE DIST",14,"MUSTAPA, MAKSUD (IND)",IND,4221,4.30 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG BAYAN BASILAN - TABUAN-LASA - LONE DIST",15,"MUSTAPA, ARSAIMA (UBJP)",UBJP,4183,4.26 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG BAYAN BASILAN - TABUAN-LASA - LONE DIST",16,"ASHIER, OMAR (LAKAS)",LAKAS,3447,3.51 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG BAYAN BASILAN - TABUAN-LASA - LONE DIST",17,"ANSAY, GAPOR (IND)",IND,2678,2.73 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG BAYAN BASILAN - TABUAN-LASA - LONE DIST",18,"ABDULGANI, ABADIA (PDDS)",PDDS,2634,2.68 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG BAYAN BASILAN - TABUAN-LASA - LONE DIST",19,"HARIS, ABDULNUE (PDDS)",PDDS,2360,2.40 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG BAYAN BASILAN - TABUAN-LASA - LONE DIST",20,"HUSSAIN, NUHI (PDDS)",PDDS,1614,1.64 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG BAYAN BASILAN - TABUAN-LASA - LONE DIST",21,"UNDUG, DARWISA (IND)",IND,1545,1.57 %
BARMM,BASILAN,TABUAN-LASA,"MEMBER, SANGGUNIANG BAYAN BASILAN - TABUAN-LASA - LONE DIST",22,"PABO, ZALDY (IND)",IND,1163,1.18 %
BARMM,BASILAN,TABUAN-LASA,PARTY LIST PHILIPPINES,1,160 AMIN,160 AMIN,4178,37.51 %
BARMM,BASILAN,TABUAN-LASA,PARTY LIST PHILIPPINES,2,122 KUSUG TAUSUG,122 KUSUG TAUSUG,3293,29.57 %
BARMM,BASILAN,TABUAN-LASA,PARTY LIST PHILIPPINES,3,103 CWS,103 CWS,1302,11.69 %
BARMM,BASILAN,TABUAN-LASA,PARTY LIST PHILIPPINES,4,71 ANGAT PINOY,71 ANGAT PINOY,769,6.90 %
BARMM,BASILAN,TABUAN-LASA,PARTY LIST PHILIPPINES,5,20 4PS,20 4PS,327,2.93 %
