region,province,city,position,rank,candidate_name,party,votes,percentage
BARMM,LANAO DEL SUR,BALABAGAN,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,6662,49.70 %
BARMM,LANAO DEL SUR,BALABAGAN,PRESIDENT PHILIPPINES,2,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,3536,26.38 %
BARMM,LANAO DEL SUR,BALABAGAN,PRESIDENT PHILIPPINES,3,"ROBREDO, LENI (IND)",IND,2283,17.03 %
BARMM,LANAO DEL SUR,BALABAGAN,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,360,2.68 %
BARMM,LANAO DEL SUR,BALABAGAN,PRESIDENT PHILIPPINES,5,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,268,1.99 %
BARMM,LANAO DEL SUR,BALABAGAN,PRESIDENT PHILIPPINES,6,"LACSON, PING (PDR)",PDR,214,1.59 %
BARMM,LANAO DEL SUR,BALABAGAN,PRESIDENT PHILIPPINES,7,"ABELLA, ERNIE (IND)",IND,35,0.26 %
BARMM,LANAO DEL SUR,BALABAGAN,PRESIDENT PHILIPPINES,8,"GONZALES, NORBERTO (PDSP)",PDSP,22,0.16 %
BARMM,LANAO DEL SUR,BALABAGAN,PRESIDENT PHILIPPINES,9,"MONTEMAYOR, JOSE JR. (DPP)",DPP,12,0.08 %
BARMM,LANAO DEL SUR,BALABAGAN,PRESIDENT PHILIPPINES,10,"DE GUZMAN, LEODY (PLM)",PLM,10,0.07 %
BARMM,LANAO DEL SUR,BALABAGAN,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,11293,88.58 %
BARMM,LANAO DEL SUR,BALABAGAN,VICE PRESIDENT PHILIPPINES,2,"PANGILINAN, KIKO (LP)",LP,614,4.81 %
BARMM,LANAO DEL SUR,BALABAGAN,VICE PRESIDENT PHILIPPINES,3,"SOTTO, VICENTE TITO (NPC)",NPC,552,4.33 %
BARMM,LANAO DEL SUR,BALABAGAN,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,128,1.00 %
BARMM,LANAO DEL SUR,BALABAGAN,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD (WPP)",WPP,38,0.29 %
BARMM,LANAO DEL SUR,BALABAGAN,VICE PRESIDENT PHILIPPINES,6,"ATIENZA, LITO (PROMDI)",PROMDI,37,0.29 %
BARMM,LANAO DEL SUR,BALABAGAN,VICE PRESIDENT PHILIPPINES,7,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,36,0.28 %
BARMM,LANAO DEL SUR,BALABAGAN,VICE PRESIDENT PHILIPPINES,8,"BELLO, WALDEN (PLM)",PLM,34,0.26 %
BARMM,LANAO DEL SUR,BALABAGAN,VICE PRESIDENT PHILIPPINES,9,"DAVID, RIZALITO (DPP)",DPP,16,0.12 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,1,"PADILLA, ROBIN (PDPLBN)",PDPLBN,11049,16.08 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,2,"GUTOC, SAMIRA (AKSYON)",AKSYON,6843,9.96 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,3,"ZUBIRI, MIGZ (IND)",IND,3179,4.62 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,4,"TULFO, IDOL RAFFY (IND)",IND,3075,4.47 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,5,"LEGARDA, LOREN (NPC)",NPC,2876,4.18 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,6,"ESTRADA, JINGGOY (PMP)",PMP,2764,4.02 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,7,"EJERCITO, JV ESTRADA (NPC)",NPC,2653,3.86 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,8,"VILLAR, MARK (NP)",NP,2531,3.68 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,9,"CAYETANO, ALAN PETER (IND)",IND,2467,3.59 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,10,"BINAY, JOJO (UNA)",UNA,2405,3.50 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,11,"BAUTISTA, HERBERT BISTEK (NPC)",NPC,2069,3.01 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,12,"ESCUDERO, CHIZ (NPC)",NPC,1795,2.61 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,13,"GATCHALIAN, WIN (NPC)",NPC,1749,2.54 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,14,"ROQUE, HARRY SPOX (PRP)",PRP,1587,2.31 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,15,"VILLANUEVA,JOEL TESDAMAN (IND)",IND,1582,2.30 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,16,"PIÑOL, MANNY (NPC)",NPC,1433,2.08 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,17,"HONTIVEROS, RISA (AKBAYAN)",AKBAYAN,1373,1.99 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,18,"HONASAN, GRINGO (IND)",IND,1340,1.95 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,19,"ELEAZAR, GEN. GUILLERMO (PDR)",PDR,1142,1.66 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,20,"TEODORO, GIBO (PRP)",PRP,1000,1.45 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,21,"ALBANI, IBRAHIM (WPP)",WPP,872,1.26 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,22,"PADILLA, DRA. MINGUITA (PDR)",PDR,855,1.24 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,23,"GADON, LARRY (KBL)",KBL,799,1.16 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,24,"TRILLANES, ANTONIO IV (LP)",LP,723,1.05 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,25,"MINDALANO-ADAM,MARIETA(KTPNAN)",KTPNAN,718,1.04 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,26,"GORDON, WOW DICK (BVNP)",BVNP,680,0.99 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,27,"BALITA, CARL (AKSYON)",AKSYON,678,0.98 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,28,"DEL ROSARIO, MONSOUR (PDR)",PDR,592,0.86 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,29,"MARCOS, FRANCIS LEO (IND)",IND,574,0.83 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,30,"LACSON, KUYA ALEX (KP)",KP,553,0.80 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,31,"PANELO, SAL PANALO (PDPLBN)",PDPLBN,551,0.80 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,32,"DIOKNO, CHEL (KANP)",KANP,496,0.72 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,33,"PIMENTEL, ASTRA (PDPLBN)",PDPLBN,433,0.63 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,34,"KIRAM, NUR-MAHAL (IND)",IND,415,0.60 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,35,"DE LIMA, LEILA (LP)",LP,367,0.53 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,36,"MARCOLETA, RODANTE (PDPLBN)",PDPLBN,298,0.43 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,37,"COLMENARES, NERI (MKBYN)",MKBYN,252,0.36 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,38,"BELGICA, GRECO (PDDS)",PDDS,205,0.29 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,39,"SAHIDULLA, LADY ANNE (PDDS)",PDDS,205,0.29 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,40,"BAGUILAT, TEDDY (LP)",LP,202,0.29 %
BARMM,LANAO DEL SUR,BALABAGAN,SENATOR PHILIPPINES,41,"BAILEN, AGNES (IND)",IND,202,0.29 %
