region,province,city,position,rank,candidate_name,party,votes,percentage
BARMM,MAGUINDANAO,DATU BLAH T. SINSUAT,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,6218,50.61 %
BARMM,MAGUINDANAO,DATU BLAH T. SINSUAT,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,5856,47.66 %
BARMM,MAGUINDANAO,DATU BLAH T. SINSUAT,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,134,1.09 %
BARMM,MAGUINDANAO,DATU BLAH T. SINSUAT,PRESIDENT PHILIPPINES,4,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,42,0.34 %
BARMM,MAGUINDANAO,DATU BLAH T. SINSUAT,PRESIDENT PHILIPPINES,5,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,13,0.10 %
BARMM,MAGUINDANAO,DATU BLAH T. SINSUAT,PRESIDENT PHILIPPINES,6,"LACSON, PING (PDR)",PDR,9,0.07 %
BARMM,MAGUINDANAO,DATU BLAH T. SINSUAT,PRESIDENT PHILIPPINES,7,"GONZALES, NORBERTO (PDSP)",PDSP,6,0.04 %
BARMM,MAGUINDANAO,DATU BLAH T. SINSUAT,PRESIDENT PHILIPPINES,8,"ABELLA, ERNIE (IND)",IND,5,0.04 %
BARMM,MAGUINDANAO,DATU BLAH T. SINSUAT,PRESIDENT PHILIPPINES,9,"MONTEMAYOR, JOSE JR. (DPP)",DPP,2,0.01 %
BARMM,MAGUINDANAO,DATU BLAH T. SINSUAT,PRESIDENT PHILIPPINES,10,"DE GUZMAN, LEODY (PLM)",PLM,0,0.00 %
BARMM,MAGUINDANAO,DATU BLAH T. SINSUAT,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,12034,98.02 %
BARMM,MAGUINDANAO,DATU BLAH T. SINSUAT,VICE PRESIDENT PHILIPPINES,2,"PANGILINAN, KIKO (LP)",LP,167,1.36 %
BARMM,MAGUINDANAO,DATU BLAH T. SINSUAT,VICE PRESIDENT PHILIPPINES,3,"SOTTO, VICENTE TITO (NPC)",NPC,42,0.34 %
BARMM,MAGUINDANAO,DATU BLAH T. SINSUAT,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,11,0.08 %
BARMM,MAGUINDANAO,DATU BLAH T. SINSUAT,VICE PRESIDENT PHILIPPINES,5,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,11,0.08 %
BARMM,MAGUINDANAO,DATU BLAH T. SINSUAT,VICE PRESIDENT PHILIPPINES,6,"DAVID, RIZALITO (DPP)",DPP,4,0.03 %
BARMM,MAGUINDANAO,DATU BLAH T. SINSUAT,VICE PRESIDENT PHILIPPINES,7,"LOPEZ, MANNY SD (WPP)",WPP,4,0.03 %
BARMM,MAGUINDANAO,DATU BLAH T. SINSUAT,VICE PRESIDENT PHILIPPINES,8,"ATIENZA, LITO (PROMDI)",PROMDI,3,0.02 %
BARMM,MAGUINDANAO,DATU BLAH T. SINSUAT,VICE PRESIDENT PHILIPPINES,9,"BELLO, WALDEN (PLM)",PLM,1,0.00 %
BARMM,MAGUINDANAO,DATU BLAH T. SINSUAT,SENATOR PHILIPPINES,1,"PADILLA, ROBIN (PDPLBN)",PDPLBN,10398,12.31 %
BARMM,MAGUINDANAO,DATU BLAH T. SINSUAT,SENATOR PHILIPPINES,2,"ZUBIRI, MIGZ (IND)",IND,8279,9.80 %
