region,province,city,position,rank,candidate_name,party,votes,percentage
BARMM,MAGUINDANAO,SHARIFF AGUAK,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,10749,65.96 %
BARMM,MAGUINDANAO,SHARIFF AGUAK,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,4252,26.09 %
BARMM,MAGUINDANAO,SHARIFF AGUAK,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,730,4.47 %
BARMM,MAGUINDANAO,SHARIFF AGUAK,PRESIDENT PHILIPPINES,4,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,249,1.52 %
BARMM,MAGUINDANAO,SHARIFF AGUAK,PRESIDENT PHILIPPINES,5,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,198,1.21 %
BARMM,MAGUINDANAO,SHARIFF AGUAK,PRESIDENT PHILIPPINES,6,"LACSON, PING (PDR)",PDR,38,0.23 %
BARMM,MAGUINDANAO,SHARIFF AGUAK,PRESIDENT PHILIPPINES,7,"ABELLA, ERNIE (IND)",IND,36,0.22 %
BARMM,MAGUINDANAO,SHARIFF AGUAK,PRESIDENT PHILIPPINES,8,"GONZALES, NORBERTO (PDSP)",PDSP,27,0.16 %
BARMM,MAGUINDANAO,SHARIFF AGUAK,PRESIDENT PHILIPPINES,9,"MONTEMAYOR, JOSE JR. (DPP)",DPP,9,0.05 %
BARMM,MAGUINDANAO,SHARIFF AGUAK,PRESIDENT PHILIPPINES,10,"DE GUZMAN, LEODY (PLM)",PLM,8,0.04 %
BARMM,MAGUINDANAO,SHARIFF AGUAK,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,15547,95.44 %
BARMM,MAGUINDANAO,SHARIFF AGUAK,VICE PRESIDENT PHILIPPINES,2,"PANGILINAN, KIKO (LP)",LP,453,2.78 %
BARMM,MAGUINDANAO,SHARIFF AGUAK,VICE PRESIDENT PHILIPPINES,3,"SOTTO, VICENTE TITO (NPC)",NPC,148,0.90 %
BARMM,MAGUINDANAO,SHARIFF AGUAK,VICE PRESIDENT PHILIPPINES,4,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,48,0.29 %
BARMM,MAGUINDANAO,SHARIFF AGUAK,VICE PRESIDENT PHILIPPINES,5,"ONG, DOC WILLIE (AKSYON)",AKSYON,41,0.25 %
BARMM,MAGUINDANAO,SHARIFF AGUAK,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,24,0.14 %
BARMM,MAGUINDANAO,SHARIFF AGUAK,VICE PRESIDENT PHILIPPINES,7,"ATIENZA, LITO (PROMDI)",PROMDI,14,0.08 %
BARMM,MAGUINDANAO,SHARIFF AGUAK,VICE PRESIDENT PHILIPPINES,8,"DAVID, RIZALITO (DPP)",DPP,11,0.06 %
BARMM,MAGUINDANAO,SHARIFF AGUAK,VICE PRESIDENT PHILIPPINES,9,"BELLO, WALDEN (PLM)",PLM,3,0.01 %
BARMM,MAGUINDANAO,SHARIFF AGUAK,SENATOR PHILIPPINES,1,"PADILLA, ROBIN (PDPLBN)",PDPLBN,15611,18.38 %
