region,province,city,position,rank,candidate_name,party,votes,percentage
BARMM,MAGUINDANAO,TALAYAN,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,14487,86.57 %
BARMM,MAGUINDANAO,TALAYAN,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,1721,10.28 %
BARMM,MAGUINDANAO,TALAYAN,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,340,2.03 %
BARMM,MAGUINDANAO,TALAYAN,PRESIDENT PHILIPPINES,4,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,141,0.84 %
BARMM,MAGUINDANAO,TALAYAN,PRESIDENT PHILIPPINES,5,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,24,0.14 %
BARMM,MAGUINDANAO,TALAYAN,PRESIDENT PHILIPPINES,6,"GONZALES, NORBERTO (PDSP)",PDSP,7,0.04 %
BARMM,MAGUINDANAO,TALAYAN,PRESIDENT PHILIPPINES,7,"MONTEMAYOR, JOSE JR. (DPP)",DPP,5,0.02 %
BARMM,MAGUINDANAO,TALAYAN,PRESIDENT PHILIPPINES,8,"ABELLA, ERNIE (IND)",IND,3,0.01 %
BARMM,MAGUINDANAO,TALAYAN,PRESIDENT PHILIPPINES,9,"DE GUZMAN, LEODY (PLM)",PLM,3,0.01 %
BARMM,MAGUINDANAO,TALAYAN,PRESIDENT PHILIPPINES,10,"LACSON, PING (PDR)",PDR,3,0.01 %
BARMM,MAGUINDANAO,TALAYAN,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,17011,98.98 %
BARMM,MAGUINDANAO,TALAYAN,VICE PRESIDENT PHILIPPINES,2,"PANGILINAN, KIKO (LP)",LP,105,0.61 %
BARMM,MAGUINDANAO,TALAYAN,VICE PRESIDENT PHILIPPINES,3,"SOTTO, VICENTE TITO (NPC)",NPC,54,0.31 %
BARMM,MAGUINDANAO,TALAYAN,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,9,0.05 %
BARMM,MAGUINDANAO,TALAYAN,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,4,0.02 %
BARMM,MAGUINDANAO,TALAYAN,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,2,0.01 %
BARMM,MAGUINDANAO,TALAYAN,VICE PRESIDENT PHILIPPINES,7,"BELLO, WALDEN (PLM)",PLM,0,0.00 %
BARMM,MAGUINDANAO,TALAYAN,VICE PRESIDENT PHILIPPINES,8,"DAVID, RIZALITO (DPP)",DPP,0,0.00 %
BARMM,MAGUINDANAO,TALAYAN,VICE PRESIDENT PHILIPPINES,9,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,0,0.00 %
BARMM,MAGUINDANAO,TALAYAN,SENATOR PHILIPPINES,1,"PADILLA, ROBIN (PDPLBN)",PDPLBN,16732,12.28 %
BARMM,MAGUINDANAO,TALAYAN,SENATOR PHILIPPINES,2,"ZUBIRI, MIGZ (IND)",IND,14294,10.49 %
BARMM,MAGUINDANAO,TALAYAN,SENATOR PHILIPPINES,3,"BINAY, JOJO (UNA)",UNA,14158,10.39 %
BARMM,MAGUINDANAO,TALAYAN,SENATOR PHILIPPINES,4,"LEGARDA, LOREN (NPC)",NPC,11608,8.52 %
BARMM,MAGUINDANAO,TALAYAN,SENATOR PHILIPPINES,5,"GATCHALIAN, WIN (NPC)",NPC,10907,8.00 %
BARMM,MAGUINDANAO,TALAYAN,SENATOR PHILIPPINES,6,"VILLAR, MARK (NP)",NP,10317,7.57 %
BARMM,MAGUINDANAO,TALAYAN,SENATOR PHILIPPINES,7,"HONTIVEROS, RISA (AKBAYAN)",AKBAYAN,9696,7.11 %
BARMM,MAGUINDANAO,TALAYAN,SENATOR PHILIPPINES,8,"ROQUE, HARRY SPOX (PRP)",PRP,8540,6.26 %
