region,province,city,position,rank,candidate_name,party,votes,percentage
BARMM,TAWI-TAWI,SAPA-SAPA,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,13404,89.55 %
BARMM,TAWI-TAWI,SAPA-SAPA,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,1053,7.03 %
BARMM,TAWI-TAWI,SAPA-SAPA,PRESIDENT PHILIPPINES,3,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,288,1.92 %
BARMM,TAWI-TAWI,SAPA-SAPA,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,132,0.88 %
BARMM,TAWI-TAWI,SAPA-SAPA,PRESIDENT PHILIPPINES,5,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,47,0.31 %
BARMM,TAWI-TAWI,SAPA-SAPA,PRESIDENT PHILIPPINES,6,"GONZALES, NORBERTO (PDSP)",PDSP,18,0.12 %
BARMM,TAWI-TAWI,SAPA-SAPA,PRESIDENT PHILIPPINES,7,"ABELLA, ERNIE (IND)",IND,11,0.07 %
BARMM,TAWI-TAWI,SAPA-SAPA,PRESIDENT PHILIPPINES,8,"LACSON, PING (PDR)",PDR,7,0.04 %
BARMM,TAWI-TAWI,SAPA-SAPA,PRESIDENT PHILIPPINES,9,"MONTEMAYOR, JOSE JR. (DPP)",DPP,6,0.04 %
BARMM,TAWI-TAWI,SAPA-SAPA,PRESIDENT PHILIPPINES,10,"DE GUZMAN, LEODY (PLM)",PLM,2,0.01 %
BARMM,TAWI-TAWI,SAPA-SAPA,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,13644,95.19 %
BARMM,TAWI-TAWI,SAPA-SAPA,VICE PRESIDENT PHILIPPINES,2,"PANGILINAN, KIKO (LP)",LP,484,3.37 %
BARMM,TAWI-TAWI,SAPA-SAPA,VICE PRESIDENT PHILIPPINES,3,"SOTTO, VICENTE TITO (NPC)",NPC,129,0.90 %
BARMM,TAWI-TAWI,SAPA-SAPA,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,37,0.25 %
BARMM,TAWI-TAWI,SAPA-SAPA,VICE PRESIDENT PHILIPPINES,5,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,12,0.08 %
BARMM,TAWI-TAWI,SAPA-SAPA,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,11,0.07 %
BARMM,TAWI-TAWI,SAPA-SAPA,VICE PRESIDENT PHILIPPINES,7,"ATIENZA, LITO (PROMDI)",PROMDI,8,0.05 %
BARMM,TAWI-TAWI,SAPA-SAPA,VICE PRESIDENT PHILIPPINES,8,"BELLO, WALDEN (PLM)",PLM,5,0.03 %
BARMM,TAWI-TAWI,SAPA-SAPA,VICE PRESIDENT PHILIPPINES,9,"DAVID, RIZALITO (DPP)",DPP,3,0.02 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR PHILIPPINES,1,"PADILLA, ROBIN (PDPLBN)",PDPLBN,12086,33.52 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR PHILIPPINES,2,"TULFO, IDOL RAFFY (IND)",IND,1967,5.45 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR PHILIPPINES,3,"BALITA, CARL (AKSYON)",AKSYON,1363,3.78 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR PHILIPPINES,4,"VILLAR, MARK (NP)",NP,1162,3.22 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR PHILIPPINES,5,"CAYETANO, ALAN PETER (IND)",IND,1160,3.21 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR PHILIPPINES,6,"BINAY, JOJO (UNA)",UNA,1112,3.08 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR PHILIPPINES,7,"ESTRADA, JINGGOY (PMP)",PMP,1060,2.94 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR PHILIPPINES,8,"LEGARDA, LOREN (NPC)",NPC,1040,2.88 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR PHILIPPINES,9,"ZUBIRI, MIGZ (IND)",IND,1017,2.82 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR PHILIPPINES,10,"ESCUDERO, CHIZ (NPC)",NPC,879,2.43 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR PHILIPPINES,11,"GATCHALIAN, WIN (NPC)",NPC,855,2.37 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR PHILIPPINES,12,"VILLANUEVA,JOEL TESDAMAN (IND)",IND,776,2.15 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR PHILIPPINES,13,"EJERCITO, JV ESTRADA (NPC)",NPC,748,2.07 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR PHILIPPINES,14,"ROQUE, HARRY SPOX (PRP)",PRP,693,1.92 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR PHILIPPINES,15,"ELEAZAR, GEN. GUILLERMO (PDR)",PDR,665,1.84 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR PHILIPPINES,16,"ALBANI, IBRAHIM (WPP)",WPP,568,1.57 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR PHILIPPINES,17,"MARCOS, FRANCIS LEO (IND)",IND,561,1.55 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR PHILIPPINES,18,"GUTOC, SAMIRA (AKSYON)",AKSYON,417,1.15 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR PHILIPPINES,19,"HONASAN, GRINGO (IND)",IND,401,1.11 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR PHILIPPINES,20,"PADILLA, DRA. MINGUITA (PDR)",PDR,401,1.11 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR PHILIPPINES,21,"BAUTISTA, HERBERT BISTEK (NPC)",NPC,395,1.09 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR PHILIPPINES,22,"KIRAM, NUR-MAHAL (IND)",IND,366,1.01 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR PHILIPPINES,23,"PANELO, SAL PANALO (PDPLBN)",PDPLBN,359,0.99 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR PHILIPPINES,24,"HONTIVEROS, RISA (AKBAYAN)",AKBAYAN,332,0.92 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR PHILIPPINES,25,"TEODORO, GIBO (PRP)",PRP,331,0.91 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR PHILIPPINES,26,"GADON, LARRY (KBL)",KBL,311,0.86 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR PHILIPPINES,27,"SAHIDULLA, LADY ANNE (PDDS)",PDDS,304,0.84 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR PHILIPPINES,28,"GORDON, WOW DICK (BVNP)",BVNP,300,0.83 %
BARMM,TAWI-TAWI,SAPA-SAPA,SENATOR PHILIPPINES,29,"PIMENTEL, ASTRA (PDPLBN)",PDPLBN,283,0.78 %
