region,province,city,position,rank,candidate_name,party,votes,percentage
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PASIL,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,9,0.14 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PASIL,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,11,0.17 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PASIL,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,66,1.07 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PASIL,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,3,0.04 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PASIL,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,57,0.92 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PASIL,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,4,0.06 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PASIL,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,5428,88.34 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PASIL,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,8,0.13 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PASIL,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,10,0.16 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PASIL,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,6,0.10 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PASIL,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,5101,86.57 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PASIL,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,12,0.20 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PASIL,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,104,1.76 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PASIL,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,360,6.10 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PASIL,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,10,0.16 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PASIL,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,281,4.76 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PASIL,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,159,0.37 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PASIL,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,127,0.29 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PASIL,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,114,0.26 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PASIL,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,1598,3.72 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PASIL,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,132,0.30 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PASIL,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,916,2.13 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PASIL,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,141,0.32 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PASIL,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,1091,2.54 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PASIL,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,483,1.12 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PASIL,SENATOR PHILIPPINES,10,"BELLO, SILVESTRE JR.",PDPLBN,236,0.55 %
