region,province,city,position,rank,candidate_name,party,votes,percentage
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,50,0.29 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,32,0.18 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,121,0.70 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,26,0.15 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,150,0.87 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,15,0.08 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,15518,90.72 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,59,0.36 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,55,0.34 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,35,0.21 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,13937,86.30 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,82,0.50 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,143,0.88 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,772,4.78 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,48,0.29 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,1018,6.30 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,357,0.33 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,309,0.28 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,243,0.22 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,2187,2.04 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,300,0.27 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,1536,1.43 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,301,0.28 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,2819,2.63 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,1140,1.06 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,10,"BELLO, SILVESTRE JR.",PDPLBN,489,0.45 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,11,"BINAY, JOJO",UNA,4975,4.64 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,12,"CABONEGRO, ROY",PLM,266,0.24 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,13,"CASTRICIONES, BRO JOHN",PDPLBN,305,0.28 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,14,"CAYETANO, ALAN PETER",IND,4502,4.20 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,15,"CHAVEZ, MELCHOR",WPP,437,0.40 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,16,"COLMENARES, NERI",MKBYN,1082,1.00 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,17,"D'ANGELO, DAVID",PLM,263,0.24 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,18,"DE LIMA, LEILA",LP,1160,1.08 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,19,"DEL ROSARIO, MONSOUR",PDR,1534,1.43 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,20,"DIAZ, DING",PPP,409,0.38 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,21,"DIOKNO, CHEL",KANP,1036,0.96 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,22,"EJERCITO, JV ESTRADA",NPC,4067,3.79 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,23,"ELEAZAR, GEN. GUILLERMO",PDR,2205,2.05 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,24,"EREÑO, BRO. ERNIE",PM,264,0.24 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,25,"ESCUDERO, CHIZ",NPC,3319,3.09 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,26,"ESPIRITU, LUKE",PLM,398,0.37 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,27,"ESTRADA, JINGGOY",PMP,5689,5.30 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,28,"FALCONE, BAL FALCON",DPP,212,0.19 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,29,"GADON, LARRY",KBL,2428,2.26 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,30,"GATCHALIAN, WIN",NPC,3898,3.63 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,31,"GORDON, WOW DICK",BVNP,1882,1.75 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,32,"GUTOC, SAMIRA",AKSYON,243,0.22 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,33,"HONASAN, GRINGO",IND,3322,3.10 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,34,"HONTIVEROS, RISA",AKBAYAN,2074,1.93 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,35,"JAVELLANA, RJ",IND,249,0.23 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,36,"KIRAM, NUR-MAHAL",IND,205,0.19 %
CORDILLERA ADMINISTRATIVE REGION,KALINGA,PINUKPUK,SENATOR PHILIPPINES,37,"LABOG, ELMER",MKBYN,316,0.29 %
