region,province,city,position,rank,candidate_name,party,votes,percentage
NATIONAL CAPITAL REGION,NCR - THIRD DISTRICT,CITY OF NAVOTAS,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,86062,67.53 %
NATIONAL CAPITAL REGION,NCR - THIRD DISTRICT,CITY OF NAVOTAS,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,26310,20.64 %
NATIONAL CAPITAL REGION,NCR - THIRD DISTRICT,CITY OF NAVOTAS,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,9838,7.72 %
NATIONAL CAPITAL REGION,NCR - THIRD DISTRICT,CITY OF NAVOTAS,PRESIDENT PHILIPPINES,4,"LACSON, PING (PDR)",PDR,2515,1.97 %
NATIONAL CAPITAL REGION,NCR - THIRD DISTRICT,CITY OF NAVOTAS,PRESIDENT PHILIPPINES,5,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,2231,1.75 %
NATIONAL CAPITAL REGION,NCR - THIRD DISTRICT,CITY OF NAVOTAS,PRESIDENT PHILIPPINES,6,"DE GUZMAN, LEODY (PLM)",PLM,168,0.13 %
NATIONAL CAPITAL REGION,NCR - THIRD DISTRICT,CITY OF NAVOTAS,PRESIDENT PHILIPPINES,7,"GONZALES, NORBERTO (PDSP)",PDSP,104,0.08 %
NATIONAL CAPITAL REGION,NCR - THIRD DISTRICT,CITY OF NAVOTAS,PRESIDENT PHILIPPINES,8,"ABELLA, ERNIE (IND)",IND,83,0.06 %
NATIONAL CAPITAL REGION,NCR - THIRD DISTRICT,CITY OF NAVOTAS,PRESIDENT PHILIPPINES,9,"MONTEMAYOR, JOSE JR. (DPP)",DPP,79,0.06 %
NATIONAL CAPITAL REGION,NCR - THIRD DISTRICT,CITY OF NAVOTAS,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,39,0.03 %
NATIONAL CAPITAL REGION,NCR - THIRD DISTRICT,CITY OF NAVOTAS,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,77542,61.35 %
NATIONAL CAPITAL REGION,NCR - THIRD DISTRICT,CITY OF NAVOTAS,VICE PRESIDENT PHILIPPINES,2,"SOTTO, VICENTE TITO (NPC)",NPC,24232,19.17 %
NATIONAL CAPITAL REGION,NCR - THIRD DISTRICT,CITY OF NAVOTAS,VICE PRESIDENT PHILIPPINES,3,"PANGILINAN, KIKO (LP)",LP,15743,12.45 %
NATIONAL CAPITAL REGION,NCR - THIRD DISTRICT,CITY OF NAVOTAS,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,8202,6.48 %
