region,province,city,position,rank,candidate_name,party,votes,percentage
OAV,ASIA PACIFIC,NEGARA BRUNEI DARUSSALAM,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,4318,82.62 %
OAV,ASIA PACIFIC,NEGARA BRUNEI DARUSSALAM,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,652,12.47 %
OAV,ASIA PACIFIC,NEGARA BRUNEI DARUSSALAM,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,164,3.13 %
OAV,ASIA PACIFIC,NEGARA BRUNEI DARUSSALAM,PRESIDENT PHILIPPINES,4,"LACSON, PING (PDR)",PDR,50,0.95 %
OAV,ASIA PACIFIC,NEGARA BRUNEI DARUSSALAM,PRESIDENT PHILIPPINES,5,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,25,0.47 %
OAV,ASIA PACIFIC,NEGARA BRUNEI DARUSSALAM,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,6,0.11 %
OAV,ASIA PACIFIC,NEGARA BRUNEI DARUSSALAM,PRESIDENT PHILIPPINES,7,"ABELLA, ERNIE (IND)",IND,5,0.09 %
OAV,ASIA PACIFIC,NEGARA BRUNEI DARUSSALAM,PRESIDENT PHILIPPINES,8,"GONZALES, NORBERTO (PDSP)",PDSP,3,0.05 %
OAV,ASIA PACIFIC,NEGARA BRUNEI DARUSSALAM,PRESIDENT PHILIPPINES,9,"DE GUZMAN, LEODY (PLM)",PLM,2,0.03 %
OAV,ASIA PACIFIC,NEGARA BRUNEI DARUSSALAM,PRESIDENT PHILIPPINES,10,"MONTEMAYOR, JOSE JR. (DPP)",DPP,1,0.01 %
OAV,ASIA PACIFIC,NEGARA BRUNEI DARUSSALAM,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,4403,84.54 %
OAV,ASIA PACIFIC,NEGARA BRUNEI DARUSSALAM,VICE PRESIDENT PHILIPPINES,2,"PANGILINAN, KIKO (LP)",LP,461,8.85 %
OAV,ASIA PACIFIC,NEGARA BRUNEI DARUSSALAM,VICE PRESIDENT PHILIPPINES,3,"ONG, DOC WILLIE (AKSYON)",AKSYON,198,3.80 %
OAV,ASIA PACIFIC,NEGARA BRUNEI DARUSSALAM,VICE PRESIDENT PHILIPPINES,4,"SOTTO, VICENTE TITO (NPC)",NPC,139,2.66 %
OAV,ASIA PACIFIC,NEGARA BRUNEI DARUSSALAM,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,3,0.05 %
OAV,ASIA PACIFIC,NEGARA BRUNEI DARUSSALAM,VICE PRESIDENT PHILIPPINES,6,"BELLO, WALDEN (PLM)",PLM,1,0.01 %
OAV,ASIA PACIFIC,NEGARA BRUNEI DARUSSALAM,VICE PRESIDENT PHILIPPINES,7,"DAVID, RIZALITO (DPP)",DPP,1,0.01 %
OAV,ASIA PACIFIC,NEGARA BRUNEI DARUSSALAM,VICE PRESIDENT PHILIPPINES,8,"LOPEZ, MANNY SD (WPP)",WPP,1,0.01 %
OAV,ASIA PACIFIC,NEGARA BRUNEI DARUSSALAM,VICE PRESIDENT PHILIPPINES,9,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,1,0.01 %
OAV,ASIA PACIFIC,NEGARA BRUNEI DARUSSALAM,SENATOR PHILIPPINES,1,"PADILLA, ROBIN (PDPLBN)",PDPLBN,3954,7.06 %
OAV,ASIA PACIFIC,NEGARA BRUNEI DARUSSALAM,SENATOR PHILIPPINES,2,"LEGARDA, LOREN (NPC)",NPC,3399,6.06 %
OAV,ASIA PACIFIC,NEGARA BRUNEI DARUSSALAM,SENATOR PHILIPPINES,3,"VILLAR, MARK (NP)",NP,3007,5.36 %
OAV,ASIA PACIFIC,NEGARA BRUNEI DARUSSALAM,SENATOR PHILIPPINES,4,"ROQUE, HARRY SPOX (PRP)",PRP,2880,5.14 %
OAV,ASIA PACIFIC,NEGARA BRUNEI DARUSSALAM,SENATOR PHILIPPINES,5,"GADON, LARRY (KBL)",KBL,2809,5.01 %
OAV,ASIA PACIFIC,NEGARA BRUNEI DARUSSALAM,SENATOR PHILIPPINES,6,"TULFO, IDOL RAFFY (IND)",IND,2600,4.64 %
OAV,ASIA PACIFIC,NEGARA BRUNEI DARUSSALAM,SENATOR PHILIPPINES,7,"BAUTISTA, HERBERT BISTEK (NPC)",NPC,2467,4.40 %
OAV,ASIA PACIFIC,NEGARA BRUNEI DARUSSALAM,SENATOR PHILIPPINES,8,"MARCOLETA, RODANTE (PDPLBN)",PDPLBN,2357,4.20 %
OAV,ASIA PACIFIC,NEGARA BRUNEI DARUSSALAM,SENATOR PHILIPPINES,9,"PANELO, SAL PANALO (PDPLBN)",PDPLBN,2303,4.11 %
OAV,ASIA PACIFIC,NEGARA BRUNEI DARUSSALAM,SENATOR PHILIPPINES,10,"TEODORO, GIBO (PRP)",PRP,2124,3.79 %
OAV,ASIA PACIFIC,NEGARA BRUNEI DARUSSALAM,SENATOR PHILIPPINES,11,"ZUBIRI, MIGZ (IND)",IND,2108,3.76 %
