region,province,city,position,rank,candidate_name,party,votes,percentage
OAV,ASIA PACIFIC,NEW ZEALAND,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,7620,68.61 %
OAV,ASIA PACIFIC,NEW ZEALAND,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,2664,23.98 %
OAV,ASIA PACIFIC,NEW ZEALAND,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,413,3.71 %
OAV,ASIA PACIFIC,NEW ZEALAND,PRESIDENT PHILIPPINES,4,"LACSON, PING (PDR)",PDR,226,2.03 %
OAV,ASIA PACIFIC,NEW ZEALAND,PRESIDENT PHILIPPINES,5,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,140,1.26 %
OAV,ASIA PACIFIC,NEW ZEALAND,PRESIDENT PHILIPPINES,6,"ABELLA, ERNIE (IND)",IND,13,0.11 %
OAV,ASIA PACIFIC,NEW ZEALAND,PRESIDENT PHILIPPINES,7,"GONZALES, NORBERTO (PDSP)",PDSP,12,0.10 %
OAV,ASIA PACIFIC,NEW ZEALAND,PRESIDENT PHILIPPINES,8,"MONTEMAYOR, JOSE JR. (DPP)",DPP,8,0.07 %
OAV,ASIA PACIFIC,NEW ZEALAND,PRESIDENT PHILIPPINES,9,"DE GUZMAN, LEODY (PLM)",PLM,6,0.05 %
OAV,ASIA PACIFIC,NEW ZEALAND,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,3,0.02 %
OAV,ASIA PACIFIC,NEW ZEALAND,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,8043,72.51 %
OAV,ASIA PACIFIC,NEW ZEALAND,VICE PRESIDENT PHILIPPINES,2,"PANGILINAN, KIKO (LP)",LP,2111,19.03 %
OAV,ASIA PACIFIC,NEW ZEALAND,VICE PRESIDENT PHILIPPINES,3,"ONG, DOC WILLIE (AKSYON)",AKSYON,554,4.99 %
OAV,ASIA PACIFIC,NEW ZEALAND,VICE PRESIDENT PHILIPPINES,4,"SOTTO, VICENTE TITO (NPC)",NPC,340,3.06 %
OAV,ASIA PACIFIC,NEW ZEALAND,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,22,0.19 %
