region,province,city,position,rank,candidate_name,party,votes,percentage
REGION I,ILOCOS NORTE,DUMALNEG,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,2,0.11 %
REGION I,ILOCOS NORTE,DUMALNEG,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,1,0.05 %
REGION I,ILOCOS NORTE,DUMALNEG,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,10,0.56 %
REGION I,ILOCOS NORTE,DUMALNEG,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,5,0.28 %
REGION I,ILOCOS NORTE,DUMALNEG,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,9,0.50 %
REGION I,ILOCOS NORTE,DUMALNEG,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,0,0.00 %
REGION I,ILOCOS NORTE,DUMALNEG,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,1673,93.93 %
REGION I,ILOCOS NORTE,DUMALNEG,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,1,0.05 %
REGION I,ILOCOS NORTE,DUMALNEG,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,0,0.00 %
REGION I,ILOCOS NORTE,DUMALNEG,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,1,0.05 %
REGION I,ILOCOS NORTE,DUMALNEG,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,1661,95.67 %
REGION I,ILOCOS NORTE,DUMALNEG,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,0,0.00 %
REGION I,ILOCOS NORTE,DUMALNEG,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,13,0.74 %
REGION I,ILOCOS NORTE,DUMALNEG,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,44,2.53 %
REGION I,ILOCOS NORTE,DUMALNEG,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,0,0.00 %
REGION I,ILOCOS NORTE,DUMALNEG,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,16,0.92 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,14,0.12 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,13,0.11 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,9,0.07 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,270,2.38 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,5,0.04 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,90,0.79 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,14,0.12 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,319,2.82 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,28,0.24 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,10,"BELLO, SILVESTRE JR.",PDPLBN,29,0.25 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,11,"BINAY, JOJO",UNA,245,2.16 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,12,"CABONEGRO, ROY",PLM,7,0.06 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,13,"CASTRICIONES, BRO JOHN",PDPLBN,10,0.08 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,14,"CAYETANO, ALAN PETER",IND,506,4.47 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,15,"CHAVEZ, MELCHOR",WPP,21,0.18 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,16,"COLMENARES, NERI",MKBYN,90,0.79 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,17,"D'ANGELO, DAVID",PLM,8,0.07 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,18,"DE LIMA, LEILA",LP,43,0.38 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,19,"DEL ROSARIO, MONSOUR",PDR,56,0.49 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,20,"DIAZ, DING",PPP,3,0.02 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,21,"DIOKNO, CHEL",KANP,330,2.91 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,22,"EJERCITO, JV ESTRADA",NPC,311,2.75 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,23,"ELEAZAR, GEN. GUILLERMO",PDR,188,1.66 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,24,"EREÑO, BRO. ERNIE",PM,6,0.05 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,25,"ESCUDERO, CHIZ",NPC,518,4.58 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,26,"ESPIRITU, LUKE",PLM,286,2.53 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,27,"ESTRADA, JINGGOY",PMP,374,3.30 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,28,"FALCONE, BAL FALCON",DPP,30,0.26 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,29,"GADON, LARRY",KBL,440,3.89 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,30,"GATCHALIAN, WIN",NPC,578,5.11 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,31,"GORDON, WOW DICK",BVNP,120,1.06 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,32,"GUTOC, SAMIRA",AKSYON,16,0.14 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,33,"HONASAN, GRINGO",IND,217,1.92 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,34,"HONTIVEROS, RISA",AKBAYAN,147,1.30 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,35,"JAVELLANA, RJ",IND,6,0.05 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,36,"KIRAM, NUR-MAHAL",IND,12,0.10 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,37,"LABOG, ELMER",MKBYN,16,0.14 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,38,"LACSON, KUYA ALEX",KP,63,0.55 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,39,"LANGIT, REY",PDPLBN,10,0.08 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,40,"LEGARDA, LOREN",NPC,642,5.68 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,41,"LIM, ARIEL",IND,8,0.07 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,42,"MALLILLIN, EMILY",PPM,40,0.35 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,43,"MARCOLETA, RODANTE",PDPLBN,123,1.08 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,44,"MARCOS, FRANCIS LEO",IND,194,1.71 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,45,"MATULA, SONNY",IND,14,0.12 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,46,"MINDALANO-ADAM,MARIETA",KTPNAN,3,0.02 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,47,"OLARTE, ATTY/DR. LEO",BIGKIS,59,0.52 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,48,"PADILLA, DRA. MINGUITA",PDR,49,0.43 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,49,"PADILLA, ROBIN",PDPLBN,870,7.69 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,50,"PANELO, SAL PANALO",PDPLBN,103,0.91 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,51,"PIMENTEL, ASTRA",PDPLBN,46,0.40 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,52,"PIÑOL, MANNY",NPC,25,0.22 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,53,"RICABLANCA, WILLIE JR.",PM,52,0.46 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,54,"ROQUE, HARRY SPOX",PRP,369,3.26 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,55,"SAHIDULLA, LADY ANNE",PDDS,53,0.46 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,56,"SISON, JOPET",AKSYON,14,0.12 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,57,"TEODORO, GIBO",PRP,578,5.11 %
REGION I,ILOCOS NORTE,DUMALNEG,SENATOR PHILIPPINES,58,"TRILLANES, ANTONIO IV",LP,67,0.59 %
