region,province,city,position,rank,candidate_name,party,votes,percentage
REGION I,ILOCOS NORTE,PIDDIG,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,12317,93.85 %
REGION I,ILOCOS NORTE,PIDDIG,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,314,2.39 %
REGION I,ILOCOS NORTE,PIDDIG,PRESIDENT PHILIPPINES,3,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,292,2.22 %
REGION I,ILOCOS NORTE,PIDDIG,PRESIDENT PHILIPPINES,4,"LACSON, PING (PDR)",PDR,59,0.44 %
REGION I,ILOCOS NORTE,PIDDIG,PRESIDENT PHILIPPINES,5,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,47,0.35 %
REGION I,ILOCOS NORTE,PIDDIG,PRESIDENT PHILIPPINES,6,"ABELLA, ERNIE (IND)",IND,30,0.22 %
REGION I,ILOCOS NORTE,PIDDIG,PRESIDENT PHILIPPINES,7,"DE GUZMAN, LEODY (PLM)",PLM,24,0.18 %
REGION I,ILOCOS NORTE,PIDDIG,PRESIDENT PHILIPPINES,8,"GONZALES, NORBERTO (PDSP)",PDSP,20,0.15 %
REGION I,ILOCOS NORTE,PIDDIG,PRESIDENT PHILIPPINES,9,"MONTEMAYOR, JOSE JR. (DPP)",DPP,19,0.14 %
REGION I,ILOCOS NORTE,PIDDIG,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,2,0.01 %
REGION I,ILOCOS NORTE,PIDDIG,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,11726,91.77 %
REGION I,ILOCOS NORTE,PIDDIG,VICE PRESIDENT PHILIPPINES,2,"SOTTO, VICENTE TITO (NPC)",NPC,583,4.56 %
REGION I,ILOCOS NORTE,PIDDIG,VICE PRESIDENT PHILIPPINES,3,"PANGILINAN, KIKO (LP)",LP,269,2.10 %
REGION I,ILOCOS NORTE,PIDDIG,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,78,0.61 %
REGION I,ILOCOS NORTE,PIDDIG,VICE PRESIDENT PHILIPPINES,5,"BELLO, WALDEN (PLM)",PLM,34,0.26 %
REGION I,ILOCOS NORTE,PIDDIG,VICE PRESIDENT PHILIPPINES,6,"ATIENZA, LITO (PROMDI)",PROMDI,29,0.22 %
REGION I,ILOCOS NORTE,PIDDIG,VICE PRESIDENT PHILIPPINES,7,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,27,0.21 %
REGION I,ILOCOS NORTE,PIDDIG,VICE PRESIDENT PHILIPPINES,8,"LOPEZ, MANNY SD (WPP)",WPP,21,0.16 %
REGION I,ILOCOS NORTE,PIDDIG,VICE PRESIDENT PHILIPPINES,9,"DAVID, RIZALITO (DPP)",DPP,10,0.07 %
REGION I,ILOCOS NORTE,PIDDIG,SENATOR PHILIPPINES,1,"PADILLA, ROBIN (PDPLBN)",PDPLBN,7021,7.85 %
REGION I,ILOCOS NORTE,PIDDIG,SENATOR PHILIPPINES,2,"ESTRADA, JINGGOY (PMP)",PMP,6855,7.66 %
REGION I,ILOCOS NORTE,PIDDIG,SENATOR PHILIPPINES,3,"LEGARDA, LOREN (NPC)",NPC,6803,7.61 %
REGION I,ILOCOS NORTE,PIDDIG,SENATOR PHILIPPINES,4,"TULFO, IDOL RAFFY (IND)",IND,5394,6.03 %
REGION I,ILOCOS NORTE,PIDDIG,SENATOR PHILIPPINES,5,"VILLAR, MARK (NP)",NP,5105,5.71 %
REGION I,ILOCOS NORTE,PIDDIG,SENATOR PHILIPPINES,6,"EJERCITO, JV ESTRADA (NPC)",NPC,4853,5.42 %
REGION I,ILOCOS NORTE,PIDDIG,SENATOR PHILIPPINES,7,"VILLANUEVA,JOEL TESDAMAN (IND)",IND,3879,4.33 %
REGION I,ILOCOS NORTE,PIDDIG,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK (NPC)",NPC,3671,4.10 %
REGION I,ILOCOS NORTE,PIDDIG,SENATOR PHILIPPINES,9,"GATCHALIAN, WIN (NPC)",NPC,3564,3.98 %
REGION I,ILOCOS NORTE,PIDDIG,SENATOR PHILIPPINES,10,"ROQUE, HARRY SPOX (PRP)",PRP,3367,3.76 %
REGION I,ILOCOS NORTE,PIDDIG,SENATOR PHILIPPINES,11,"ESCUDERO, CHIZ (NPC)",NPC,3342,3.73 %
REGION I,ILOCOS NORTE,PIDDIG,SENATOR PHILIPPINES,12,"TEODORO, GIBO (PRP)",PRP,3321,3.71 %
REGION I,ILOCOS NORTE,PIDDIG,SENATOR PHILIPPINES,13,"ZUBIRI, MIGZ (IND)",IND,3289,3.67 %
REGION I,ILOCOS NORTE,PIDDIG,SENATOR PHILIPPINES,14,"CAYETANO, ALAN PETER (IND)",IND,3132,3.50 %
REGION I,ILOCOS NORTE,PIDDIG,SENATOR PHILIPPINES,15,"BINAY, JOJO (UNA)",UNA,3121,3.49 %
REGION I,ILOCOS NORTE,PIDDIG,SENATOR PHILIPPINES,16,"GADON, LARRY (KBL)",KBL,3020,3.37 %
REGION I,ILOCOS NORTE,PIDDIG,SENATOR PHILIPPINES,17,"HONASAN, GRINGO (IND)",IND,2168,2.42 %
REGION I,ILOCOS NORTE,PIDDIG,SENATOR PHILIPPINES,18,"HONTIVEROS, RISA (AKBAYAN)",AKBAYAN,1737,1.94 %
REGION I,ILOCOS NORTE,PIDDIG,SENATOR PHILIPPINES,19,"ELEAZAR, GEN. GUILLERMO (PDR)",PDR,1727,1.93 %
REGION I,ILOCOS NORTE,PIDDIG,SENATOR PHILIPPINES,20,"MARCOS, FRANCIS LEO (IND)",IND,1465,1.63 %
REGION I,ILOCOS NORTE,PIDDIG,SENATOR PHILIPPINES,21,"GORDON, WOW DICK (BVNP)",BVNP,1091,1.22 %
