region,province,city,position,rank,candidate_name,party,votes,percentage
REGION I,LA UNION,CABA,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,13577,92.75 %
REGION I,LA UNION,CABA,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,679,4.63 %
REGION I,LA UNION,CABA,PRESIDENT PHILIPPINES,3,"LACSON, PING (PDR)",PDR,110,0.75 %
REGION I,LA UNION,CABA,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,103,0.70 %
REGION I,LA UNION,CABA,PRESIDENT PHILIPPINES,5,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,93,0.63 %
REGION I,LA UNION,CABA,PRESIDENT PHILIPPINES,6,"DE GUZMAN, LEODY (PLM)",PLM,24,0.16 %
REGION I,LA UNION,CABA,PRESIDENT PHILIPPINES,7,"ABELLA, ERNIE (IND)",IND,20,0.13 %
REGION I,LA UNION,CABA,PRESIDENT PHILIPPINES,8,"GONZALES, NORBERTO (PDSP)",PDSP,16,0.10 %
REGION I,LA UNION,CABA,PRESIDENT PHILIPPINES,9,"MONTEMAYOR, JOSE JR. (DPP)",DPP,11,0.07 %
REGION I,LA UNION,CABA,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,4,0.02 %
REGION I,LA UNION,CABA,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,11914,83.04 %
REGION I,LA UNION,CABA,VICE PRESIDENT PHILIPPINES,2,"SOTTO, VICENTE TITO (NPC)",NPC,1432,9.98 %
REGION I,LA UNION,CABA,VICE PRESIDENT PHILIPPINES,3,"PANGILINAN, KIKO (LP)",LP,577,4.02 %
REGION I,LA UNION,CABA,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,308,2.14 %
REGION I,LA UNION,CABA,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,30,0.20 %
REGION I,LA UNION,CABA,VICE PRESIDENT PHILIPPINES,6,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,30,0.20 %
