region,province,city,position,rank,candidate_name,party,votes,percentage
REGION I,PANGASINAN,CITY OF SAN CARLOS,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,255,0.25 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,234,0.23 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,3091,3.05 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,212,0.20 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,1765,1.74 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,86,0.08 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,69767,69.01 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,394,0.39 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,238,0.23 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,90,0.08 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,48303,48.07 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,310,0.30 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,4519,4.49 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,12116,12.05 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,258,0.25 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,34249,34.08 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,2079,0.22 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,1749,0.18 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,1441,0.15 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,6300,0.67 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,1973,0.21 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,9864,1.06 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,1677,0.18 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,30520,3.28 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,3078,0.33 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,10,"BELLO, SILVESTRE JR.",PDPLBN,2824,0.30 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,11,"BINAY, JOJO",UNA,32655,3.51 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,12,"CABONEGRO, ROY",PLM,1607,0.17 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,13,"CASTRICIONES, BRO JOHN",PDPLBN,1489,0.16 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,14,"CAYETANO, ALAN PETER",IND,43419,4.67 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,15,"CHAVEZ, MELCHOR",WPP,3238,0.34 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,16,"COLMENARES, NERI",MKBYN,9983,1.07 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,17,"D'ANGELO, DAVID",PLM,1434,0.15 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,18,"DE LIMA, LEILA",LP,13793,1.48 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,19,"DEL ROSARIO, MONSOUR",PDR,10323,1.11 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,20,"DIAZ, DING",PPP,1617,0.17 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,21,"DIOKNO, CHEL",KANP,19439,2.09 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,22,"EJERCITO, JV ESTRADA",NPC,36585,3.93 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,23,"ELEAZAR, GEN. GUILLERMO",PDR,23594,2.53 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,24,"EREÑO, BRO. ERNIE",PM,1458,0.15 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,25,"ESCUDERO, CHIZ",NPC,46841,5.04 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,26,"ESPIRITU, LUKE",PLM,5569,0.59 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,27,"ESTRADA, JINGGOY",PMP,37123,3.99 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,28,"FALCONE, BAL FALCON",DPP,1235,0.13 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,29,"GADON, LARRY",KBL,22025,2.36 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,30,"GATCHALIAN, WIN",NPC,44953,4.83 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,31,"GORDON, WOW DICK",BVNP,21990,2.36 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,32,"GUTOC, SAMIRA",AKSYON,2781,0.29 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,33,"HONASAN, GRINGO",IND,23387,2.51 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,34,"HONTIVEROS, RISA",AKBAYAN,33851,3.64 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,35,"JAVELLANA, RJ",IND,1256,0.13 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,36,"KIRAM, NUR-MAHAL",IND,1266,0.13 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,37,"LABOG, ELMER",MKBYN,2675,0.28 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,38,"LACSON, KUYA ALEX",KP,11693,1.25 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,39,"LANGIT, REY",PDPLBN,3347,0.36 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,40,"LEGARDA, LOREN",NPC,53547,5.76 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,41,"LIM, ARIEL",IND,1659,0.17 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,42,"MALLILLIN, EMILY",PPM,1309,0.14 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,43,"MARCOLETA, RODANTE",PDPLBN,6373,0.68 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,44,"MARCOS, FRANCIS LEO",IND,12775,1.37 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,45,"MATULA, SONNY",IND,3742,0.40 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,46,"MINDALANO-ADAM,MARIETA",KTPNAN,1106,0.11 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,47,"OLARTE, ATTY/DR. LEO",BIGKIS,1288,0.13 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,48,"PADILLA, DRA. MINGUITA",PDR,6976,0.75 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,49,"PADILLA, ROBIN",PDPLBN,51221,5.51 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,50,"PANELO, SAL PANALO",PDPLBN,6882,0.74 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,51,"PIMENTEL, ASTRA",PDPLBN,6995,0.75 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,52,"PIÑOL, MANNY",NPC,4179,0.44 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,53,"RICABLANCA, WILLIE JR.",PM,1514,0.16 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,54,"ROQUE, HARRY SPOX",PRP,21985,2.36 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,55,"SAHIDULLA, LADY ANNE",PDDS,855,0.09 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,56,"SISON, JOPET",AKSYON,5127,0.55 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,57,"TEODORO, GIBO",PRP,21063,2.26 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,58,"TRILLANES, ANTONIO IV",LP,21226,2.28 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,59,"TULFO, IDOL RAFFY",IND,52957,5.69 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,60,"VALEROS, REY",IND,894,0.09 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,61,"VILLANUEVA,JOEL TESDAMAN",IND,40788,4.38 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,62,"VILLAR, MARK",NP,40647,4.37 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,63,"ZUBIAGA, CARMEN",IND,3073,0.33 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,64,"ZUBIRI, MIGZ",IND,39043,4.20 %
REGION I,PANGASINAN,CITY OF SAN CARLOS,SENATOR PHILIPPINES,65,35 BH,BAGONG HENERASYON,389,0.52 %
