region,province,city,position,rank,candidate_name,party,votes,percentage
REGION I,PANGASINAN,POZORRUBIO,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,36181,84.67 %
REGION I,PANGASINAN,POZORRUBIO,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,4567,10.68 %
REGION I,PANGASINAN,POZORRUBIO,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,944,2.20 %
REGION I,PANGASINAN,POZORRUBIO,PRESIDENT PHILIPPINES,4,"LACSON, PING (PDR)",PDR,446,1.04 %
REGION I,PANGASINAN,POZORRUBIO,PRESIDENT PHILIPPINES,5,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,339,0.79 %
REGION I,PANGASINAN,POZORRUBIO,PRESIDENT PHILIPPINES,6,"ABELLA, ERNIE (IND)",IND,79,0.18 %
REGION I,PANGASINAN,POZORRUBIO,PRESIDENT PHILIPPINES,7,"GONZALES, NORBERTO (PDSP)",PDSP,59,0.13 %
REGION I,PANGASINAN,POZORRUBIO,PRESIDENT PHILIPPINES,8,"DE GUZMAN, LEODY (PLM)",PLM,45,0.10 %
REGION I,PANGASINAN,POZORRUBIO,PRESIDENT PHILIPPINES,9,"MONTEMAYOR, JOSE JR. (DPP)",DPP,40,0.09 %
REGION I,PANGASINAN,POZORRUBIO,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,30,0.07 %
REGION I,PANGASINAN,POZORRUBIO,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,26985,63.78 %
REGION I,PANGASINAN,POZORRUBIO,VICE PRESIDENT PHILIPPINES,2,"SOTTO, VICENTE TITO (NPC)",NPC,10540,24.91 %
REGION I,PANGASINAN,POZORRUBIO,VICE PRESIDENT PHILIPPINES,3,"PANGILINAN, KIKO (LP)",LP,2948,6.96 %
REGION I,PANGASINAN,POZORRUBIO,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,1423,3.36 %
REGION I,PANGASINAN,POZORRUBIO,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,111,0.26 %
REGION I,PANGASINAN,POZORRUBIO,VICE PRESIDENT PHILIPPINES,6,"BELLO, WALDEN (PLM)",PLM,107,0.25 %
REGION I,PANGASINAN,POZORRUBIO,VICE PRESIDENT PHILIPPINES,7,"LOPEZ, MANNY SD (WPP)",WPP,99,0.23 %
REGION I,PANGASINAN,POZORRUBIO,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,56,0.13 %
REGION I,PANGASINAN,POZORRUBIO,VICE PRESIDENT PHILIPPINES,9,"DAVID, RIZALITO (DPP)",DPP,35,0.08 %
REGION I,PANGASINAN,POZORRUBIO,SENATOR PHILIPPINES,1,"PADILLA, ROBIN (PDPLBN)",PDPLBN,23602,6.70 %
REGION I,PANGASINAN,POZORRUBIO,SENATOR PHILIPPINES,2,"LEGARDA, LOREN (NPC)",NPC,22018,6.25 %
REGION I,PANGASINAN,POZORRUBIO,SENATOR PHILIPPINES,3,"TULFO, IDOL RAFFY (IND)",IND,21408,6.08 %
REGION I,PANGASINAN,POZORRUBIO,SENATOR PHILIPPINES,4,"VILLANUEVA,JOEL TESDAMAN (IND)",IND,16939,4.81 %
REGION I,PANGASINAN,POZORRUBIO,SENATOR PHILIPPINES,5,"VILLAR, MARK (NP)",NP,16866,4.79 %
REGION I,PANGASINAN,POZORRUBIO,SENATOR PHILIPPINES,6,"GATCHALIAN, WIN (NPC)",NPC,16722,4.74 %
REGION I,PANGASINAN,POZORRUBIO,SENATOR PHILIPPINES,7,"ESCUDERO, CHIZ (NPC)",NPC,15705,4.46 %
