region,province,city,position,rank,candidate_name,party,votes,percentage
REGION II,CAGAYAN,TUAO,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,26751,86.30 %
REGION II,CAGAYAN,TUAO,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,3325,10.72 %
REGION II,CAGAYAN,TUAO,PRESIDENT PHILIPPINES,3,"LACSON, PING (PDR)",PDR,270,0.87 %
REGION II,CAGAYAN,TUAO,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,260,0.83 %
REGION II,CAGAYAN,TUAO,PRESIDENT PHILIPPINES,5,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,240,0.77 %
REGION II,CAGAYAN,TUAO,PRESIDENT PHILIPPINES,6,"ABELLA, ERNIE (IND)",IND,44,0.14 %
REGION II,CAGAYAN,TUAO,PRESIDENT PHILIPPINES,7,"DE GUZMAN, LEODY (PLM)",PLM,35,0.11 %
REGION II,CAGAYAN,TUAO,PRESIDENT PHILIPPINES,8,"GONZALES, NORBERTO (PDSP)",PDSP,35,0.11 %
REGION II,CAGAYAN,TUAO,PRESIDENT PHILIPPINES,9,"MONTEMAYOR, JOSE JR. (DPP)",DPP,22,0.07 %
REGION II,CAGAYAN,TUAO,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,15,0.04 %
REGION II,CAGAYAN,TUAO,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,23286,77.97 %
REGION II,CAGAYAN,TUAO,VICE PRESIDENT PHILIPPINES,2,"SOTTO, VICENTE TITO (NPC)",NPC,3221,10.78 %
REGION II,CAGAYAN,TUAO,VICE PRESIDENT PHILIPPINES,3,"PANGILINAN, KIKO (LP)",LP,2710,9.07 %
REGION II,CAGAYAN,TUAO,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,378,1.26 %
REGION II,CAGAYAN,TUAO,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,70,0.23 %
REGION II,CAGAYAN,TUAO,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,70,0.23 %
REGION II,CAGAYAN,TUAO,VICE PRESIDENT PHILIPPINES,7,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,52,0.17 %
REGION II,CAGAYAN,TUAO,VICE PRESIDENT PHILIPPINES,8,"BELLO, WALDEN (PLM)",PLM,51,0.17 %
REGION II,CAGAYAN,TUAO,VICE PRESIDENT PHILIPPINES,9,"DAVID, RIZALITO (DPP)",DPP,24,0.08 %
REGION II,CAGAYAN,TUAO,SENATOR PHILIPPINES,1,"PADILLA, ROBIN (PDPLBN)",PDPLBN,16046,7.13 %
REGION II,CAGAYAN,TUAO,SENATOR PHILIPPINES,2,"GATCHALIAN, WIN (NPC)",NPC,14074,6.25 %
REGION II,CAGAYAN,TUAO,SENATOR PHILIPPINES,3,"TULFO, IDOL RAFFY (IND)",IND,14040,6.23 %
REGION II,CAGAYAN,TUAO,SENATOR PHILIPPINES,4,"VILLAR, MARK (NP)",NP,11727,5.21 %
REGION II,CAGAYAN,TUAO,SENATOR PHILIPPINES,5,"ESCUDERO, CHIZ (NPC)",NPC,11528,5.12 %
REGION II,CAGAYAN,TUAO,SENATOR PHILIPPINES,6,"LEGARDA, LOREN (NPC)",NPC,10828,4.81 %
