region,province,city,position,rank,candidate_name,party,votes,percentage
REGION II,ISABELA,PALANAN,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,4301,55.39 %
REGION II,ISABELA,PALANAN,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,1552,19.98 %
REGION II,ISABELA,PALANAN,PRESIDENT PHILIPPINES,3,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,1259,16.21 %
REGION II,ISABELA,PALANAN,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,290,3.73 %
REGION II,ISABELA,PALANAN,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,141,1.81 %
REGION II,ISABELA,PALANAN,PRESIDENT PHILIPPINES,6,"GONZALES, NORBERTO (PDSP)",PDSP,75,0.96 %
REGION II,ISABELA,PALANAN,PRESIDENT PHILIPPINES,7,"ABELLA, ERNIE (IND)",IND,57,0.73 %
REGION II,ISABELA,PALANAN,PRESIDENT PHILIPPINES,8,"DE GUZMAN, LEODY (PLM)",PLM,52,0.66 %
REGION II,ISABELA,PALANAN,PRESIDENT PHILIPPINES,9,"MONTEMAYOR, JOSE JR. (DPP)",DPP,20,0.25 %
REGION II,ISABELA,PALANAN,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,17,0.21 %
REGION II,ISABELA,PALANAN,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,3780,58.40 %
REGION II,ISABELA,PALANAN,VICE PRESIDENT PHILIPPINES,2,"SOTTO, VICENTE TITO (NPC)",NPC,1107,17.10 %
REGION II,ISABELA,PALANAN,VICE PRESIDENT PHILIPPINES,3,"PANGILINAN, KIKO (LP)",LP,1057,16.33 %
REGION II,ISABELA,PALANAN,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,169,2.61 %
REGION II,ISABELA,PALANAN,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD (WPP)",WPP,124,1.91 %
REGION II,ISABELA,PALANAN,VICE PRESIDENT PHILIPPINES,6,"ATIENZA, LITO (PROMDI)",PROMDI,111,1.71 %
REGION II,ISABELA,PALANAN,VICE PRESIDENT PHILIPPINES,7,"BELLO, WALDEN (PLM)",PLM,66,1.01 %
REGION II,ISABELA,PALANAN,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,39,0.60 %
REGION II,ISABELA,PALANAN,VICE PRESIDENT PHILIPPINES,9,"DAVID, RIZALITO (DPP)",DPP,19,0.29 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,1,"PADILLA, ROBIN (PDPLBN)",PDPLBN,3552,9.23 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,2,"TULFO, IDOL RAFFY (IND)",IND,2429,6.31 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,3,"CAYETANO, ALAN PETER (IND)",IND,2171,5.64 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,4,"EJERCITO, JV ESTRADA (NPC)",NPC,2007,5.21 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,5,"ESTRADA, JINGGOY (PMP)",PMP,2001,5.20 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,6,"BINAY, JOJO (UNA)",UNA,1994,5.18 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,7,"VILLAR, MARK (NP)",NP,1843,4.79 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,8,"LEGARDA, LOREN (NPC)",NPC,1785,4.63 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,9,"VILLANUEVA,JOEL TESDAMAN (IND)",IND,1784,4.63 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,10,"ESCUDERO, CHIZ (NPC)",NPC,1558,4.04 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,11,"GATCHALIAN, WIN (NPC)",NPC,1554,4.03 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,12,"ZUBIRI, MIGZ (IND)",IND,1439,3.74 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,13,"HONASAN, GRINGO (IND)",IND,1008,2.62 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,14,"HONTIVEROS, RISA (AKBAYAN)",AKBAYAN,934,2.42 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,15,"ELEAZAR, GEN. GUILLERMO (PDR)",PDR,763,1.98 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,16,"TRILLANES, ANTONIO IV (LP)",LP,728,1.89 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,17,"DEL ROSARIO, MONSOUR (PDR)",PDR,724,1.88 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,18,"BAUTISTA, HERBERT BISTEK (NPC)",NPC,722,1.87 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,19,"ROQUE, HARRY SPOX (PRP)",PRP,630,1.63 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,20,"GORDON, WOW DICK (BVNP)",BVNP,613,1.59 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,21,"TEODORO, GIBO (PRP)",PRP,605,1.57 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,22,"BALITA, CARL (AKSYON)",AKSYON,583,1.51 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,23,"DE LIMA, LEILA (LP)",LP,561,1.45 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,24,"DIOKNO, CHEL (KANP)",KANP,445,1.15 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,25,"LACSON, KUYA ALEX (KP)",KP,433,1.12 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,26,"GADON, LARRY (KBL)",KBL,416,1.08 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,27,"BELLO, SILVESTRE JR. (PDPLBN)",PDPLBN,413,1.07 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,28,"COLMENARES, NERI (MKBYN)",MKBYN,352,0.91 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,29,"MARCOS, FRANCIS LEO (IND)",IND,288,0.74 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,30,"PADILLA, DRA. MINGUITA (PDR)",PDR,244,0.63 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,31,"PIMENTEL, ASTRA (PDPLBN)",PDPLBN,241,0.62 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,32,"MARCOLETA, RODANTE (PDPLBN)",PDPLBN,226,0.58 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,33,"BAGUILAT, TEDDY (LP)",LP,220,0.57 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,34,"PANELO, SAL PANALO (PDPLBN)",PDPLBN,196,0.50 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,35,"ALBANI, IBRAHIM (WPP)",WPP,173,0.44 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,36,"CHAVEZ, MELCHOR (WPP)",WPP,168,0.43 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,37,"SISON, JOPET (AKSYON)",AKSYON,163,0.42 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,38,"LANGIT, REY (PDPLBN)",PDPLBN,143,0.37 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,39,"D'ANGELO, DAVID (PLM)",PLM,140,0.36 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,40,"PIÑOL, MANNY (NPC)",NPC,140,0.36 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,41,"AFUANG, ABNER (IND)",IND,136,0.35 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,42,"BARBO, LUTZ (PDPLBN)",PDPLBN,124,0.32 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,43,"BELGICA, GRECO (PDDS)",PDDS,116,0.30 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,44,"DIAZ, DING (PPP)",PPP,111,0.28 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,45,"CASTRICIONES, BRO JOHN(PDPLBN)",PDPLBN,110,0.28 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,46,"ARRANZA, MANG JESS (IND)",IND,108,0.28 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,47,"ESPIRITU, LUKE (PLM)",PLM,108,0.28 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,48,"MALLILLIN, EMILY (PPM)",PPM,105,0.27 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,49,"CABONEGRO, ROY (PLM)",PLM,104,0.27 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,50,"BAILEN, AGNES (IND)",IND,95,0.24 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,51,"EREÑO, BRO. ERNIE (PM)",PM,93,0.24 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,52,"JAVELLANA, RJ (IND)",IND,91,0.23 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,53,"MATULA, SONNY (IND)",IND,88,0.22 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,54,"KIRAM, NUR-MAHAL (IND)",IND,78,0.20 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,55,"RICABLANCA, WILLIE JR. (PM)",PM,78,0.20 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,56,"GUTOC, SAMIRA (AKSYON)",AKSYON,77,0.20 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,57,"LABOG, ELMER (MKBYN)",MKBYN,72,0.18 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,58,"MINDALANO-ADAM,MARIETA(KTPNAN)",KTPNAN,67,0.17 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,59,"LIM, ARIEL (IND)",IND,65,0.16 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,60,"OLARTE, ATTY/DR. LEO (BIGKIS)",BIGKIS,60,0.15 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,61,"FALCONE, BAL FALCON (DPP)",DPP,55,0.14 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,62,"ZUBIAGA, CARMEN (IND)",IND,54,0.14 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,63,"SAHIDULLA, LADY ANNE (PDDS)",PDDS,46,0.11 %
REGION II,ISABELA,PALANAN,SENATOR PHILIPPINES,64,"VALEROS, REY (IND)",IND,43,0.11 %
REGION II,ISABELA,PALANAN,PROVINCIAL GOVERNOR ISABELA,1,"ALBANO, RODITO (PDPLBN)",PDPLBN,5132,92.92 %
REGION II,ISABELA,PALANAN,PROVINCIAL GOVERNOR ISABELA,2,"ALMAZAN, GLORIETA (IND)",IND,243,4.39 %
REGION II,ISABELA,PALANAN,PROVINCIAL GOVERNOR ISABELA,3,"CARLOS, ROMEO (PGRP)",PGRP,148,2.67 %
REGION II,ISABELA,PALANAN,PROVINCIAL VICE-GOVERNOR ISABELA,1,"DY, BOJIE (PDPLBN)",PDPLBN,4621,100.00 %
REGION II,ISABELA,PALANAN,"MEMBER, SANGGUNIANG PANLALAWIGAN ISABELA - SECOND PROVDIST",1,"GO, ED CHRISTIAN S. (AKSYON)",AKSYON,5240,60.11 %
REGION II,ISABELA,PALANAN,"MEMBER, SANGGUNIANG PANLALAWIGAN ISABELA - SECOND PROVDIST",2,"CAPUCHINO, EDGAR (NP)",NP,3042,34.89 %
REGION II,ISABELA,PALANAN,"MEMBER, SANGGUNIANG PANLALAWIGAN ISABELA - SECOND PROVDIST",3,"PUA, MANNY (KBL)",KBL,271,3.10 %
REGION II,ISABELA,PALANAN,"MEMBER, SANGGUNIANG PANLALAWIGAN ISABELA - SECOND PROVDIST",4,"RAMIREZ, ROMARICO (KBL)",KBL,164,1.88 %
REGION II,ISABELA,PALANAN,"MEMBER, HOUSE OF REPRESENTATIVES ISABELA - SECOND LEGDIST",1,"GO, ED CHRISTOPHER (NP)",NP,5455,75.35 %
REGION II,ISABELA,PALANAN,"MEMBER, HOUSE OF REPRESENTATIVES ISABELA - SECOND LEGDIST",2,"RESPICIO, JERYLL HAROLD (IND)",IND,1611,22.25 %
REGION II,ISABELA,PALANAN,"MEMBER, HOUSE OF REPRESENTATIVES ISABELA - SECOND LEGDIST",3,"MAGORA, ELIZABETH (PGRP)",PGRP,156,2.15 %
REGION II,ISABELA,PALANAN,"MEMBER, HOUSE OF REPRESENTATIVES ISABELA - SECOND LEGDIST",4,"REYES, FAUSTINO (KBL)",KBL,17,0.23 %
REGION II,ISABELA,PALANAN,MAYOR ISABELA - PALANAN,1,"BERNARDO, ANGELO (NP)",NP,4789,50.38 %
REGION II,ISABELA,PALANAN,MAYOR ISABELA - PALANAN,2,"GONZALES, JIMMY (WPP)",WPP,4715,49.61 %
REGION II,ISABELA,PALANAN,VICE-MAYOR ISABELA - PALANAN,1,"OCHOA, ELIZABETH (NP)",NP,6262,71.24 %
REGION II,ISABELA,PALANAN,VICE-MAYOR ISABELA - PALANAN,2,"BERNARDO, MELO (WPP)",WPP,2528,28.75 %
REGION II,ISABELA,PALANAN,"MEMBER, SANGGUNIANG BAYAN ISABELA - PALANAN - LONE DIST",1,"NERI, BOB (IND)",IND,5668,8.79 %
REGION II,ISABELA,PALANAN,"MEMBER, SANGGUNIANG BAYAN ISABELA - PALANAN - LONE DIST",2,"RAMILO, MICHAEL (WPP)",WPP,5249,8.14 %
REGION II,ISABELA,PALANAN,"MEMBER, SANGGUNIANG BAYAN ISABELA - PALANAN - LONE DIST",3,"ATANACIO, MONA (NP)",NP,5065,7.85 %
REGION II,ISABELA,PALANAN,"MEMBER, SANGGUNIANG BAYAN ISABELA - PALANAN - LONE DIST",4,"ATIENZA, NUNU (NP)",NP,4943,7.67 %
REGION II,ISABELA,PALANAN,"MEMBER, SANGGUNIANG BAYAN ISABELA - PALANAN - LONE DIST",5,"BERNARDO, EJ (AKSYON)",AKSYON,4472,6.93 %
REGION II,ISABELA,PALANAN,"MEMBER, SANGGUNIANG BAYAN ISABELA - PALANAN - LONE DIST",6,"BERNARDO, JOHN JOHN (NP)",NP,4338,6.73 %
REGION II,ISABELA,PALANAN,"MEMBER, SANGGUNIANG BAYAN ISABELA - PALANAN - LONE DIST",7,"CORPUZ, RHOENA (WPP)",WPP,4000,6.20 %
REGION II,ISABELA,PALANAN,"MEMBER, SANGGUNIANG BAYAN ISABELA - PALANAN - LONE DIST",8,"BERNARDO, ONAD (AKSYON)",AKSYON,3918,6.07 %
REGION II,ISABELA,PALANAN,"MEMBER, SANGGUNIANG BAYAN ISABELA - PALANAN - LONE DIST",9,"DELA PEÑA, ELDA (NP)",NP,3711,5.75 %
REGION II,ISABELA,PALANAN,"MEMBER, SANGGUNIANG BAYAN ISABELA - PALANAN - LONE DIST",10,"MAGAS, ALEX (WPP)",WPP,3676,5.70 %
REGION II,ISABELA,PALANAN,"MEMBER, SANGGUNIANG BAYAN ISABELA - PALANAN - LONE DIST",11,"ROSCAL, MYLA (WPP)",WPP,3649,5.66 %
REGION II,ISABELA,PALANAN,"MEMBER, SANGGUNIANG BAYAN ISABELA - PALANAN - LONE DIST",12,"GARCIA, THEO (NP)",NP,3255,5.05 %
REGION II,ISABELA,PALANAN,"MEMBER, SANGGUNIANG BAYAN ISABELA - PALANAN - LONE DIST",13,"GONZALES, LEA (WPP)",WPP,3141,4.87 %
REGION II,ISABELA,PALANAN,"MEMBER, SANGGUNIANG BAYAN ISABELA - PALANAN - LONE DIST",14,"CAUILAN, LOLY (NP)",NP,2816,4.36 %
REGION II,ISABELA,PALANAN,"MEMBER, SANGGUNIANG BAYAN ISABELA - PALANAN - LONE DIST",15,"BERNARDO, TOTIE (WPP)",WPP,1382,2.14 %
REGION II,ISABELA,PALANAN,"MEMBER, SANGGUNIANG BAYAN ISABELA - PALANAN - LONE DIST",16,"BAQUIDAN, NORA (IND)",IND,1183,1.83 %
REGION II,ISABELA,PALANAN,"MEMBER, SANGGUNIANG BAYAN ISABELA - PALANAN - LONE DIST",17,"VIRREY, DAVE (IND)",IND,1181,1.83 %
REGION II,ISABELA,PALANAN,"MEMBER, SANGGUNIANG BAYAN ISABELA - PALANAN - LONE DIST",18,"VILA, ARWIN (WPP)",WPP,1036,1.60 %
REGION II,ISABELA,PALANAN,"MEMBER, SANGGUNIANG BAYAN ISABELA - PALANAN - LONE DIST",19,"BAYAUA, MARVIN BUTZ (IND)",IND,713,1.10 %
REGION II,ISABELA,PALANAN,"MEMBER, SANGGUNIANG BAYAN ISABELA - PALANAN - LONE DIST",20,"ALMONTE, WANDA (IND)",IND,705,1.09 %
