region,province,city,position,rank,candidate_name,party,votes,percentage
REGION III,NUEVA ECIJA,ZARAGOZA,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,20913,79.29 %
REGION III,NUEVA ECIJA,ZARAGOZA,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,4376,16.59 %
REGION III,NUEVA ECIJA,ZARAGOZA,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,388,1.47 %
REGION III,NUEVA ECIJA,ZARAGOZA,PRESIDENT PHILIPPINES,4,"LACSON, PING (PDR)",PDR,384,1.45 %
REGION III,NUEVA ECIJA,ZARAGOZA,PRESIDENT PHILIPPINES,5,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,202,0.76 %
REGION III,NUEVA ECIJA,ZARAGOZA,PRESIDENT PHILIPPINES,6,"ABELLA, ERNIE (IND)",IND,31,0.11 %
REGION III,NUEVA ECIJA,ZARAGOZA,PRESIDENT PHILIPPINES,7,"DE GUZMAN, LEODY (PLM)",PLM,30,0.11 %
REGION III,NUEVA ECIJA,ZARAGOZA,PRESIDENT PHILIPPINES,8,"GONZALES, NORBERTO (PDSP)",PDSP,23,0.08 %
REGION III,NUEVA ECIJA,ZARAGOZA,PRESIDENT PHILIPPINES,9,"MONTEMAYOR, JOSE JR. (DPP)",DPP,14,0.05 %
REGION III,NUEVA ECIJA,ZARAGOZA,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,13,0.04 %
REGION III,NUEVA ECIJA,ZARAGOZA,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,16111,61.93 %
REGION III,NUEVA ECIJA,ZARAGOZA,VICE PRESIDENT PHILIPPINES,2,"SOTTO, VICENTE TITO (NPC)",NPC,6603,25.38 %
REGION III,NUEVA ECIJA,ZARAGOZA,VICE PRESIDENT PHILIPPINES,3,"PANGILINAN, KIKO (LP)",LP,2463,9.46 %
REGION III,NUEVA ECIJA,ZARAGOZA,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,715,2.74 %
REGION III,NUEVA ECIJA,ZARAGOZA,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,40,0.15 %
REGION III,NUEVA ECIJA,ZARAGOZA,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,28,0.10 %
REGION III,NUEVA ECIJA,ZARAGOZA,VICE PRESIDENT PHILIPPINES,7,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,22,0.08 %
REGION III,NUEVA ECIJA,ZARAGOZA,VICE PRESIDENT PHILIPPINES,8,"BELLO, WALDEN (PLM)",PLM,19,0.07 %
REGION III,NUEVA ECIJA,ZARAGOZA,VICE PRESIDENT PHILIPPINES,9,"DAVID, RIZALITO (DPP)",DPP,13,0.04 %
REGION III,NUEVA ECIJA,ZARAGOZA,SENATOR PHILIPPINES,1,"PADILLA, ROBIN (PDPLBN)",PDPLBN,16412,7.22 %
REGION III,NUEVA ECIJA,ZARAGOZA,SENATOR PHILIPPINES,2,"VILLANUEVA,JOEL TESDAMAN (IND)",IND,13731,6.04 %
REGION III,NUEVA ECIJA,ZARAGOZA,SENATOR PHILIPPINES,3,"LEGARDA, LOREN (NPC)",NPC,13440,5.92 %
REGION III,NUEVA ECIJA,ZARAGOZA,SENATOR PHILIPPINES,4,"TULFO, IDOL RAFFY (IND)",IND,12526,5.51 %
REGION III,NUEVA ECIJA,ZARAGOZA,SENATOR PHILIPPINES,5,"GATCHALIAN, WIN (NPC)",NPC,11621,5.11 %
REGION III,NUEVA ECIJA,ZARAGOZA,SENATOR PHILIPPINES,6,"ESCUDERO, CHIZ (NPC)",NPC,11432,5.03 %
REGION III,NUEVA ECIJA,ZARAGOZA,SENATOR PHILIPPINES,7,"ESTRADA, JINGGOY (PMP)",PMP,10350,4.55 %
REGION III,NUEVA ECIJA,ZARAGOZA,SENATOR PHILIPPINES,8,"EJERCITO, JV ESTRADA (NPC)",NPC,9884,4.35 %
REGION III,NUEVA ECIJA,ZARAGOZA,SENATOR PHILIPPINES,9,"ZUBIRI, MIGZ (IND)",IND,9717,4.28 %
REGION III,NUEVA ECIJA,ZARAGOZA,SENATOR PHILIPPINES,10,"CAYETANO, ALAN PETER (IND)",IND,9241,4.07 %
REGION III,NUEVA ECIJA,ZARAGOZA,SENATOR PHILIPPINES,11,"VILLAR, MARK (NP)",NP,8137,3.58 %
REGION III,NUEVA ECIJA,ZARAGOZA,SENATOR PHILIPPINES,12,"BAUTISTA, HERBERT BISTEK (NPC)",NPC,7806,3.43 %
REGION III,NUEVA ECIJA,ZARAGOZA,SENATOR PHILIPPINES,13,"BINAY, JOJO (UNA)",UNA,7741,3.40 %
REGION III,NUEVA ECIJA,ZARAGOZA,SENATOR PHILIPPINES,14,"HONTIVEROS, RISA (AKBAYAN)",AKBAYAN,7673,3.38 %
REGION III,NUEVA ECIJA,ZARAGOZA,SENATOR PHILIPPINES,15,"ELEAZAR, GEN. GUILLERMO (PDR)",PDR,7528,3.31 %
REGION III,NUEVA ECIJA,ZARAGOZA,SENATOR PHILIPPINES,16,"HONASAN, GRINGO (IND)",IND,6636,2.92 %
REGION III,NUEVA ECIJA,ZARAGOZA,SENATOR PHILIPPINES,17,"TEODORO, GIBO (PRP)",PRP,5764,2.53 %
REGION III,NUEVA ECIJA,ZARAGOZA,SENATOR PHILIPPINES,18,"GADON, LARRY (KBL)",KBL,5609,2.47 %
REGION III,NUEVA ECIJA,ZARAGOZA,SENATOR PHILIPPINES,19,"ROQUE, HARRY SPOX (PRP)",PRP,5054,2.22 %
REGION III,NUEVA ECIJA,ZARAGOZA,SENATOR PHILIPPINES,20,"DIOKNO, CHEL (KANP)",KANP,4759,2.09 %
REGION III,NUEVA ECIJA,ZARAGOZA,SENATOR PHILIPPINES,21,"GORDON, WOW DICK (BVNP)",BVNP,4303,1.89 %
REGION III,NUEVA ECIJA,ZARAGOZA,SENATOR PHILIPPINES,22,"TRILLANES, ANTONIO IV (LP)",LP,4108,1.80 %
REGION III,NUEVA ECIJA,ZARAGOZA,SENATOR PHILIPPINES,23,"DE LIMA, LEILA (LP)",LP,3129,1.37 %
REGION III,NUEVA ECIJA,ZARAGOZA,SENATOR PHILIPPINES,24,"MARCOS, FRANCIS LEO (IND)",IND,2580,1.13 %
REGION III,NUEVA ECIJA,ZARAGOZA,SENATOR PHILIPPINES,25,"COLMENARES, NERI (MKBYN)",MKBYN,2516,1.10 %
REGION III,NUEVA ECIJA,ZARAGOZA,SENATOR PHILIPPINES,26,"BALITA, CARL (AKSYON)",AKSYON,1898,0.83 %
REGION III,NUEVA ECIJA,ZARAGOZA,SENATOR PHILIPPINES,27,"LACSON, KUYA ALEX (KP)",KP,1892,0.83 %
