region,province,city,position,rank,candidate_name,party,votes,percentage
REGION III,PAMPANGA,CITY OF SAN FERNANDO,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,226,0.13 %
REGION III,PAMPANGA,CITY OF SAN FERNANDO,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,198,0.12 %
REGION III,PAMPANGA,CITY OF SAN FERNANDO,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,7120,4.35 %
REGION III,PAMPANGA,CITY OF SAN FERNANDO,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,422,0.25 %
REGION III,PAMPANGA,CITY OF SAN FERNANDO,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,2561,1.56 %
REGION III,PAMPANGA,CITY OF SAN FERNANDO,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,229,0.13 %
REGION III,PAMPANGA,CITY OF SAN FERNANDO,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,93180,56.95 %
REGION III,PAMPANGA,CITY OF SAN FERNANDO,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,398,0.24 %
REGION III,PAMPANGA,CITY OF SAN FERNANDO,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,180,0.11 %
REGION III,PAMPANGA,CITY OF SAN FERNANDO,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,117,0.07 %
REGION III,PAMPANGA,CITY OF SAN FERNANDO,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,83298,51.28 %
REGION III,PAMPANGA,CITY OF SAN FERNANDO,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,147,0.09 %
REGION III,PAMPANGA,CITY OF SAN FERNANDO,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,6228,3.83 %
REGION III,PAMPANGA,CITY OF SAN FERNANDO,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,34661,21.34 %
REGION III,PAMPANGA,CITY OF SAN FERNANDO,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,136,0.08 %
REGION III,PAMPANGA,CITY OF SAN FERNANDO,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,37245,22.93 %
REGION III,PAMPANGA,CITY OF SAN FERNANDO,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,2465,0.17 %
REGION III,PAMPANGA,CITY OF SAN FERNANDO,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,1500,0.10 %
REGION III,PAMPANGA,CITY OF SAN FERNANDO,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,1193,0.08 %
REGION III,PAMPANGA,CITY OF SAN FERNANDO,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,20187,1.42 %
REGION III,PAMPANGA,CITY OF SAN FERNANDO,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,1944,0.13 %
REGION III,PAMPANGA,CITY OF SAN FERNANDO,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,10410,0.73 %
REGION III,PAMPANGA,CITY OF SAN FERNANDO,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,1371,0.09 %
REGION III,PAMPANGA,CITY OF SAN FERNANDO,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,46251,3.27 %
REGION III,PAMPANGA,CITY OF SAN FERNANDO,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,7231,0.51 %
REGION III,PAMPANGA,CITY OF SAN FERNANDO,SENATOR PHILIPPINES,10,"BELLO, SILVESTRE JR.",PDPLBN,4014,0.28 %
