region,province,city,position,rank,candidate_name,party,votes,percentage
REGION III,PAMPANGA,MINALIN,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,17898,64.30 %
REGION III,PAMPANGA,MINALIN,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,7984,28.68 %
REGION III,PAMPANGA,MINALIN,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,1045,3.75 %
REGION III,PAMPANGA,MINALIN,PRESIDENT PHILIPPINES,4,"LACSON, PING (PDR)",PDR,380,1.36 %
REGION III,PAMPANGA,MINALIN,PRESIDENT PHILIPPINES,5,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,375,1.34 %
REGION III,PAMPANGA,MINALIN,PRESIDENT PHILIPPINES,6,"ABELLA, ERNIE (IND)",IND,49,0.17 %
REGION III,PAMPANGA,MINALIN,PRESIDENT PHILIPPINES,7,"DE GUZMAN, LEODY (PLM)",PLM,41,0.14 %
REGION III,PAMPANGA,MINALIN,PRESIDENT PHILIPPINES,8,"GONZALES, NORBERTO (PDSP)",PDSP,39,0.14 %
REGION III,PAMPANGA,MINALIN,PRESIDENT PHILIPPINES,9,"MONTEMAYOR, JOSE JR. (DPP)",DPP,20,0.07 %
REGION III,PAMPANGA,MINALIN,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,3,0.01 %
REGION III,PAMPANGA,MINALIN,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,15090,55.14 %
REGION III,PAMPANGA,MINALIN,VICE PRESIDENT PHILIPPINES,2,"SOTTO, VICENTE TITO (NPC)",NPC,6645,24.28 %
REGION III,PAMPANGA,MINALIN,VICE PRESIDENT PHILIPPINES,3,"PANGILINAN, KIKO (LP)",LP,4668,17.06 %
REGION III,PAMPANGA,MINALIN,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,780,2.85 %
REGION III,PAMPANGA,MINALIN,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,65,0.23 %
REGION III,PAMPANGA,MINALIN,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,35,0.12 %
REGION III,PAMPANGA,MINALIN,VICE PRESIDENT PHILIPPINES,7,"BELLO, WALDEN (PLM)",PLM,34,0.12 %
REGION III,PAMPANGA,MINALIN,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,30,0.10 %
REGION III,PAMPANGA,MINALIN,VICE PRESIDENT PHILIPPINES,9,"DAVID, RIZALITO (DPP)",DPP,15,0.05 %
REGION III,PAMPANGA,MINALIN,SENATOR PHILIPPINES,1,"PADILLA, ROBIN (PDPLBN)",PDPLBN,13211,6.07 %
REGION III,PAMPANGA,MINALIN,SENATOR PHILIPPINES,2,"LEGARDA, LOREN (NPC)",NPC,12855,5.91 %
REGION III,PAMPANGA,MINALIN,SENATOR PHILIPPINES,3,"TULFO, IDOL RAFFY (IND)",IND,11899,5.47 %
REGION III,PAMPANGA,MINALIN,SENATOR PHILIPPINES,4,"VILLAR, MARK (NP)",NP,11572,5.32 %
REGION III,PAMPANGA,MINALIN,SENATOR PHILIPPINES,5,"VILLANUEVA,JOEL TESDAMAN (IND)",IND,11556,5.31 %
REGION III,PAMPANGA,MINALIN,SENATOR PHILIPPINES,6,"GATCHALIAN, WIN (NPC)",NPC,11271,5.18 %
REGION III,PAMPANGA,MINALIN,SENATOR PHILIPPINES,7,"ZUBIRI, MIGZ (IND)",IND,9968,4.58 %
REGION III,PAMPANGA,MINALIN,SENATOR PHILIPPINES,8,"ESCUDERO, CHIZ (NPC)",NPC,9807,4.51 %
REGION III,PAMPANGA,MINALIN,SENATOR PHILIPPINES,9,"TEODORO, GIBO (PRP)",PRP,8796,4.04 %
REGION III,PAMPANGA,MINALIN,SENATOR PHILIPPINES,10,"CAYETANO, ALAN PETER (IND)",IND,8732,4.01 %
REGION III,PAMPANGA,MINALIN,SENATOR PHILIPPINES,11,"HONTIVEROS, RISA (AKBAYAN)",AKBAYAN,7933,3.65 %
REGION III,PAMPANGA,MINALIN,SENATOR PHILIPPINES,12,"BAUTISTA, HERBERT BISTEK (NPC)",NPC,7296,3.35 %
REGION III,PAMPANGA,MINALIN,SENATOR PHILIPPINES,13,"BINAY, JOJO (UNA)",UNA,7066,3.25 %
REGION III,PAMPANGA,MINALIN,SENATOR PHILIPPINES,14,"EJERCITO, JV ESTRADA (NPC)",NPC,6737,3.10 %
REGION III,PAMPANGA,MINALIN,SENATOR PHILIPPINES,15,"DIOKNO, CHEL (KANP)",KANP,6277,2.88 %
REGION III,PAMPANGA,MINALIN,SENATOR PHILIPPINES,16,"ESTRADA, JINGGOY (PMP)",PMP,6217,2.86 %
REGION III,PAMPANGA,MINALIN,SENATOR PHILIPPINES,17,"GADON, LARRY (KBL)",KBL,5838,2.68 %
REGION III,PAMPANGA,MINALIN,SENATOR PHILIPPINES,18,"ROQUE, HARRY SPOX (PRP)",PRP,5330,2.45 %
REGION III,PAMPANGA,MINALIN,SENATOR PHILIPPINES,19,"GORDON, WOW DICK (BVNP)",BVNP,4719,2.17 %
REGION III,PAMPANGA,MINALIN,SENATOR PHILIPPINES,20,"HONASAN, GRINGO (IND)",IND,4176,1.92 %
REGION III,PAMPANGA,MINALIN,SENATOR PHILIPPINES,21,"ELEAZAR, GEN. GUILLERMO (PDR)",PDR,4083,1.87 %
REGION III,PAMPANGA,MINALIN,SENATOR PHILIPPINES,22,"TRILLANES, ANTONIO IV (LP)",LP,3718,1.71 %
REGION III,PAMPANGA,MINALIN,SENATOR PHILIPPINES,23,"DE LIMA, LEILA (LP)",LP,3466,1.59 %
REGION III,PAMPANGA,MINALIN,SENATOR PHILIPPINES,24,"LACSON, KUYA ALEX (KP)",KP,2883,1.32 %
REGION III,PAMPANGA,MINALIN,SENATOR PHILIPPINES,25,"COLMENARES, NERI (MKBYN)",MKBYN,2661,1.22 %
REGION III,PAMPANGA,MINALIN,SENATOR PHILIPPINES,26,"MARCOS, FRANCIS LEO (IND)",IND,2658,1.22 %
REGION III,PAMPANGA,MINALIN,SENATOR PHILIPPINES,27,"BAGUILAT, TEDDY (LP)",LP,2218,1.02 %
REGION III,PAMPANGA,MINALIN,SENATOR PHILIPPINES,28,"ESPIRITU, LUKE (PLM)",PLM,1914,0.88 %
