region,province,city,position,rank,candidate_name,party,votes,percentage
REGION III,TARLAC,LA PAZ,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,21139,54.61 %
REGION III,TARLAC,LA PAZ,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,15011,38.78 %
REGION III,TARLAC,LA PAZ,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,1198,3.09 %
REGION III,TARLAC,LA PAZ,PRESIDENT PHILIPPINES,4,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,563,1.45 %
REGION III,TARLAC,LA PAZ,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,479,1.23 %
REGION III,TARLAC,LA PAZ,PRESIDENT PHILIPPINES,6,"ABELLA, ERNIE (IND)",IND,102,0.26 %
REGION III,TARLAC,LA PAZ,PRESIDENT PHILIPPINES,7,"DE GUZMAN, LEODY (PLM)",PLM,83,0.21 %
REGION III,TARLAC,LA PAZ,PRESIDENT PHILIPPINES,8,"GONZALES, NORBERTO (PDSP)",PDSP,73,0.18 %
REGION III,TARLAC,LA PAZ,PRESIDENT PHILIPPINES,9,"MONTEMAYOR, JOSE JR. (DPP)",DPP,36,0.09 %
REGION III,TARLAC,LA PAZ,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,21,0.05 %
REGION III,TARLAC,LA PAZ,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,16473,43.45 %
REGION III,TARLAC,LA PAZ,VICE PRESIDENT PHILIPPINES,2,"SOTTO, VICENTE TITO (NPC)",NPC,11817,31.17 %
REGION III,TARLAC,LA PAZ,VICE PRESIDENT PHILIPPINES,3,"PANGILINAN, KIKO (LP)",LP,7831,20.65 %
REGION III,TARLAC,LA PAZ,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,1364,3.59 %
REGION III,TARLAC,LA PAZ,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,135,0.35 %
REGION III,TARLAC,LA PAZ,VICE PRESIDENT PHILIPPINES,6,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,80,0.21 %
REGION III,TARLAC,LA PAZ,VICE PRESIDENT PHILIPPINES,7,"LOPEZ, MANNY SD (WPP)",WPP,76,0.20 %
REGION III,TARLAC,LA PAZ,VICE PRESIDENT PHILIPPINES,8,"BELLO, WALDEN (PLM)",PLM,66,0.17 %
REGION III,TARLAC,LA PAZ,VICE PRESIDENT PHILIPPINES,9,"DAVID, RIZALITO (DPP)",DPP,65,0.17 %
REGION III,TARLAC,LA PAZ,SENATOR PHILIPPINES,1,"LEGARDA, LOREN (NPC)",NPC,18684,6.22 %
REGION III,TARLAC,LA PAZ,SENATOR PHILIPPINES,2,"PADILLA, ROBIN (PDPLBN)",PDPLBN,16872,5.62 %
REGION III,TARLAC,LA PAZ,SENATOR PHILIPPINES,3,"VILLANUEVA,JOEL TESDAMAN (IND)",IND,16634,5.54 %
