region,province,city,position,rank,candidate_name,party,votes,percentage
REGION III,ZAMBALES,CASTILLEJOS,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,21173,72.26 %
REGION III,ZAMBALES,CASTILLEJOS,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,5357,18.28 %
REGION III,ZAMBALES,CASTILLEJOS,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,1096,3.74 %
REGION III,ZAMBALES,CASTILLEJOS,PRESIDENT PHILIPPINES,4,"LACSON, PING (PDR)",PDR,865,2.95 %
REGION III,ZAMBALES,CASTILLEJOS,PRESIDENT PHILIPPINES,5,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,609,2.07 %
REGION III,ZAMBALES,CASTILLEJOS,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,63,0.21 %
REGION III,ZAMBALES,CASTILLEJOS,PRESIDENT PHILIPPINES,7,"GONZALES, NORBERTO (PDSP)",PDSP,41,0.13 %
REGION III,ZAMBALES,CASTILLEJOS,PRESIDENT PHILIPPINES,8,"DE GUZMAN, LEODY (PLM)",PLM,34,0.11 %
REGION III,ZAMBALES,CASTILLEJOS,PRESIDENT PHILIPPINES,9,"ABELLA, ERNIE (IND)",IND,31,0.10 %
REGION III,ZAMBALES,CASTILLEJOS,PRESIDENT PHILIPPINES,10,"MONTEMAYOR, JOSE JR. (DPP)",DPP,30,0.10 %
REGION III,ZAMBALES,CASTILLEJOS,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,17722,61.27 %
REGION III,ZAMBALES,CASTILLEJOS,VICE PRESIDENT PHILIPPINES,2,"SOTTO, VICENTE TITO (NPC)",NPC,6126,21.18 %
REGION III,ZAMBALES,CASTILLEJOS,VICE PRESIDENT PHILIPPINES,3,"PANGILINAN, KIKO (LP)",LP,3360,11.61 %
REGION III,ZAMBALES,CASTILLEJOS,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,1479,5.11 %
REGION III,ZAMBALES,CASTILLEJOS,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,86,0.29 %
REGION III,ZAMBALES,CASTILLEJOS,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,62,0.21 %
REGION III,ZAMBALES,CASTILLEJOS,VICE PRESIDENT PHILIPPINES,7,"BELLO, WALDEN (PLM)",PLM,38,0.13 %
REGION III,ZAMBALES,CASTILLEJOS,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,33,0.11 %
REGION III,ZAMBALES,CASTILLEJOS,VICE PRESIDENT PHILIPPINES,9,"DAVID, RIZALITO (DPP)",DPP,17,0.05 %
REGION III,ZAMBALES,CASTILLEJOS,SENATOR PHILIPPINES,1,"PADILLA, ROBIN (PDPLBN)",PDPLBN,15539,5.95 %
REGION III,ZAMBALES,CASTILLEJOS,SENATOR PHILIPPINES,2,"LEGARDA, LOREN (NPC)",NPC,15422,5.90 %
REGION III,ZAMBALES,CASTILLEJOS,SENATOR PHILIPPINES,3,"TULFO, IDOL RAFFY (IND)",IND,14921,5.71 %
REGION III,ZAMBALES,CASTILLEJOS,SENATOR PHILIPPINES,4,"VILLANUEVA,JOEL TESDAMAN (IND)",IND,14092,5.39 %
REGION III,ZAMBALES,CASTILLEJOS,SENATOR PHILIPPINES,5,"ESCUDERO, CHIZ (NPC)",NPC,13260,5.07 %
REGION III,ZAMBALES,CASTILLEJOS,SENATOR PHILIPPINES,6,"CAYETANO, ALAN PETER (IND)",IND,11959,4.58 %
REGION III,ZAMBALES,CASTILLEJOS,SENATOR PHILIPPINES,7,"GATCHALIAN, WIN (NPC)",NPC,11671,4.47 %
REGION III,ZAMBALES,CASTILLEJOS,SENATOR PHILIPPINES,8,"VILLAR, MARK (NP)",NP,11597,4.44 %
REGION III,ZAMBALES,CASTILLEJOS,SENATOR PHILIPPINES,9,"ZUBIRI, MIGZ (IND)",IND,10713,4.10 %
REGION III,ZAMBALES,CASTILLEJOS,SENATOR PHILIPPINES,10,"EJERCITO, JV ESTRADA (NPC)",NPC,10654,4.08 %
REGION III,ZAMBALES,CASTILLEJOS,SENATOR PHILIPPINES,11,"GORDON, WOW DICK (BVNP)",BVNP,10207,3.91 %
