region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-A,BATANGAS,CALACA,PRESIDENT PHILIPPINES,1,"ROBREDO, LENI (IND)",IND,25409,48.69 %
REGION IV-A,BATANGAS,CALACA,PRESIDENT PHILIPPINES,2,"MARCOS, BONGBONG (PFP)",PFP,21720,41.62 %
REGION IV-A,BATANGAS,CALACA,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,2181,4.18 %
REGION IV-A,BATANGAS,CALACA,PRESIDENT PHILIPPINES,4,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,1314,2.51 %
REGION IV-A,BATANGAS,CALACA,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,1266,2.42 %
REGION IV-A,BATANGAS,CALACA,PRESIDENT PHILIPPINES,6,"DE GUZMAN, LEODY (PLM)",PLM,77,0.14 %
REGION IV-A,BATANGAS,CALACA,PRESIDENT PHILIPPINES,7,"GONZALES, NORBERTO (PDSP)",PDSP,77,0.14 %
REGION IV-A,BATANGAS,CALACA,PRESIDENT PHILIPPINES,8,"ABELLA, ERNIE (IND)",IND,72,0.13 %
REGION IV-A,BATANGAS,CALACA,PRESIDENT PHILIPPINES,9,"MONTEMAYOR, JOSE JR. (DPP)",DPP,33,0.06 %
REGION IV-A,BATANGAS,CALACA,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,26,0.04 %
REGION IV-A,BATANGAS,CALACA,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,20692,41.07 %
REGION IV-A,BATANGAS,CALACA,VICE PRESIDENT PHILIPPINES,2,"PANGILINAN, KIKO (LP)",LP,16383,32.52 %
REGION IV-A,BATANGAS,CALACA,VICE PRESIDENT PHILIPPINES,3,"SOTTO, VICENTE TITO (NPC)",NPC,10142,20.13 %
REGION IV-A,BATANGAS,CALACA,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,2655,5.27 %
REGION IV-A,BATANGAS,CALACA,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,280,0.55 %
REGION IV-A,BATANGAS,CALACA,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,83,0.16 %
REGION IV-A,BATANGAS,CALACA,VICE PRESIDENT PHILIPPINES,7,"BELLO, WALDEN (PLM)",PLM,60,0.11 %
REGION IV-A,BATANGAS,CALACA,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,53,0.10 %
REGION IV-A,BATANGAS,CALACA,VICE PRESIDENT PHILIPPINES,9,"DAVID, RIZALITO (DPP)",DPP,24,0.04 %
REGION IV-A,BATANGAS,CALACA,SENATOR PHILIPPINES,1,"LEGARDA, LOREN (NPC)",NPC,22589,5.59 %
REGION IV-A,BATANGAS,CALACA,SENATOR PHILIPPINES,2,"ESCUDERO, CHIZ (NPC)",NPC,20919,5.17 %
REGION IV-A,BATANGAS,CALACA,SENATOR PHILIPPINES,3,"TULFO, IDOL RAFFY (IND)",IND,20694,5.12 %
REGION IV-A,BATANGAS,CALACA,SENATOR PHILIPPINES,4,"CAYETANO, ALAN PETER (IND)",IND,20470,5.06 %
REGION IV-A,BATANGAS,CALACA,SENATOR PHILIPPINES,5,"PADILLA, ROBIN (PDPLBN)",PDPLBN,20391,5.04 %
REGION IV-A,BATANGAS,CALACA,SENATOR PHILIPPINES,6,"HONTIVEROS, RISA (AKBAYAN)",AKBAYAN,19937,4.93 %
REGION IV-A,BATANGAS,CALACA,SENATOR PHILIPPINES,7,"VILLANUEVA,JOEL TESDAMAN (IND)",IND,19412,4.80 %
REGION IV-A,BATANGAS,CALACA,SENATOR PHILIPPINES,8,"GATCHALIAN, WIN (NPC)",NPC,19248,4.76 %
REGION IV-A,BATANGAS,CALACA,SENATOR PHILIPPINES,9,"BINAY, JOJO (UNA)",UNA,17202,4.25 %
REGION IV-A,BATANGAS,CALACA,SENATOR PHILIPPINES,10,"DIOKNO, CHEL (KANP)",KANP,16637,4.11 %
REGION IV-A,BATANGAS,CALACA,SENATOR PHILIPPINES,11,"VILLAR, MARK (NP)",NP,15992,3.95 %
REGION IV-A,BATANGAS,CALACA,SENATOR PHILIPPINES,12,"ZUBIRI, MIGZ (IND)",IND,15232,3.76 %
