region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-A,LAGUNA,BAY,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,21392,60.20 %
REGION IV-A,LAGUNA,BAY,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,10699,30.11 %
REGION IV-A,LAGUNA,BAY,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,1451,4.08 %
REGION IV-A,LAGUNA,BAY,PRESIDENT PHILIPPINES,4,"LACSON, PING (PDR)",PDR,1022,2.87 %
REGION IV-A,LAGUNA,BAY,PRESIDENT PHILIPPINES,5,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,763,2.14 %
REGION IV-A,LAGUNA,BAY,PRESIDENT PHILIPPINES,6,"GONZALES, NORBERTO (PDSP)",PDSP,57,0.16 %
REGION IV-A,LAGUNA,BAY,PRESIDENT PHILIPPINES,7,"ABELLA, ERNIE (IND)",IND,49,0.13 %
REGION IV-A,LAGUNA,BAY,PRESIDENT PHILIPPINES,8,"MONTEMAYOR, JOSE JR. (DPP)",DPP,40,0.11 %
REGION IV-A,LAGUNA,BAY,PRESIDENT PHILIPPINES,9,"DE GUZMAN, LEODY (PLM)",PLM,34,0.09 %
REGION IV-A,LAGUNA,BAY,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,24,0.06 %
REGION IV-A,LAGUNA,BAY,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,15995,45.52 %
REGION IV-A,LAGUNA,BAY,VICE PRESIDENT PHILIPPINES,2,"SOTTO, VICENTE TITO (NPC)",NPC,11055,31.46 %
REGION IV-A,LAGUNA,BAY,VICE PRESIDENT PHILIPPINES,3,"PANGILINAN, KIKO (LP)",LP,6345,18.06 %
REGION IV-A,LAGUNA,BAY,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,1499,4.26 %
REGION IV-A,LAGUNA,BAY,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,100,0.28 %
REGION IV-A,LAGUNA,BAY,VICE PRESIDENT PHILIPPINES,6,"BELLO, WALDEN (PLM)",PLM,49,0.13 %
REGION IV-A,LAGUNA,BAY,VICE PRESIDENT PHILIPPINES,7,"LOPEZ, MANNY SD (WPP)",WPP,45,0.12 %
REGION IV-A,LAGUNA,BAY,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,32,0.09 %
REGION IV-A,LAGUNA,BAY,VICE PRESIDENT PHILIPPINES,9,"DAVID, RIZALITO (DPP)",DPP,12,0.03 %
REGION IV-A,LAGUNA,BAY,SENATOR PHILIPPINES,1,"LEGARDA, LOREN (NPC)",NPC,17315,5.65 %
REGION IV-A,LAGUNA,BAY,SENATOR PHILIPPINES,2,"PADILLA, ROBIN (PDPLBN)",PDPLBN,16543,5.40 %
REGION IV-A,LAGUNA,BAY,SENATOR PHILIPPINES,3,"TULFO, IDOL RAFFY (IND)",IND,16538,5.40 %
REGION IV-A,LAGUNA,BAY,SENATOR PHILIPPINES,4,"ESCUDERO, CHIZ (NPC)",NPC,16392,5.35 %
REGION IV-A,LAGUNA,BAY,SENATOR PHILIPPINES,5,"CAYETANO, ALAN PETER (IND)",IND,14197,4.63 %
REGION IV-A,LAGUNA,BAY,SENATOR PHILIPPINES,6,"VILLANUEVA,JOEL TESDAMAN (IND)",IND,13724,4.48 %
REGION IV-A,LAGUNA,BAY,SENATOR PHILIPPINES,7,"GATCHALIAN, WIN (NPC)",NPC,12575,4.10 %
REGION IV-A,LAGUNA,BAY,SENATOR PHILIPPINES,8,"VILLAR, MARK (NP)",NP,12528,4.09 %
REGION IV-A,LAGUNA,BAY,SENATOR PHILIPPINES,9,"EJERCITO, JV ESTRADA (NPC)",NPC,12484,4.07 %
REGION IV-A,LAGUNA,BAY,SENATOR PHILIPPINES,10,"HONTIVEROS, RISA (AKBAYAN)",AKBAYAN,12346,4.03 %
REGION IV-A,LAGUNA,BAY,SENATOR PHILIPPINES,11,"ESTRADA, JINGGOY (PMP)",PMP,10419,3.40 %
REGION IV-A,LAGUNA,BAY,SENATOR PHILIPPINES,12,"ZUBIRI, MIGZ (IND)",IND,10303,3.36 %
REGION IV-A,LAGUNA,BAY,SENATOR PHILIPPINES,13,"BAUTISTA, HERBERT BISTEK (NPC)",NPC,9816,3.20 %
REGION IV-A,LAGUNA,BAY,SENATOR PHILIPPINES,14,"BINAY, JOJO (UNA)",UNA,9746,3.18 %
REGION IV-A,LAGUNA,BAY,SENATOR PHILIPPINES,15,"ELEAZAR, GEN. GUILLERMO (PDR)",PDR,9617,3.14 %
REGION IV-A,LAGUNA,BAY,SENATOR PHILIPPINES,16,"DIOKNO, CHEL (KANP)",KANP,9257,3.02 %
REGION IV-A,LAGUNA,BAY,SENATOR PHILIPPINES,17,"HONASAN, GRINGO (IND)",IND,8006,2.61 %
REGION IV-A,LAGUNA,BAY,SENATOR PHILIPPINES,18,"TRILLANES, ANTONIO IV (LP)",LP,7246,2.36 %
