region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-A,LAGUNA,LOS BAÑOS,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,33491,54.52 %
REGION IV-A,LAGUNA,LOS BAÑOS,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,22327,36.35 %
REGION IV-A,LAGUNA,LOS BAÑOS,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,2441,3.97 %
REGION IV-A,LAGUNA,LOS BAÑOS,PRESIDENT PHILIPPINES,4,"LACSON, PING (PDR)",PDR,1763,2.87 %
REGION IV-A,LAGUNA,LOS BAÑOS,PRESIDENT PHILIPPINES,5,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,1105,1.79 %
REGION IV-A,LAGUNA,LOS BAÑOS,PRESIDENT PHILIPPINES,6,"DE GUZMAN, LEODY (PLM)",PLM,88,0.14 %
REGION IV-A,LAGUNA,LOS BAÑOS,PRESIDENT PHILIPPINES,7,"GONZALES, NORBERTO (PDSP)",PDSP,71,0.11 %
REGION IV-A,LAGUNA,LOS BAÑOS,PRESIDENT PHILIPPINES,8,"ABELLA, ERNIE (IND)",IND,67,0.10 %
REGION IV-A,LAGUNA,LOS BAÑOS,PRESIDENT PHILIPPINES,9,"MONTEMAYOR, JOSE JR. (DPP)",DPP,43,0.07 %
REGION IV-A,LAGUNA,LOS BAÑOS,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,24,0.03 %
REGION IV-A,LAGUNA,LOS BAÑOS,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,28955,47.45 %
REGION IV-A,LAGUNA,LOS BAÑOS,VICE PRESIDENT PHILIPPINES,2,"PANGILINAN, KIKO (LP)",LP,15368,25.18 %
REGION IV-A,LAGUNA,LOS BAÑOS,VICE PRESIDENT PHILIPPINES,3,"SOTTO, VICENTE TITO (NPC)",NPC,13395,21.95 %
REGION IV-A,LAGUNA,LOS BAÑOS,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,2926,4.79 %
REGION IV-A,LAGUNA,LOS BAÑOS,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,135,0.22 %
REGION IV-A,LAGUNA,LOS BAÑOS,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,87,0.14 %
REGION IV-A,LAGUNA,LOS BAÑOS,VICE PRESIDENT PHILIPPINES,7,"BELLO, WALDEN (PLM)",PLM,79,0.12 %
REGION IV-A,LAGUNA,LOS BAÑOS,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,43,0.07 %
REGION IV-A,LAGUNA,LOS BAÑOS,VICE PRESIDENT PHILIPPINES,9,"DAVID, RIZALITO (DPP)",DPP,27,0.04 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,1,"LEGARDA, LOREN (NPC)",NPC,28841,5.09 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,2,"ESCUDERO, CHIZ (NPC)",NPC,28434,5.02 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,3,"TULFO, IDOL RAFFY (IND)",IND,27725,4.89 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,4,"HONTIVEROS, RISA (AKBAYAN)",AKBAYAN,25337,4.47 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,5,"PADILLA, ROBIN (PDPLBN)",PDPLBN,25231,4.45 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,6,"GATCHALIAN, WIN (NPC)",NPC,23043,4.07 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,7,"VILLANUEVA,JOEL TESDAMAN (IND)",IND,22864,4.04 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,8,"VILLAR, MARK (NP)",NP,21827,3.85 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,9,"CAYETANO, ALAN PETER (IND)",IND,21731,3.83 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,10,"DIOKNO, CHEL (KANP)",KANP,21326,3.76 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,11,"EJERCITO, JV ESTRADA (NPC)",NPC,20601,3.64 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,12,"ZUBIRI, MIGZ (IND)",IND,20323,3.59 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,13,"BAUTISTA, HERBERT BISTEK (NPC)",NPC,17499,3.09 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,14,"ELEAZAR, GEN. GUILLERMO (PDR)",PDR,15906,2.81 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,15,"ESTRADA, JINGGOY (PMP)",PMP,15652,2.76 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,16,"TRILLANES, ANTONIO IV (LP)",LP,14962,2.64 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,17,"COLMENARES, NERI (MKBYN)",MKBYN,14238,2.51 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,18,"DE LIMA, LEILA (LP)",LP,14132,2.49 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,19,"TEODORO, GIBO (PRP)",PRP,13995,2.47 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,20,"HONASAN, GRINGO (IND)",IND,13189,2.33 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,21,"BINAY, JOJO (UNA)",UNA,12723,2.24 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,22,"GORDON, WOW DICK (BVNP)",BVNP,12676,2.23 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,23,"GADON, LARRY (KBL)",KBL,12485,2.20 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,24,"ROQUE, HARRY SPOX (PRP)",PRP,11887,2.10 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,25,"LACSON, KUYA ALEX (KP)",KP,11374,2.00 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,26,"BAGUILAT, TEDDY (LP)",LP,10863,1.91 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,27,"ESPIRITU, LUKE (PLM)",PLM,9475,1.67 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,28,"MATULA, SONNY (IND)",IND,8206,1.45 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,29,"MARCOS, FRANCIS LEO (IND)",IND,6390,1.12 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,30,"LABOG, ELMER (MKBYN)",MKBYN,5736,1.01 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,31,"ZUBIAGA, CARMEN (IND)",IND,5546,0.98 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,32,"PANELO, SAL PANALO (PDPLBN)",PDPLBN,4682,0.82 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,33,"PADILLA, DRA. MINGUITA (PDR)",PDR,4380,0.77 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,34,"BALITA, CARL (AKSYON)",AKSYON,4327,0.76 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,35,"DEL ROSARIO, MONSOUR (PDR)",PDR,3962,0.70 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,36,"MARCOLETA, RODANTE (PDPLBN)",PDPLBN,3726,0.65 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,37,"PIÑOL, MANNY (NPC)",NPC,3071,0.54 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,38,"PIMENTEL, ASTRA (PDPLBN)",PDPLBN,2899,0.51 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,39,"BELGICA, GRECO (PDDS)",PDDS,2638,0.46 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,40,"SISON, JOPET (AKSYON)",AKSYON,2613,0.46 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,41,"CABONEGRO, ROY (PLM)",PLM,2460,0.43 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,42,"GUTOC, SAMIRA (AKSYON)",AKSYON,2156,0.38 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,43,"LANGIT, REY (PDPLBN)",PDPLBN,1673,0.29 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,44,"BELLO, SILVESTRE JR. (PDPLBN)",PDPLBN,1573,0.27 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,45,"AFUANG, ABNER (IND)",IND,1334,0.23 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,46,"D'ANGELO, DAVID (PLM)",PLM,1286,0.22 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,47,"BAILEN, AGNES (IND)",IND,1018,0.17 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,48,"OLARTE, ATTY/DR. LEO (BIGKIS)",BIGKIS,856,0.15 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,49,"CHAVEZ, MELCHOR (WPP)",WPP,850,0.15 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,50,"CASTRICIONES, BRO JOHN(PDPLBN)",PDPLBN,558,0.09 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,51,"DIAZ, DING (PPP)",PPP,534,0.09 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,52,"BARBO, LUTZ (PDPLBN)",PDPLBN,477,0.08 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,53,"LIM, ARIEL (IND)",IND,477,0.08 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,54,"ARRANZA, MANG JESS (IND)",IND,454,0.08 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,55,"RICABLANCA, WILLIE JR. (PM)",PM,452,0.07 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,56,"ALBANI, IBRAHIM (WPP)",WPP,442,0.07 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,57,"KIRAM, NUR-MAHAL (IND)",IND,397,0.07 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,58,"FALCONE, BAL FALCON (DPP)",DPP,384,0.06 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,59,"JAVELLANA, RJ (IND)",IND,380,0.06 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,60,"VALEROS, REY (IND)",IND,374,0.06 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,61,"EREÑO, BRO. ERNIE (PM)",PM,373,0.06 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,62,"MINDALANO-ADAM,MARIETA(KTPNAN)",KTPNAN,323,0.05 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,63,"SAHIDULLA, LADY ANNE (PDDS)",PDDS,291,0.05 %
REGION IV-A,LAGUNA,LOS BAÑOS,SENATOR PHILIPPINES,64,"MALLILLIN, EMILY (PPM)",PPM,277,0.04 %
REGION IV-A,LAGUNA,LOS BAÑOS,PROVINCIAL GOVERNOR LAGUNA,1,"HERNANDEZ, RAMIL (PDPLBN)",PDPLBN,34700,59.44 %
REGION IV-A,LAGUNA,LOS BAÑOS,PROVINCIAL GOVERNOR LAGUNA,2,"ARAGONES, SOL (NP)",NP,23291,39.89 %
REGION IV-A,LAGUNA,LOS BAÑOS,PROVINCIAL GOVERNOR LAGUNA,3,"ALBERTO, BERLENE (IND)",IND,385,0.65 %
REGION IV-A,LAGUNA,LOS BAÑOS,PROVINCIAL VICE-GOVERNOR LAGUNA,1,"AGAPAY, KAREN (PDPLBN)",PDPLBN,32991,61.59 %
