region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-A,LAGUNA,PANGIL,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,7403,55.64 %
REGION IV-A,LAGUNA,PANGIL,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,3795,28.52 %
REGION IV-A,LAGUNA,PANGIL,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,1099,8.26 %
REGION IV-A,LAGUNA,PANGIL,PRESIDENT PHILIPPINES,4,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,497,3.73 %
REGION IV-A,LAGUNA,PANGIL,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,415,3.11 %
REGION IV-A,LAGUNA,PANGIL,PRESIDENT PHILIPPINES,6,"GONZALES, NORBERTO (PDSP)",PDSP,28,0.21 %
REGION IV-A,LAGUNA,PANGIL,PRESIDENT PHILIPPINES,7,"ABELLA, ERNIE (IND)",IND,27,0.20 %
REGION IV-A,LAGUNA,PANGIL,PRESIDENT PHILIPPINES,8,"DE GUZMAN, LEODY (PLM)",PLM,23,0.17 %
REGION IV-A,LAGUNA,PANGIL,PRESIDENT PHILIPPINES,9,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,13,0.09 %
REGION IV-A,LAGUNA,PANGIL,PRESIDENT PHILIPPINES,10,"MONTEMAYOR, JOSE JR. (DPP)",DPP,5,0.03 %
REGION IV-A,LAGUNA,PANGIL,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,6213,47.64 %
REGION IV-A,LAGUNA,PANGIL,VICE PRESIDENT PHILIPPINES,2,"SOTTO, VICENTE TITO (NPC)",NPC,3545,27.18 %
REGION IV-A,LAGUNA,PANGIL,VICE PRESIDENT PHILIPPINES,3,"PANGILINAN, KIKO (LP)",LP,2204,16.90 %
REGION IV-A,LAGUNA,PANGIL,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,956,7.33 %
REGION IV-A,LAGUNA,PANGIL,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,46,0.35 %
REGION IV-A,LAGUNA,PANGIL,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,27,0.20 %
REGION IV-A,LAGUNA,PANGIL,VICE PRESIDENT PHILIPPINES,7,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,22,0.16 %
REGION IV-A,LAGUNA,PANGIL,VICE PRESIDENT PHILIPPINES,8,"BELLO, WALDEN (PLM)",PLM,20,0.15 %
REGION IV-A,LAGUNA,PANGIL,VICE PRESIDENT PHILIPPINES,9,"DAVID, RIZALITO (DPP)",DPP,8,0.06 %
REGION IV-A,LAGUNA,PANGIL,SENATOR PHILIPPINES,1,"LEGARDA, LOREN (NPC)",NPC,6538,5.84 %
REGION IV-A,LAGUNA,PANGIL,SENATOR PHILIPPINES,2,"TULFO, IDOL RAFFY (IND)",IND,6137,5.48 %
REGION IV-A,LAGUNA,PANGIL,SENATOR PHILIPPINES,3,"PADILLA, ROBIN (PDPLBN)",PDPLBN,6064,5.42 %
REGION IV-A,LAGUNA,PANGIL,SENATOR PHILIPPINES,4,"ESCUDERO, CHIZ (NPC)",NPC,5634,5.03 %
REGION IV-A,LAGUNA,PANGIL,SENATOR PHILIPPINES,5,"GATCHALIAN, WIN (NPC)",NPC,5627,5.03 %
REGION IV-A,LAGUNA,PANGIL,SENATOR PHILIPPINES,6,"CAYETANO, ALAN PETER (IND)",IND,5005,4.47 %
REGION IV-A,LAGUNA,PANGIL,SENATOR PHILIPPINES,7,"VILLANUEVA,JOEL TESDAMAN (IND)",IND,4852,4.34 %
REGION IV-A,LAGUNA,PANGIL,SENATOR PHILIPPINES,8,"VILLAR, MARK (NP)",NP,4663,4.17 %
REGION IV-A,LAGUNA,PANGIL,SENATOR PHILIPPINES,9,"EJERCITO, JV ESTRADA (NPC)",NPC,4569,4.08 %
REGION IV-A,LAGUNA,PANGIL,SENATOR PHILIPPINES,10,"HONTIVEROS, RISA (AKBAYAN)",AKBAYAN,4247,3.79 %
REGION IV-A,LAGUNA,PANGIL,SENATOR PHILIPPINES,11,"BAUTISTA, HERBERT BISTEK (NPC)",NPC,3853,3.44 %
REGION IV-A,LAGUNA,PANGIL,SENATOR PHILIPPINES,12,"BINAY, JOJO (UNA)",UNA,3824,3.42 %
REGION IV-A,LAGUNA,PANGIL,SENATOR PHILIPPINES,13,"ZUBIRI, MIGZ (IND)",IND,3771,3.37 %
REGION IV-A,LAGUNA,PANGIL,SENATOR PHILIPPINES,14,"ELEAZAR, GEN. GUILLERMO (PDR)",PDR,3745,3.34 %
REGION IV-A,LAGUNA,PANGIL,SENATOR PHILIPPINES,15,"ESTRADA, JINGGOY (PMP)",PMP,3625,3.24 %
REGION IV-A,LAGUNA,PANGIL,SENATOR PHILIPPINES,16,"DIOKNO, CHEL (KANP)",KANP,3124,2.79 %
