region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-A,QUEZON,LUCBAN,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,13946,47.45 %
REGION IV-A,QUEZON,LUCBAN,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,11694,39.79 %
REGION IV-A,QUEZON,LUCBAN,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,1748,5.94 %
REGION IV-A,QUEZON,LUCBAN,PRESIDENT PHILIPPINES,4,"LACSON, PING (PDR)",PDR,953,3.24 %
REGION IV-A,QUEZON,LUCBAN,PRESIDENT PHILIPPINES,5,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,864,2.93 %
REGION IV-A,QUEZON,LUCBAN,PRESIDENT PHILIPPINES,6,"MONTEMAYOR, JOSE JR. (DPP)",DPP,47,0.15 %
REGION IV-A,QUEZON,LUCBAN,PRESIDENT PHILIPPINES,7,"DE GUZMAN, LEODY (PLM)",PLM,41,0.13 %
REGION IV-A,QUEZON,LUCBAN,PRESIDENT PHILIPPINES,8,"GONZALES, NORBERTO (PDSP)",PDSP,39,0.13 %
REGION IV-A,QUEZON,LUCBAN,PRESIDENT PHILIPPINES,9,"ABELLA, ERNIE (IND)",IND,31,0.10 %
REGION IV-A,QUEZON,LUCBAN,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,26,0.08 %
REGION IV-A,QUEZON,LUCBAN,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,12949,44.43 %
REGION IV-A,QUEZON,LUCBAN,VICE PRESIDENT PHILIPPINES,2,"PANGILINAN, KIKO (LP)",LP,8631,29.62 %
REGION IV-A,QUEZON,LUCBAN,VICE PRESIDENT PHILIPPINES,3,"SOTTO, VICENTE TITO (NPC)",NPC,5729,19.66 %
REGION IV-A,QUEZON,LUCBAN,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,1642,5.63 %
REGION IV-A,QUEZON,LUCBAN,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,68,0.23 %
REGION IV-A,QUEZON,LUCBAN,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,39,0.13 %
REGION IV-A,QUEZON,LUCBAN,VICE PRESIDENT PHILIPPINES,7,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,32,0.10 %
REGION IV-A,QUEZON,LUCBAN,VICE PRESIDENT PHILIPPINES,8,"DAVID, RIZALITO (DPP)",DPP,27,0.09 %
REGION IV-A,QUEZON,LUCBAN,VICE PRESIDENT PHILIPPINES,9,"BELLO, WALDEN (PLM)",PLM,22,0.07 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,1,"LEGARDA, LOREN (NPC)",NPC,15716,5.63 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,2,"ESCUDERO, CHIZ (NPC)",NPC,14266,5.11 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,3,"ELEAZAR, GEN. GUILLERMO (PDR)",PDR,13367,4.79 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,4,"TULFO, IDOL RAFFY (IND)",IND,13236,4.74 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,5,"PADILLA, ROBIN (PDPLBN)",PDPLBN,12975,4.65 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,6,"CAYETANO, ALAN PETER (IND)",IND,12674,4.54 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,7,"VILLANUEVA,JOEL TESDAMAN (IND)",IND,12662,4.54 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,8,"GATCHALIAN, WIN (NPC)",NPC,12550,4.50 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,9,"HONTIVEROS, RISA (AKBAYAN)",AKBAYAN,12415,4.45 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,10,"VILLAR, MARK (NP)",NP,11029,3.95 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,11,"DIOKNO, CHEL (KANP)",KANP,10693,3.83 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,12,"ZUBIRI, MIGZ (IND)",IND,10022,3.59 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,13,"EJERCITO, JV ESTRADA (NPC)",NPC,8313,2.98 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,14,"BAUTISTA, HERBERT BISTEK (NPC)",NPC,7982,2.86 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,15,"BINAY, JOJO (UNA)",UNA,7489,2.68 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,16,"TEODORO, GIBO (PRP)",PRP,7238,2.59 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,17,"TRILLANES, ANTONIO IV (LP)",LP,6789,2.43 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,18,"ESTRADA, JINGGOY (PMP)",PMP,6777,2.43 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,19,"COLMENARES, NERI (MKBYN)",MKBYN,6216,2.22 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,20,"GORDON, WOW DICK (BVNP)",BVNP,5907,2.11 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,21,"DE LIMA, LEILA (LP)",LP,5709,2.04 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,22,"ROQUE, HARRY SPOX (PRP)",PRP,5237,1.87 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,23,"HONASAN, GRINGO (IND)",IND,5223,1.87 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,24,"GADON, LARRY (KBL)",KBL,4824,1.73 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,25,"LACSON, KUYA ALEX (KP)",KP,4481,1.60 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,26,"BAGUILAT, TEDDY (LP)",LP,4287,1.53 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,27,"ESPIRITU, LUKE (PLM)",PLM,4258,1.52 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,28,"MATULA, SONNY (IND)",IND,3207,1.15 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,29,"BALITA, CARL (AKSYON)",AKSYON,2774,0.99 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,30,"SISON, JOPET (AKSYON)",AKSYON,2333,0.83 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,31,"PADILLA, DRA. MINGUITA (PDR)",PDR,2261,0.81 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,32,"MARCOS, FRANCIS LEO (IND)",IND,2231,0.80 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,33,"BELGICA, GRECO (PDDS)",PDDS,2172,0.77 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,34,"PANELO, SAL PANALO (PDPLBN)",PDPLBN,2028,0.72 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,35,"ZUBIAGA, CARMEN (IND)",IND,1959,0.70 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,36,"LABOG, ELMER (MKBYN)",MKBYN,1955,0.70 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,37,"DEL ROSARIO, MONSOUR (PDR)",PDR,1839,0.65 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,38,"MARCOLETA, RODANTE (PDPLBN)",PDPLBN,1590,0.57 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,39,"PIÑOL, MANNY (NPC)",NPC,1408,0.50 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,40,"PIMENTEL, ASTRA (PDPLBN)",PDPLBN,1355,0.48 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,41,"GUTOC, SAMIRA (AKSYON)",AKSYON,963,0.34 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,42,"LANGIT, REY (PDPLBN)",PDPLBN,958,0.34 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,43,"CABONEGRO, ROY (PLM)",PLM,915,0.32 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,44,"BELLO, SILVESTRE JR. (PDPLBN)",PDPLBN,759,0.27 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,45,"D'ANGELO, DAVID (PLM)",PLM,603,0.21 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,46,"AFUANG, ABNER (IND)",IND,574,0.20 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,47,"OLARTE, ATTY/DR. LEO (BIGKIS)",BIGKIS,496,0.17 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,48,"LIM, ARIEL (IND)",IND,440,0.15 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,49,"BAILEN, AGNES (IND)",IND,436,0.15 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,50,"CHAVEZ, MELCHOR (WPP)",WPP,420,0.15 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,51,"CASTRICIONES, BRO JOHN(PDPLBN)",PDPLBN,282,0.10 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,52,"BARBO, LUTZ (PDPLBN)",PDPLBN,244,0.08 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,53,"DIAZ, DING (PPP)",PPP,234,0.08 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,54,"KIRAM, NUR-MAHAL (IND)",IND,233,0.08 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,55,"ARRANZA, MANG JESS (IND)",IND,228,0.08 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,56,"ALBANI, IBRAHIM (WPP)",WPP,210,0.07 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,57,"RICABLANCA, WILLIE JR. (PM)",PM,209,0.07 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,58,"EREÑO, BRO. ERNIE (PM)",PM,185,0.06 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,59,"FALCONE, BAL FALCON (DPP)",DPP,179,0.06 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,60,"JAVELLANA, RJ (IND)",IND,179,0.06 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,61,"MINDALANO-ADAM,MARIETA(KTPNAN)",KTPNAN,174,0.06 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,62,"VALEROS, REY (IND)",IND,169,0.06 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,63,"SAHIDULLA, LADY ANNE (PDDS)",PDDS,145,0.05 %
REGION IV-A,QUEZON,LUCBAN,SENATOR PHILIPPINES,64,"MALLILLIN, EMILY (PPM)",PPM,144,0.05 %
REGION IV-A,QUEZON,LUCBAN,PROVINCIAL GOVERNOR QUEZON,1,"TAN, DOKTORA HELEN (NPC)",NPC,18614,65.90 %
REGION IV-A,QUEZON,LUCBAN,PROVINCIAL GOVERNOR QUEZON,2,"SUAREZ, DANNY (LAKAS)",LAKAS,8562,30.31 %
REGION IV-A,QUEZON,LUCBAN,PROVINCIAL GOVERNOR QUEZON,3,"TAN, ANGELITA (KBL)",KBL,267,0.94 %
REGION IV-A,QUEZON,LUCBAN,PROVINCIAL GOVERNOR QUEZON,4,"TAN, AESON (IND)",IND,245,0.86 %
REGION IV-A,QUEZON,LUCBAN,PROVINCIAL GOVERNOR QUEZON,5,"SUAREZ, ANNY (PRP)",PRP,221,0.78 %
REGION IV-A,QUEZON,LUCBAN,PROVINCIAL GOVERNOR QUEZON,6,"SIO, WARREN (IND)",IND,194,0.68 %
REGION IV-A,QUEZON,LUCBAN,PROVINCIAL GOVERNOR QUEZON,7,"SUAREZ, ROMY (IND)",IND,142,0.50 %
REGION IV-A,QUEZON,LUCBAN,PROVINCIAL VICE-GOVERNOR QUEZON,1,"ALCALA, THIRD (NPC)",NPC,13129,48.94 %
REGION IV-A,QUEZON,LUCBAN,PROVINCIAL VICE-GOVERNOR QUEZON,2,"NANTES, BETTY (LAKAS)",LAKAS,9214,34.34 %
REGION IV-A,QUEZON,LUCBAN,PROVINCIAL VICE-GOVERNOR QUEZON,3,"VILLAMAYOR-OBISPO, ALONA (KBL)",KBL,4138,15.42 %
REGION IV-A,QUEZON,LUCBAN,PROVINCIAL VICE-GOVERNOR QUEZON,4,"LAVIDES, PERLITA (IND)",IND,236,0.87 %
REGION IV-A,QUEZON,LUCBAN,PROVINCIAL VICE-GOVERNOR QUEZON,5,"CAPINA, TEODORICO (IND)",IND,109,0.40 %
REGION IV-A,QUEZON,LUCBAN,"MEMBER, SANGGUNIANG PANLALAWIGAN QUEZON - FIRST PROVDIST",1,"VILLASEÑOR, YAYIN (LAKAS)",LAKAS,13622,33.80 %
REGION IV-A,QUEZON,LUCBAN,"MEMBER, SANGGUNIANG PANLALAWIGAN QUEZON - FIRST PROVDIST",2,"TALAGA, JERRY (NPC)",NPC,12222,30.32 %
REGION IV-A,QUEZON,LUCBAN,"MEMBER, SANGGUNIANG PANLALAWIGAN QUEZON - FIRST PROVDIST",3,"LUCES, JULIUS STAN (NPC)",NPC,6862,17.02 %
REGION IV-A,QUEZON,LUCBAN,"MEMBER, SANGGUNIANG PANLALAWIGAN QUEZON - FIRST PROVDIST",4,"PORTES, WACQUI KELLY (AKSYON)",AKSYON,3053,7.57 %
REGION IV-A,QUEZON,LUCBAN,"MEMBER, SANGGUNIANG PANLALAWIGAN QUEZON - FIRST PROVDIST",5,"LLAMAS, FERDINAND II (LAKAS)",LAKAS,2767,6.86 %
REGION IV-A,QUEZON,LUCBAN,"MEMBER, SANGGUNIANG PANLALAWIGAN QUEZON - FIRST PROVDIST",6,"SANTELICES, JOSELITO (IND)",IND,1775,4.40 %
