region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-B,PALAWAN,QUEZON,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,12032,39.67 %
REGION IV-B,PALAWAN,QUEZON,PRESIDENT PHILIPPINES,2,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,11897,39.22 %
REGION IV-B,PALAWAN,QUEZON,PRESIDENT PHILIPPINES,3,"ROBREDO, LENI (IND)",IND,4515,14.88 %
REGION IV-B,PALAWAN,QUEZON,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,921,3.03 %
REGION IV-B,PALAWAN,QUEZON,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,473,1.55 %
REGION IV-B,PALAWAN,QUEZON,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,145,0.47 %
REGION IV-B,PALAWAN,QUEZON,PRESIDENT PHILIPPINES,7,"ABELLA, ERNIE (IND)",IND,117,0.38 %
REGION IV-B,PALAWAN,QUEZON,PRESIDENT PHILIPPINES,8,"GONZALES, NORBERTO (PDSP)",PDSP,86,0.28 %
REGION IV-B,PALAWAN,QUEZON,PRESIDENT PHILIPPINES,9,"MONTEMAYOR, JOSE JR. (DPP)",DPP,75,0.24 %
REGION IV-B,PALAWAN,QUEZON,PRESIDENT PHILIPPINES,10,"DE GUZMAN, LEODY (PLM)",PLM,67,0.22 %
REGION IV-B,PALAWAN,QUEZON,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,12859,44.94 %
REGION IV-B,PALAWAN,QUEZON,VICE PRESIDENT PHILIPPINES,2,"SOTTO, VICENTE TITO (NPC)",NPC,7305,25.53 %
REGION IV-B,PALAWAN,QUEZON,VICE PRESIDENT PHILIPPINES,3,"PANGILINAN, KIKO (LP)",LP,5820,20.34 %
REGION IV-B,PALAWAN,QUEZON,VICE PRESIDENT PHILIPPINES,4,"ATIENZA, LITO (PROMDI)",PROMDI,875,3.05 %
REGION IV-B,PALAWAN,QUEZON,VICE PRESIDENT PHILIPPINES,5,"ONG, DOC WILLIE (AKSYON)",AKSYON,852,2.97 %
REGION IV-B,PALAWAN,QUEZON,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,463,1.61 %
