region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-B,ROMBLON,SAN JOSE,PRESIDENT PHILIPPINES,1,"ROBREDO, LENI (IND)",IND,2843,47.98 %
REGION IV-B,ROMBLON,SAN JOSE,PRESIDENT PHILIPPINES,2,"MARCOS, BONGBONG (PFP)",PFP,2175,36.70 %
REGION IV-B,ROMBLON,SAN JOSE,PRESIDENT PHILIPPINES,3,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,455,7.67 %
REGION IV-B,ROMBLON,SAN JOSE,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,333,5.62 %
REGION IV-B,ROMBLON,SAN JOSE,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,90,1.51 %
REGION IV-B,ROMBLON,SAN JOSE,PRESIDENT PHILIPPINES,6,"ABELLA, ERNIE (IND)",IND,10,0.16 %
REGION IV-B,ROMBLON,SAN JOSE,PRESIDENT PHILIPPINES,7,"MONTEMAYOR, JOSE JR. (DPP)",DPP,7,0.11 %
REGION IV-B,ROMBLON,SAN JOSE,PRESIDENT PHILIPPINES,8,"GONZALES, NORBERTO (PDSP)",PDSP,6,0.10 %
REGION IV-B,ROMBLON,SAN JOSE,PRESIDENT PHILIPPINES,9,"DE GUZMAN, LEODY (PLM)",PLM,4,0.06 %
REGION IV-B,ROMBLON,SAN JOSE,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,2,0.03 %
REGION IV-B,ROMBLON,SAN JOSE,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,1855,34.19 %
REGION IV-B,ROMBLON,SAN JOSE,VICE PRESIDENT PHILIPPINES,2,"SOTTO, VICENTE TITO (NPC)",NPC,1763,32.50 %
REGION IV-B,ROMBLON,SAN JOSE,VICE PRESIDENT PHILIPPINES,3,"PANGILINAN, KIKO (LP)",LP,1527,28.15 %
REGION IV-B,ROMBLON,SAN JOSE,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,215,3.96 %
REGION IV-B,ROMBLON,SAN JOSE,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,25,0.46 %
REGION IV-B,ROMBLON,SAN JOSE,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,14,0.25 %
REGION IV-B,ROMBLON,SAN JOSE,VICE PRESIDENT PHILIPPINES,7,"BELLO, WALDEN (PLM)",PLM,13,0.23 %
REGION IV-B,ROMBLON,SAN JOSE,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,10,0.18 %
REGION IV-B,ROMBLON,SAN JOSE,VICE PRESIDENT PHILIPPINES,9,"DAVID, RIZALITO (DPP)",DPP,2,0.03 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,1,"TULFO, IDOL RAFFY (IND)",IND,2574,6.89 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,2,"LEGARDA, LOREN (NPC)",NPC,2539,6.80 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,3,"PADILLA, ROBIN (PDPLBN)",PDPLBN,2385,6.39 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,4,"BINAY, JOJO (UNA)",UNA,1984,5.31 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,5,"GATCHALIAN, WIN (NPC)",NPC,1923,5.15 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,6,"CAYETANO, ALAN PETER (IND)",IND,1918,5.14 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,7,"ESCUDERO, CHIZ (NPC)",NPC,1810,4.85 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,8,"VILLANUEVA,JOEL TESDAMAN (IND)",IND,1789,4.79 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,9,"VILLAR, MARK (NP)",NP,1756,4.70 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,10,"ESTRADA, JINGGOY (PMP)",PMP,1748,4.68 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,11,"HONTIVEROS, RISA (AKBAYAN)",AKBAYAN,1492,3.99 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,12,"ZUBIRI, MIGZ (IND)",IND,1452,3.89 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,13,"EJERCITO, JV ESTRADA (NPC)",NPC,1308,3.50 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,14,"HONASAN, GRINGO (IND)",IND,1076,2.88 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,15,"BAUTISTA, HERBERT BISTEK (NPC)",NPC,972,2.60 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,16,"TRILLANES, ANTONIO IV (LP)",LP,952,2.55 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,17,"GORDON, WOW DICK (BVNP)",BVNP,875,2.34 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,18,"DE LIMA, LEILA (LP)",LP,770,2.06 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,19,"ELEAZAR, GEN. GUILLERMO (PDR)",PDR,678,1.81 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,20,"ROQUE, HARRY SPOX (PRP)",PRP,674,1.80 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,21,"DIOKNO, CHEL (KANP)",KANP,589,1.57 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,22,"GADON, LARRY (KBL)",KBL,512,1.37 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,23,"LACSON, KUYA ALEX (KP)",KP,474,1.27 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,24,"DEL ROSARIO, MONSOUR (PDR)",PDR,436,1.16 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,25,"TEODORO, GIBO (PRP)",PRP,420,1.12 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,26,"BALITA, CARL (AKSYON)",AKSYON,389,1.04 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,27,"COLMENARES, NERI (MKBYN)",MKBYN,294,0.78 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,28,"MARCOS, FRANCIS LEO (IND)",IND,291,0.78 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,29,"PADILLA, DRA. MINGUITA (PDR)",PDR,235,0.62 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,30,"PIMENTEL, ASTRA (PDPLBN)",PDPLBN,228,0.61 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,31,"PANELO, SAL PANALO (PDPLBN)",PDPLBN,221,0.59 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,32,"SISON, JOPET (AKSYON)",AKSYON,166,0.44 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,33,"BAGUILAT, TEDDY (LP)",LP,158,0.42 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,34,"ESPIRITU, LUKE (PLM)",PLM,153,0.41 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,35,"MARCOLETA, RODANTE (PDPLBN)",PDPLBN,153,0.41 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,36,"LANGIT, REY (PDPLBN)",PDPLBN,150,0.40 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,37,"PIÑOL, MANNY (NPC)",NPC,147,0.39 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,38,"BELLO, SILVESTRE JR. (PDPLBN)",PDPLBN,116,0.31 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,39,"MATULA, SONNY (IND)",IND,103,0.27 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,40,"BELGICA, GRECO (PDDS)",PDDS,97,0.26 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,41,"CHAVEZ, MELCHOR (WPP)",WPP,90,0.24 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,42,"AFUANG, ABNER (IND)",IND,89,0.23 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,43,"OLARTE, ATTY/DR. LEO (BIGKIS)",BIGKIS,75,0.20 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,44,"GUTOC, SAMIRA (AKSYON)",AKSYON,72,0.19 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,45,"LABOG, ELMER (MKBYN)",MKBYN,68,0.18 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,46,"ZUBIAGA, CARMEN (IND)",IND,66,0.17 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,47,"DIAZ, DING (PPP)",PPP,63,0.16 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,48,"RICABLANCA, WILLIE JR. (PM)",PM,62,0.16 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,49,"BAILEN, AGNES (IND)",IND,60,0.16 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,50,"ALBANI, IBRAHIM (WPP)",WPP,57,0.15 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,51,"ARRANZA, MANG JESS (IND)",IND,55,0.14 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,52,"EREÑO, BRO. ERNIE (PM)",PM,55,0.14 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,53,"CABONEGRO, ROY (PLM)",PLM,54,0.14 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,54,"KIRAM, NUR-MAHAL (IND)",IND,47,0.12 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,55,"MALLILLIN, EMILY (PPM)",PPM,47,0.12 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,56,"LIM, ARIEL (IND)",IND,46,0.12 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,57,"JAVELLANA, RJ (IND)",IND,43,0.11 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,58,"BARBO, LUTZ (PDPLBN)",PDPLBN,42,0.11 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,59,"CASTRICIONES, BRO JOHN(PDPLBN)",PDPLBN,42,0.11 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,60,"MINDALANO-ADAM,MARIETA(KTPNAN)",KTPNAN,40,0.10 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,61,"FALCONE, BAL FALCON (DPP)",DPP,38,0.10 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,62,"D'ANGELO, DAVID (PLM)",PLM,35,0.09 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,63,"VALEROS, REY (IND)",IND,29,0.07 %
REGION IV-B,ROMBLON,SAN JOSE,SENATOR PHILIPPINES,64,"SAHIDULLA, LADY ANNE (PDDS)",PDDS,25,0.06 %
REGION IV-B,ROMBLON,SAN JOSE,PROVINCIAL GOVERNOR ROMBLON,1,"RIANO, OTIK (PDPLBN)",PDPLBN,2552,50.27 %
REGION IV-B,ROMBLON,SAN JOSE,PROVINCIAL GOVERNOR ROMBLON,2,"FIRMALO, LOLONG (LP)",LP,2524,49.72 %
REGION IV-B,ROMBLON,SAN JOSE,PROVINCIAL VICE-GOVERNOR ROMBLON,1,"YLAGAN, DONGDONG (AKSYON)",AKSYON,2540,57.77 %
REGION IV-B,ROMBLON,SAN JOSE,PROVINCIAL VICE-GOVERNOR ROMBLON,2,"GUTIERREZ, ARMING (PDPLBN)",PDPLBN,1856,42.22 %
REGION IV-B,ROMBLON,SAN JOSE,"MEMBER, SANGGUNIANG PANLALAWIGAN ROMBLON - SECOND PROVDIST",1,"BELTRAN, JOJO (NP)",NP,2696,21.25 %
REGION IV-B,ROMBLON,SAN JOSE,"MEMBER, SANGGUNIANG PANLALAWIGAN ROMBLON - SECOND PROVDIST",2,"DORADO, FRED (NP)",NP,2558,20.16 %
REGION IV-B,ROMBLON,SAN JOSE,"MEMBER, SANGGUNIANG PANLALAWIGAN ROMBLON - SECOND PROVDIST",3,"SOLIS, DJ BING (PDPLBN)",PDPLBN,1907,15.03 %
REGION IV-B,ROMBLON,SAN JOSE,"MEMBER, SANGGUNIANG PANLALAWIGAN ROMBLON - SECOND PROVDIST",4,"MARAVILLA, DOC BOY (NP)",NP,1738,13.70 %
REGION IV-B,ROMBLON,SAN JOSE,"MEMBER, SANGGUNIANG PANLALAWIGAN ROMBLON - SECOND PROVDIST",5,"MADRID, JOSE (AKSYON)",AKSYON,1599,12.60 %
REGION IV-B,ROMBLON,SAN JOSE,"MEMBER, SANGGUNIANG PANLALAWIGAN ROMBLON - SECOND PROVDIST",6,"FORTALEZA, WILSON (LP)",LP,926,7.29 %
REGION IV-B,ROMBLON,SAN JOSE,"MEMBER, SANGGUNIANG PANLALAWIGAN ROMBLON - SECOND PROVDIST",7,"MACALISANG, TONY (LP)",LP,657,5.17 %
