region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-A,LAGUNA,ALAMINOS,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,51,0.18 %
REGION IV-A,LAGUNA,ALAMINOS,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,75,0.26 %
REGION IV-A,LAGUNA,ALAMINOS,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,1096,3.94 %
REGION IV-A,LAGUNA,ALAMINOS,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,37,0.13 %
REGION IV-A,LAGUNA,ALAMINOS,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,769,2.76 %
REGION IV-A,LAGUNA,ALAMINOS,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,15,0.05 %
REGION IV-A,LAGUNA,ALAMINOS,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,14624,52.57 %
REGION IV-A,LAGUNA,ALAMINOS,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,100,0.36 %
REGION IV-A,LAGUNA,ALAMINOS,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,45,0.16 %
REGION IV-A,LAGUNA,ALAMINOS,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,25,0.09 %
REGION IV-A,LAGUNA,ALAMINOS,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,12786,47.16 %
REGION IV-A,LAGUNA,ALAMINOS,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,49,0.18 %
REGION IV-A,LAGUNA,ALAMINOS,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,1593,5.87 %
REGION IV-A,LAGUNA,ALAMINOS,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,6132,22.62 %
REGION IV-A,LAGUNA,ALAMINOS,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,29,0.10 %
REGION IV-A,LAGUNA,ALAMINOS,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,6349,23.42 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,802,0.36 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,244,0.11 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,190,0.08 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,2242,1.02 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,349,0.15 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,1828,0.83 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,218,0.09 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,6640,3.02 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,1082,0.49 %
