region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-A,QUEZON,GENERAL NAKAR,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,92,0.45 %
REGION IV-A,QUEZON,GENERAL NAKAR,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,78,0.38 %
REGION IV-A,QUEZON,GENERAL NAKAR,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,620,3.07 %
REGION IV-A,QUEZON,GENERAL NAKAR,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,40,0.19 %
REGION IV-A,QUEZON,GENERAL NAKAR,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,294,1.45 %
REGION IV-A,QUEZON,GENERAL NAKAR,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,18,0.08 %
REGION IV-A,QUEZON,GENERAL NAKAR,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,8925,44.20 %
REGION IV-A,QUEZON,GENERAL NAKAR,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,182,0.94 %
REGION IV-A,QUEZON,GENERAL NAKAR,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,78,0.40 %
REGION IV-A,QUEZON,GENERAL NAKAR,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,75,0.38 %
REGION IV-A,QUEZON,GENERAL NAKAR,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,6890,35.74 %
REGION IV-A,QUEZON,GENERAL NAKAR,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,115,0.59 %
REGION IV-A,QUEZON,GENERAL NAKAR,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,947,4.91 %
REGION IV-A,QUEZON,GENERAL NAKAR,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,6288,32.62 %
REGION IV-A,QUEZON,GENERAL NAKAR,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,63,0.32 %
REGION IV-A,QUEZON,GENERAL NAKAR,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,4637,24.05 %
REGION IV-A,QUEZON,GENERAL NAKAR,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,460,0.34 %
REGION IV-A,QUEZON,GENERAL NAKAR,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,280,0.21 %
REGION IV-A,QUEZON,GENERAL NAKAR,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,225,0.16 %
REGION IV-A,QUEZON,GENERAL NAKAR,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,1404,1.05 %
REGION IV-A,QUEZON,GENERAL NAKAR,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,267,0.20 %
REGION IV-A,QUEZON,GENERAL NAKAR,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,987,0.74 %
REGION IV-A,QUEZON,GENERAL NAKAR,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,232,0.17 %
REGION IV-A,QUEZON,GENERAL NAKAR,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,3654,2.74 %
REGION IV-A,QUEZON,GENERAL NAKAR,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,506,0.38 %
REGION IV-A,QUEZON,GENERAL NAKAR,SENATOR PHILIPPINES,10,"BELLO, SILVESTRE JR.",PDPLBN,396,0.29 %
REGION IV-A,QUEZON,GENERAL NAKAR,SENATOR PHILIPPINES,11,"BINAY, JOJO",UNA,5245,3.94 %
REGION IV-A,QUEZON,GENERAL NAKAR,SENATOR PHILIPPINES,12,"CABONEGRO, ROY",PLM,211,0.15 %
REGION IV-A,QUEZON,GENERAL NAKAR,SENATOR PHILIPPINES,13,"CASTRICIONES, BRO JOHN",PDPLBN,153,0.11 %
REGION IV-A,QUEZON,GENERAL NAKAR,SENATOR PHILIPPINES,14,"CAYETANO, ALAN PETER",IND,6201,4.66 %
REGION IV-A,QUEZON,GENERAL NAKAR,SENATOR PHILIPPINES,15,"CHAVEZ, MELCHOR",WPP,404,0.30 %
REGION IV-A,QUEZON,GENERAL NAKAR,SENATOR PHILIPPINES,16,"COLMENARES, NERI",MKBYN,1677,1.26 %
