region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-A,RIZAL,MORONG,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,28,0.07 %
REGION IV-A,RIZAL,MORONG,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,71,0.20 %
REGION IV-A,RIZAL,MORONG,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,1569,4.45 %
REGION IV-A,RIZAL,MORONG,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,39,0.11 %
REGION IV-A,RIZAL,MORONG,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,951,2.70 %
REGION IV-A,RIZAL,MORONG,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,24,0.06 %
REGION IV-A,RIZAL,MORONG,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,21349,60.64 %
REGION IV-A,RIZAL,MORONG,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,70,0.20 %
REGION IV-A,RIZAL,MORONG,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,44,0.12 %
REGION IV-A,RIZAL,MORONG,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,15,0.04 %
REGION IV-A,RIZAL,MORONG,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,17466,50.19 %
REGION IV-A,RIZAL,MORONG,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,49,0.14 %
REGION IV-A,RIZAL,MORONG,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,1874,5.38 %
REGION IV-A,RIZAL,MORONG,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,5976,17.17 %
REGION IV-A,RIZAL,MORONG,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,48,0.13 %
REGION IV-A,RIZAL,MORONG,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,9253,26.59 %
REGION IV-A,RIZAL,MORONG,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,925,0.28 %
REGION IV-A,RIZAL,MORONG,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,324,0.10 %
REGION IV-A,RIZAL,MORONG,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,337,0.10 %
REGION IV-A,RIZAL,MORONG,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,2863,0.88 %
REGION IV-A,RIZAL,MORONG,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,406,0.12 %
REGION IV-A,RIZAL,MORONG,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,2685,0.83 %
REGION IV-A,RIZAL,MORONG,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,308,0.09 %
