region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-B,ORIENTAL MINDORO,ROXAS,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,39,0.12 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,63,0.20 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,1931,6.16 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,31,0.09 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,528,1.68 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,13,0.04 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,16524,52.75 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,179,0.58 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,33,0.10 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,23,0.07 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,15422,50.31 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,101,0.32 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,1095,3.57 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,5798,18.91 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,37,0.12 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,7964,25.98 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,434,0.16 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,295,0.11 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,222,0.08 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,3203,1.20 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,258,0.09 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,5870,2.21 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,407,0.15 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,7292,2.75 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,1156,0.43 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,10,"BELLO, SILVESTRE JR.",PDPLBN,925,0.34 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,11,"BINAY, JOJO",UNA,11688,4.41 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,12,"CABONEGRO, ROY",PLM,285,0.10 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,13,"CASTRICIONES, BRO JOHN",PDPLBN,472,0.17 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,14,"CAYETANO, ALAN PETER",IND,12476,4.70 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,15,"CHAVEZ, MELCHOR",WPP,489,0.18 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,16,"COLMENARES, NERI",MKBYN,2647,0.99 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,17,"D'ANGELO, DAVID",PLM,248,0.09 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,18,"DE LIMA, LEILA",LP,4949,1.86 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,19,"DEL ROSARIO, MONSOUR",PDR,2446,0.92 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,20,"DIAZ, DING",PPP,283,0.10 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,21,"DIOKNO, CHEL",KANP,5015,1.89 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,22,"EJERCITO, JV ESTRADA",NPC,9375,3.53 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,23,"ELEAZAR, GEN. GUILLERMO",PDR,6641,2.50 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,24,"EREÑO, BRO. ERNIE",PM,186,0.07 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,25,"ESCUDERO, CHIZ",NPC,12232,4.61 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,26,"ESPIRITU, LUKE",PLM,1382,0.52 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,27,"ESTRADA, JINGGOY",PMP,10497,3.96 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,28,"FALCONE, BAL FALCON",DPP,542,0.20 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,29,"GADON, LARRY",KBL,8343,3.14 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,30,"GATCHALIAN, WIN",NPC,11683,4.40 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,31,"GORDON, WOW DICK",BVNP,4805,1.81 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,32,"GUTOC, SAMIRA",AKSYON,867,0.32 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,33,"HONASAN, GRINGO",IND,7287,2.74 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,34,"HONTIVEROS, RISA",AKBAYAN,9769,3.68 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,35,"JAVELLANA, RJ",IND,240,0.09 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,36,"KIRAM, NUR-MAHAL",IND,180,0.06 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,37,"LABOG, ELMER",MKBYN,456,0.17 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,38,"LACSON, KUYA ALEX",KP,3008,1.13 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,39,"LANGIT, REY",PDPLBN,1260,0.47 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,40,"LEGARDA, LOREN",NPC,16343,6.16 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,41,"LIM, ARIEL",IND,204,0.07 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,42,"MALLILLIN, EMILY",PPM,178,0.06 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,43,"MARCOLETA, RODANTE",PDPLBN,1413,0.53 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,44,"MARCOS, FRANCIS LEO",IND,2562,0.96 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,45,"MATULA, SONNY",IND,937,0.35 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,46,"MINDALANO-ADAM,MARIETA",KTPNAN,164,0.06 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,47,"OLARTE, ATTY/DR. LEO",BIGKIS,725,0.27 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,48,"PADILLA, DRA. MINGUITA",PDR,1632,0.61 %
REGION IV-B,ORIENTAL MINDORO,ROXAS,SENATOR PHILIPPINES,49,"PADILLA, ROBIN",PDPLBN,17165,6.47 %
