region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-B,ROMBLON,ROMBLON,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,43,0.19 %
REGION IV-B,ROMBLON,ROMBLON,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,68,0.31 %
REGION IV-B,ROMBLON,ROMBLON,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,2577,11.78 %
REGION IV-B,ROMBLON,ROMBLON,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,40,0.18 %
REGION IV-B,ROMBLON,ROMBLON,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,1819,8.31 %
REGION IV-B,ROMBLON,ROMBLON,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,18,0.08 %
REGION IV-B,ROMBLON,ROMBLON,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,8095,37.01 %
REGION IV-B,ROMBLON,ROMBLON,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,89,0.41 %
REGION IV-B,ROMBLON,ROMBLON,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,39,0.18 %
REGION IV-B,ROMBLON,ROMBLON,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,13,0.06 %
REGION IV-B,ROMBLON,ROMBLON,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,7196,33.70 %
REGION IV-B,ROMBLON,ROMBLON,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,55,0.25 %
REGION IV-B,ROMBLON,ROMBLON,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,925,4.33 %
REGION IV-B,ROMBLON,ROMBLON,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,3441,16.11 %
REGION IV-B,ROMBLON,ROMBLON,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,30,0.14 %
REGION IV-B,ROMBLON,ROMBLON,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,9559,44.77 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,354,0.21 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,219,0.13 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,160,0.09 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,950,0.56 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,232,0.13 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,1721,1.02 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,179,0.10 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,3578,2.13 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,545,0.32 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,10,"BELLO, SILVESTRE JR.",PDPLBN,399,0.23 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,11,"BINAY, JOJO",UNA,5575,3.32 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,12,"CABONEGRO, ROY",PLM,221,0.13 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,13,"CASTRICIONES, BRO JOHN",PDPLBN,157,0.09 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,14,"CAYETANO, ALAN PETER",IND,8858,5.28 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,15,"CHAVEZ, MELCHOR",WPP,367,0.21 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,16,"COLMENARES, NERI",MKBYN,1869,1.11 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,17,"D'ANGELO, DAVID",PLM,216,0.12 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,18,"DE LIMA, LEILA",LP,3195,1.90 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,19,"DEL ROSARIO, MONSOUR",PDR,1617,0.96 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,20,"DIAZ, DING",PPP,193,0.11 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,21,"DIOKNO, CHEL",KANP,3669,2.19 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,22,"EJERCITO, JV ESTRADA",NPC,5700,3.40 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,23,"ELEAZAR, GEN. GUILLERMO",PDR,5609,3.34 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,24,"EREÑO, BRO. ERNIE",PM,182,0.10 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,25,"ESCUDERO, CHIZ",NPC,8881,5.30 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,26,"ESPIRITU, LUKE",PLM,1010,0.60 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,27,"ESTRADA, JINGGOY",PMP,6613,3.94 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,28,"FALCONE, BAL FALCON",DPP,147,0.08 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,29,"GADON, LARRY",KBL,2434,1.45 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,30,"GATCHALIAN, WIN",NPC,10620,6.34 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,31,"GORDON, WOW DICK",BVNP,4287,2.55 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,32,"GUTOC, SAMIRA",AKSYON,456,0.27 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,33,"HONASAN, GRINGO",IND,5440,3.24 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,34,"HONTIVEROS, RISA",AKBAYAN,6468,3.86 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,35,"JAVELLANA, RJ",IND,160,0.09 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,36,"KIRAM, NUR-MAHAL",IND,149,0.08 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,37,"LABOG, ELMER",MKBYN,390,0.23 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,38,"LACSON, KUYA ALEX",KP,2059,1.22 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,39,"LANGIT, REY",PDPLBN,551,0.32 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,40,"LEGARDA, LOREN",NPC,10060,6.00 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,41,"LIM, ARIEL",IND,208,0.12 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,42,"MALLILLIN, EMILY",PPM,134,0.08 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,43,"MARCOLETA, RODANTE",PDPLBN,567,0.33 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,44,"MARCOS, FRANCIS LEO",IND,1087,0.64 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,45,"MATULA, SONNY",IND,596,0.35 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,46,"MINDALANO-ADAM,MARIETA",KTPNAN,125,0.07 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,47,"OLARTE, ATTY/DR. LEO",BIGKIS,257,0.15 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,48,"PADILLA, DRA. MINGUITA",PDR,879,0.52 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,49,"PADILLA, ROBIN",PDPLBN,8714,5.20 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,50,"PANELO, SAL PANALO",PDPLBN,1042,0.62 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,51,"PIMENTEL, ASTRA",PDPLBN,974,0.58 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,52,"PIÑOL, MANNY",NPC,1234,0.73 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,53,"RICABLANCA, WILLIE JR.",PM,201,0.12 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,54,"ROQUE, HARRY SPOX",PRP,3895,2.32 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,55,"SAHIDULLA, LADY ANNE",PDDS,115,0.06 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,56,"SISON, JOPET",AKSYON,867,0.51 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,57,"TEODORO, GIBO",PRP,2445,1.45 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,58,"TRILLANES, ANTONIO IV",LP,4165,2.48 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,59,"TULFO, IDOL RAFFY",IND,10754,6.42 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,60,"VALEROS, REY",IND,133,0.07 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,61,"VILLANUEVA,JOEL TESDAMAN",IND,7506,4.48 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,62,"VILLAR, MARK",NP,9077,5.42 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,63,"ZUBIAGA, CARMEN",IND,374,0.22 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,64,"ZUBIRI, MIGZ",IND,6631,3.95 %
REGION IV-B,ROMBLON,ROMBLON,SENATOR PHILIPPINES,65,35 BH,BAGONG HENERASYON,103,0.70 %
REGION IV-B,ROMBLON,ROMBLON,"MEMBER, HOUSE OF REPRESENTATIVES ROMBLON - LONE LEGDIST",1,"MADRONA, BUDOY",NP,19377,92.25 %
REGION IV-B,ROMBLON,ROMBLON,"MEMBER, HOUSE OF REPRESENTATIVES ROMBLON - LONE LEGDIST",2,"VENANCIO, JOEY",AKSYON,1626,7.74 %
REGION IV-B,ROMBLON,ROMBLON,PROVINCIAL GOVERNOR ROMBLON,1,"FIRMALO, LOLONG",LP,2384,11.09 %
REGION IV-B,ROMBLON,ROMBLON,PROVINCIAL GOVERNOR ROMBLON,2,"RIANO, OTIK",PDPLBN,19094,88.90 %
REGION IV-B,ROMBLON,ROMBLON,PROVINCIAL VICE-GOVERNOR ROMBLON,1,"GUTIERREZ, ARMING",PDPLBN,13823,67.16 %
REGION IV-B,ROMBLON,ROMBLON,PROVINCIAL VICE-GOVERNOR ROMBLON,2,"YLAGAN, DONGDONG",AKSYON,6757,32.83 %
REGION IV-B,ROMBLON,ROMBLON,"MEMBER, SANGGUNIANG PANLALAWIGAN ROMBLON - FIRST PROVDIST",1,"BAÑARES, RACHEL",NP,7996,13.13 %
REGION IV-B,ROMBLON,ROMBLON,"MEMBER, SANGGUNIANG PANLALAWIGAN ROMBLON - FIRST PROVDIST",2,"BERNARDO, JUN",PDPLBN,12842,21.09 %
REGION IV-B,ROMBLON,ROMBLON,"MEMBER, SANGGUNIANG PANLALAWIGAN ROMBLON - FIRST PROVDIST",3,"FESTIN, KEN",LP,5005,8.22 %
REGION IV-B,ROMBLON,ROMBLON,"MEMBER, SANGGUNIANG PANLALAWIGAN ROMBLON - FIRST PROVDIST",4,"MAZO, WILLIAM",LP,3202,5.25 %
REGION IV-B,ROMBLON,ROMBLON,"MEMBER, SANGGUNIANG PANLALAWIGAN ROMBLON - FIRST PROVDIST",5,"MINGOA, LINDA",LP,6819,11.20 %
REGION IV-B,ROMBLON,ROMBLON,"MEMBER, SANGGUNIANG PANLALAWIGAN ROMBLON - FIRST PROVDIST",6,"MORTEL, GUDS",PDPLBN,8614,14.14 %
REGION IV-B,ROMBLON,ROMBLON,"MEMBER, SANGGUNIANG PANLALAWIGAN ROMBLON - FIRST PROVDIST",7,"RIOS, DINDO",AKSYON,5335,8.76 %
REGION IV-B,ROMBLON,ROMBLON,"MEMBER, SANGGUNIANG PANLALAWIGAN ROMBLON - FIRST PROVDIST",8,"SOLIS, NENE",NP,11069,18.18 %
REGION IV-B,ROMBLON,ROMBLON,MAYOR ROMBLON - ROMBLON,1,"MONTOJO, GARD",NP,16138,100.00 %
REGION IV-B,ROMBLON,ROMBLON,VICE-MAYOR ROMBLON - ROMBLON,1,"MATEO, ANOY",PDPLBN,16584,100.00 %
REGION IV-B,ROMBLON,ROMBLON,"MEMBER, SANGGUNIANG BAYAN ROMBLON - ROMBLON - LONE DIST",1,"BASINA, RODOLFO",IND,364,0.27 %
REGION IV-B,ROMBLON,ROMBLON,"MEMBER, SANGGUNIANG BAYAN ROMBLON - ROMBLON - LONE DIST",2,"FAIGAO, CABO",IND,8915,6.69 %
REGION IV-B,ROMBLON,ROMBLON,"MEMBER, SANGGUNIANG BAYAN ROMBLON - ROMBLON - LONE DIST",3,"FERRANCULLO, NOEL",IND,308,0.23 %
REGION IV-B,ROMBLON,ROMBLON,"MEMBER, SANGGUNIANG BAYAN ROMBLON - ROMBLON - LONE DIST",4,"FONTILAR, HANNAH",IND,11174,8.38 %
REGION IV-B,ROMBLON,ROMBLON,"MEMBER, SANGGUNIANG BAYAN ROMBLON - ROMBLON - LONE DIST",5,"LLABORE, LODIGARIO",LP,2015,1.51 %
REGION IV-B,ROMBLON,ROMBLON,"MEMBER, SANGGUNIANG BAYAN ROMBLON - ROMBLON - LONE DIST",6,"MAABA, GIL",IND,792,0.59 %
REGION IV-B,ROMBLON,ROMBLON,"MEMBER, SANGGUNIANG BAYAN ROMBLON - ROMBLON - LONE DIST",7,"MADERA, ROBERTO",LP,3420,2.56 %
REGION IV-B,ROMBLON,ROMBLON,"MEMBER, SANGGUNIANG BAYAN ROMBLON - ROMBLON - LONE DIST",8,"MADURO, JUSEL",NP,7700,5.78 %
REGION IV-B,ROMBLON,ROMBLON,"MEMBER, SANGGUNIANG BAYAN ROMBLON - ROMBLON - LONE DIST",9,"MAGANO, ORLY",NP,11420,8.57 %
REGION IV-B,ROMBLON,ROMBLON,"MEMBER, SANGGUNIANG BAYAN ROMBLON - ROMBLON - LONE DIST",10,"MARIÑO, JUN",PDPLBN,8261,6.20 %
REGION IV-B,ROMBLON,ROMBLON,"MEMBER, SANGGUNIANG BAYAN ROMBLON - ROMBLON - LONE DIST",11,"MATEO, DONATO",IND,2005,1.50 %
REGION IV-B,ROMBLON,ROMBLON,"MEMBER, SANGGUNIANG BAYAN ROMBLON - ROMBLON - LONE DIST",12,"MINGOA, JOSEPH",NP,9077,6.81 %
REGION IV-B,ROMBLON,ROMBLON,"MEMBER, SANGGUNIANG BAYAN ROMBLON - ROMBLON - LONE DIST",13,"MOLINO, LYNDON",LP,10350,7.76 %
REGION IV-B,ROMBLON,ROMBLON,"MEMBER, SANGGUNIANG BAYAN ROMBLON - ROMBLON - LONE DIST",14,"MORAL, MARIO",IND,5187,3.89 %
REGION IV-B,ROMBLON,ROMBLON,"MEMBER, SANGGUNIANG BAYAN ROMBLON - ROMBLON - LONE DIST",15,"MORANTE, TOING",IND,3248,2.43 %
REGION IV-B,ROMBLON,ROMBLON,"MEMBER, SANGGUNIANG BAYAN ROMBLON - ROMBLON - LONE DIST",16,"RIANO, MAC",PDPLBN,11293,8.47 %
